experiment,error_rule,theta_p,theta_n,act,error_action,write_width_u,write_mode,write_state_gate_mode,pre_gate_mode,pre_boost_v,pre_boost_width_u,dp0_probe,dn0_probe,dp1_probe,dn1_probe,pre_probe,row0_initial_pos,row0_initial_neg_score,row0_initial_neg,row0_final_pos,row0_final_neg_score,row0_final_neg,row0_initial_signed,row0_final_signed,row0_signed_read_delta,row0_desired_signed_read_delta,row1_initial_pos,row1_initial_neg_score,row1_initial_neg,row1_final_pos,row1_final_neg_score,row1_final_neg,row1_initial_signed,row1_final_signed,row1_signed_read_delta,row1_desired_signed_read_delta,row0_action_sign_aligned,row1_action_sign_aligned,both_rows_action_sign_aligned
error_rule_action_label0_mistake,perceptron,0.34,0.13,0.25,label0_mistake,0.0008,bounded_charge_discharge,none,boosted,1.2,4.0,1.14029,0.0,0.0,1.14029,0.724803,0.20739,2.16628e-14,0.3,0.208851,4.62881e-08,0.3,-0.0926097,-0.0911493,0.0014604,0.0014604,0.20739,2.16628e-14,0.3,0.2052,1.00894e-16,0.3,-0.0926097,-0.0948004,-0.00219068,0.00219068,True,True,True
error_rule_action_label1_mistake,perceptron,0.34,0.13,0.25,label1_mistake,0.0008,bounded_charge_discharge,none,boosted,1.2,4.0,0.0,1.14029,1.14029,0.0,0.724803,0.20739,2.16628e-14,0.3,0.2052,1.00894e-16,0.3,-0.0926097,-0.0948004,-0.00219068,0.00219068,0.20739,2.16628e-14,0.3,0.208851,4.62881e-08,0.3,-0.0926097,-0.0911493,0.0014604,0.0014604,True,True,True
error_rule_action_label0_mistake,perceptron,0.34,0.13,0.5,label0_mistake,0.0008,bounded_charge_discharge,none,boosted,1.2,4.0,1.14029,0.0,0.0,1.14029,0.849709,0.207395,1.30135e-14,0.3,0.21089,1.90084e-07,0.3,-0.0926049,-0.0891095,0.00349536,0.00349536,0.207395,1.30135e-14,0.3,0.204843,1.14295e-17,0.3,-0.0926049,-0.0951575,-0.00255261,0.00255261,True,True,True
error_rule_action_label1_mistake,perceptron,0.34,0.13,0.5,label1_mistake,0.0008,bounded_charge_discharge,none,boosted,1.2,4.0,0.0,1.14029,1.14029,0.0,0.849709,0.207395,1.30135e-14,0.3,0.204843,1.14295e-17,0.3,-0.0926049,-0.0951575,-0.00255261,0.00255261,0.207395,1.30135e-14,0.3,0.21089,1.90084e-07,0.3,-0.0926049,-0.0891095,0.00349536,0.00349536,True,True,True
error_rule_action_label0_mistake,perceptron,0.34,0.13,0.75,label0_mistake,0.0008,bounded_charge_discharge,none,boosted,1.2,4.0,1.14029,0.0,0.0,1.14029,0.974615,0.207398,7.61271e-15,0.3,0.212125,4.53882e-07,0.3,-0.0926023,-0.0878742,0.00472816,0.00472816,0.207398,7.61271e-15,0.3,0.204579,1.57957e-18,0.3,-0.0926023,-0.0954209,-0.00281858,0.00281858,True,True,True
error_rule_action_label1_mistake,perceptron,0.34,0.13,0.75,label1_mistake,0.0008,bounded_charge_discharge,none,boosted,1.2,4.0,0.0,1.14029,1.14029,0.0,0.974615,0.207398,7.61271e-15,0.3,0.204579,1.57957e-18,0.3,-0.0926023,-0.0954209,-0.00281858,0.00281858,0.207398,7.61271e-15,0.3,0.212125,4.53882e-07,0.3,-0.0926023,-0.0878742,0.00472816,0.00472816,True,True,True
error_rule_action_label0_mistake,competitive,0.34,0.13,0.25,label0_mistake,0.0008,bounded_charge_discharge,none,boosted,1.2,4.0,0.184065,0.0,0.0,0.184065,0.724803,0.20739,2.1663e-14,0.3,0.206679,4.92813e-12,0.3,-0.0926097,-0.0933207,-0.000710977,-0.000710977,0.20739,2.1663e-14,0.3,0.206699,1.0762e-12,0.3,-0.0926097,-0.0933009,-0.000691211,0.000691211,False,True,False
error_rule_action_label1_mistake,competitive,0.34,0.13,0.25,label1_mistake,0.0008,bounded_charge_discharge,none,boosted,1.2,4.0,0.0,0.184065,0.184065,0.0,0.724803,0.20739,2.1663e-14,0.3,0.206699,1.0762e-12,0.3,-0.0926097,-0.0933009,-0.000691211,0.000691211,0.20739,2.1663e-14,0.3,0.206679,4.92813e-12,0.3,-0.0926097,-0.0933207,-0.000710977,-0.000710977,True,False,False
error_rule_action_label0_mistake,competitive,0.34,0.13,0.5,label0_mistake,0.0008,bounded_charge_discharge,none,boosted,1.2,4.0,0.184065,0.0,0.0,0.184065,0.849709,0.207395,1.30135e-14,0.3,0.206684,3.71711e-12,0.3,-0.0926049,-0.093316,-0.000711184,-0.000711184,0.207395,1.30135e-14,0.3,0.206702,7.13805e-13,0.3,-0.0926049,-0.0932981,-0.000693245,0.000693245,False,True,False
error_rule_action_label1_mistake,competitive,0.34,0.13,0.5,label1_mistake,0.0008,bounded_charge_discharge,none,boosted,1.2,4.0,0.0,0.184065,0.184065,0.0,0.849709,0.207395,1.30135e-14,0.3,0.206702,7.13805e-13,0.3,-0.0926049,-0.0932981,-0.000693245,0.000693245,0.207395,1.30135e-14,0.3,0.206684,3.71711e-12,0.3,-0.0926049,-0.093316,-0.000711184,-0.000711184,True,False,False
