image_size,block_size,stride,blocks,shared_channels,private_channels,channels,local_features,train_samples,test_samples,lr_spice,equivalent_lr_torch_mse_tanh,update_noise_std,seed,epoch,test_accuracy,test_correct,trial_wall_time_s,weight_sharing,shared_weight_values,shared_bias_values,private_weight_values,private_bias_values,readout_values,output_bias_values,train_state_values,gradient_state_values,temporary_state_values,phase_state_values,expanded_weight_equivalent_values,multiply_terms_per_sample
7,3,2,9,2,0,2,18,2000,2000,0.005,0.025,0.0,0,1,0.2135,427,0.12923570799999995,partial_shared_kernel,18,2,0,0,180,10,210,210,56,476,162,342
7,3,2,9,2,0,2,18,2000,2000,0.005,0.025,0.0,0,2,0.246,492,0.23908779100000022,partial_shared_kernel,18,2,0,0,180,10,210,210,56,476,162,342
7,3,2,9,2,0,2,18,2000,2000,0.005,0.025,0.0,0,3,0.337,674,0.34941350000000027,partial_shared_kernel,18,2,0,0,180,10,210,210,56,476,162,342
7,3,2,9,2,0,2,18,2000,2000,0.005,0.025,0.0,0,4,0.3635,727,0.45984083300000034,partial_shared_kernel,18,2,0,0,180,10,210,210,56,476,162,342
7,3,2,9,2,0,2,18,2000,2000,0.005,0.025,0.0,0,5,0.4325,865,0.5716929159999999,partial_shared_kernel,18,2,0,0,180,10,210,210,56,476,162,342
7,3,2,9,2,0,2,18,2000,2000,0.005,0.025,0.0,0,6,0.5505,1101,0.6817177910000001,partial_shared_kernel,18,2,0,0,180,10,210,210,56,476,162,342
7,3,2,9,2,0,2,18,2000,2000,0.005,0.025,0.0,0,7,0.601,1202,0.7918849160000003,partial_shared_kernel,18,2,0,0,180,10,210,210,56,476,162,342
7,3,2,9,2,0,2,18,2000,2000,0.005,0.025,0.0,0,8,0.672,1344,0.9024448330000001,partial_shared_kernel,18,2,0,0,180,10,210,210,56,476,162,342
7,3,2,9,2,0,2,18,2000,2000,0.005,0.025,0.0,0,9,0.6975,1395,1.01304425,partial_shared_kernel,18,2,0,0,180,10,210,210,56,476,162,342
7,3,2,9,2,0,2,18,2000,2000,0.005,0.025,0.0,0,10,0.717,1434,1.1274061660000005,partial_shared_kernel,18,2,0,0,180,10,210,210,56,476,162,342
7,3,2,9,2,0,2,18,2000,2000,0.005,0.025,0.0,0,11,0.7385,1477,1.2376389160000003,partial_shared_kernel,18,2,0,0,180,10,210,210,56,476,162,342
7,3,2,9,2,0,2,18,2000,2000,0.005,0.025,0.0,0,12,0.7345,1469,1.3471094579999998,partial_shared_kernel,18,2,0,0,180,10,210,210,56,476,162,342
7,3,2,9,2,0,2,18,2000,2000,0.005,0.025,0.0,0,13,0.737,1474,1.4565449999999998,partial_shared_kernel,18,2,0,0,180,10,210,210,56,476,162,342
7,3,2,9,2,0,2,18,2000,2000,0.005,0.025,0.0,0,14,0.7455,1491,1.565213833,partial_shared_kernel,18,2,0,0,180,10,210,210,56,476,162,342
7,3,2,9,2,0,2,18,2000,2000,0.005,0.025,0.0,0,15,0.738,1476,1.6744695000000003,partial_shared_kernel,18,2,0,0,180,10,210,210,56,476,162,342
7,3,2,9,2,0,2,18,2000,2000,0.005,0.025,0.0,0,16,0.7455,1491,1.7826100410000003,partial_shared_kernel,18,2,0,0,180,10,210,210,56,476,162,342
7,3,2,9,2,0,2,18,2000,2000,0.005,0.025,0.0,0,17,0.7465,1493,1.8924266250000001,partial_shared_kernel,18,2,0,0,180,10,210,210,56,476,162,342
