experiment,theta_p,theta_n,act,pre,delta,write_width_u,write_mode,write_state_gate_mode,initial_pos_response,initial_neg_score,initial_neg_response,final_pos_response,final_neg_score,final_neg_response,initial_signed_response,final_signed_response,signed_read_delta,desired_signed_read_delta,wp_before,wn_before,wp_after,wn_after,wp_state_delta,wn_state_delta,signed_state_delta,pair_action_sign_aligned
pair_action_increase,0.24,0.1,0.25,0.65,1.0,0.0008,bounded_charge_discharge,state_window,0.11283,0.29988,0.000120076,0.11221,0.299748,0.000252142,0.112709,0.111958,-0.000751122,-0.000751122,0.24,0.1,0.239344,0.1,-0.000655771,-1.4313e-08,-0.000655757,False
pair_action_decrease,0.24,0.1,0.25,0.65,1.0,0.0008,bounded_charge_discharge,state_window,0.112738,0.29988,0.000120076,0.112725,0.299748,0.000252142,0.112618,0.112473,-0.00014462,0.00014462,0.239895,0.1,0.23989,0.0996746,-5.48791e-06,-0.000325391,0.000319904,True
pair_action_increase,0.24,0.13,0.25,0.65,1.0,0.0008,bounded_charge_discharge,state_window,0.11283,2.24411e-14,0.3,0.11221,2.23754e-14,0.3,-0.18717,-0.18779,-0.000619055,-0.000619055,0.24,0.129996,0.239344,0.129996,-0.000655771,-2.69765e-07,-0.000655502,False
pair_action_decrease,0.24,0.13,0.25,0.65,1.0,0.0008,bounded_charge_discharge,state_window,0.112738,2.166e-14,0.3,0.112725,1.09144e-11,0.3,-0.187262,-0.187275,-1.25583e-05,1.25583e-05,0.239895,0.13,0.23989,0.129577,-5.49081e-06,-0.000422849,0.000417359,True
pair_action_increase,0.24,0.16,0.25,0.65,1.0,0.0008,bounded_charge_discharge,state_window,0.11283,-3.17456e-88,0.3,0.11221,-3.19316e-88,0.3,-0.18717,-0.18779,-0.000619056,-0.000619056,0.24,0.159972,0.239344,0.159971,-0.000655771,-1.32227e-06,-0.000654449,False
pair_action_decrease,0.24,0.16,0.25,0.65,1.0,0.0008,bounded_charge_discharge,state_window,0.112738,-3.10887e-88,0.3,0.112725,-2.27374e-88,0.3,-0.187262,-0.187275,-1.25581e-05,1.25581e-05,0.239895,0.16,0.23989,0.15948,-5.49201e-06,-0.000520168,0.000514676,True
pair_action_increase,0.24,0.24,0.25,0.65,1.0,0.0008,bounded_charge_discharge,state_window,0.11283,-1.52274e-112,0.3,0.11221,-1.58382e-112,0.3,-0.18717,-0.18779,-0.000619056,-0.000619056,0.24,0.239895,0.239344,0.239868,-0.000655771,-2.74756e-05,-0.000628296,False
pair_action_decrease,0.24,0.24,0.25,0.65,1.0,0.0008,bounded_charge_discharge,state_window,0.112738,-1.39334e-112,0.3,0.112725,-2.65871e-112,0.3,-0.187262,-0.187275,-1.25581e-05,1.25581e-05,0.239895,0.24,0.23989,0.239221,-5.49201e-06,-0.00077877,0.000773278,True
pair_action_increase,0.34,0.1,0.25,0.65,1.0,0.0008,bounded_charge_discharge,state_window,0.20739,0.29988,0.000120048,0.20635,0.299748,0.000252113,0.20727,0.206098,-0.00117201,-0.00117201,0.34,0.1,0.338902,0.1,-0.00109844,-1.4313e-08,-0.00109842,False
pair_action_decrease,0.34,0.1,0.25,0.65,1.0,0.0008,bounded_charge_discharge,state_window,0.207207,0.29988,0.000120048,0.20717,0.299748,0.000252113,0.207087,0.206918,-0.000168705,0.000168705,0.339795,0.1,0.339767,0.0996746,-2.77985e-05,-0.000325391,0.000297593,True
