image_size,block_size,stride,blocks,shared_channels,private_channels,channels,local_features,train_samples,test_samples,lr_spice,equivalent_lr_torch_mse_tanh,update_noise_std,seed,epoch,test_accuracy,test_correct,trial_wall_time_s,weight_sharing,shared_weight_values,shared_bias_values,private_weight_values,private_bias_values,readout_values,output_bias_values,train_state_values,gradient_state_values,temporary_state_values,phase_state_values,expanded_weight_equivalent_values,multiply_terms_per_sample
7,3,2,9,2,1,3,27,5000,2000,0.008,0.04,0.0,0,1,0.358,716,0.393661292,partial_shared_kernel,18,2,81,9,270,10,390,390,74,854,243,513
7,3,2,9,2,1,3,27,5000,2000,0.008,0.04,0.0,0,2,0.641,1282,0.7724506670000002,partial_shared_kernel,18,2,81,9,270,10,390,390,74,854,243,513
7,3,2,9,2,1,3,27,5000,2000,0.008,0.04,0.0,0,3,0.7485,1497,1.1450159170000003,partial_shared_kernel,18,2,81,9,270,10,390,390,74,854,243,513
7,3,2,9,2,1,3,27,5000,2000,0.008,0.04,0.0,0,4,0.797,1594,1.6903921669999997,partial_shared_kernel,18,2,81,9,270,10,390,390,74,854,243,513
7,3,2,9,2,1,3,27,5000,2000,0.008,0.04,0.0,0,5,0.8175,1635,2.069158958,partial_shared_kernel,18,2,81,9,270,10,390,390,74,854,243,513
7,3,2,9,2,1,3,27,5000,2000,0.008,0.04,0.0,0,6,0.8375,1675,2.5918093329999996,partial_shared_kernel,18,2,81,9,270,10,390,390,74,854,243,513
7,3,2,9,2,1,3,27,5000,2000,0.008,0.04,0.0,0,7,0.8385,1677,3.0394482079999996,partial_shared_kernel,18,2,81,9,270,10,390,390,74,854,243,513
7,3,2,9,2,1,3,27,5000,2000,0.008,0.04,0.0,0,8,0.847,1694,3.610804667,partial_shared_kernel,18,2,81,9,270,10,390,390,74,854,243,513
7,3,2,9,2,1,3,27,5000,2000,0.008,0.04,0.0,0,9,0.8425,1685,4.071974542,partial_shared_kernel,18,2,81,9,270,10,390,390,74,854,243,513
7,3,2,9,2,1,3,27,5000,2000,0.008,0.04,0.0,0,10,0.8575,1715,4.50075325,partial_shared_kernel,18,2,81,9,270,10,390,390,74,854,243,513
7,3,2,9,2,1,3,27,5000,2000,0.008,0.04,0.0,0,11,0.851,1702,4.903373666999999,partial_shared_kernel,18,2,81,9,270,10,390,390,74,854,243,513
7,3,2,9,2,1,3,27,5000,2000,0.008,0.04,0.0,0,12,0.8545,1709,5.2810450829999995,partial_shared_kernel,18,2,81,9,270,10,390,390,74,854,243,513
7,3,2,9,2,1,3,27,5000,2000,0.008,0.04,0.0,0,13,0.8575,1715,5.65201625,partial_shared_kernel,18,2,81,9,270,10,390,390,74,854,243,513
7,3,2,9,2,1,3,27,5000,2000,0.008,0.04,0.0,0,14,0.858,1716,6.096926708000001,partial_shared_kernel,18,2,81,9,270,10,390,390,74,854,243,513
7,3,2,9,2,1,3,27,5000,2000,0.008,0.04,0.0,0,15,0.861,1722,6.693077042,partial_shared_kernel,18,2,81,9,270,10,390,390,74,854,243,513
7,3,2,9,2,1,3,27,5000,2000,0.008,0.04,0.0,0,16,0.865,1730,7.073073667,partial_shared_kernel,18,2,81,9,270,10,390,390,74,854,243,513
7,3,2,9,2,1,3,27,5000,2000,0.008,0.04,0.0,0,17,0.8645,1729,7.44504975,partial_shared_kernel,18,2,81,9,270,10,390,390,74,854,243,513
7,3,2,9,2,1,3,27,5000,2000,0.008,0.04,0.0,0,18,0.862,1724,8.041708582999998,partial_shared_kernel,18,2,81,9,270,10,390,390,74,854,243,513
7,3,2,9,2,1,3,27,5000,2000,0.008,0.04,0.0,0,19,0.869,1738,8.447537,partial_shared_kernel,18,2,81,9,270,10,390,390,74,854,243,513
7,3,2,9,2,1,3,27,5000,2000,0.008,0.04,0.0,0,20,0.8735,1747,8.927890125000001,partial_shared_kernel,18,2,81,9,270,10,390,390,74,854,243,513
7,3,2,9,2,1,3,27,5000,2000,0.008,0.04,0.0,0,21,0.8755,1751,9.626900667000001,partial_shared_kernel,18,2,81,9,270,10,390,390,74,854,243,513
7,3,2,9,2,1,3,27,5000,2000,0.008,0.04,0.0,0,22,0.873,1746,10.286494167,partial_shared_kernel,18,2,81,9,270,10,390,390,74,854,243,513
7,3,2,9,2,1,3,27,5000,2000,0.008,0.04,0.0,0,23,0.879,1758,11.046536583000002,partial_shared_kernel,18,2,81,9,270,10,390,390,74,854,243,513
7,3,2,9,2,1,3,27,5000,2000,0.008,0.04,0.0,0,24,0.876,1752,11.524229042000002,partial_shared_kernel,18,2,81,9,270,10,390,390,74,854,243,513
7,3,2,9,2,1,3,27,5000,2000,0.008,0.04,0.0,0,25,0.877,1754,12.013211041999998,partial_shared_kernel,18,2,81,9,270,10,390,390,74,854,243,513
7,3,2,9,2,1,3,27,5000,2000,0.008,0.04,0.0,0,26,0.8745,1749,12.604688249999999,partial_shared_kernel,18,2,81,9,270,10,390,390,74,854,243,513
7,3,2,9,2,1,3,27,5000,2000,0.008,0.04,0.0,0,27,0.882,1764,13.151127624999997,partial_shared_kernel,18,2,81,9,270,10,390,390,74,854,243,513
7,3,2,9,2,1,3,27,5000,2000,0.008,0.04,0.0,0,28,0.879,1758,13.578279291999998,partial_shared_kernel,18,2,81,9,270,10,390,390,74,854,243,513
7,3,2,9,2,1,3,27,5000,2000,0.008,0.04,0.0,0,29,0.8795,1759,13.989955249999998,partial_shared_kernel,18,2,81,9,270,10,390,390,74,854,243,513
7,3,2,9,2,1,3,27,5000,2000,0.008,0.04,0.0,0,30,0.886,1772,14.383974583,partial_shared_kernel,18,2,81,9,270,10,390,390,74,854,243,513
7,3,2,9,2,1,3,27,5000,2000,0.008,0.04,0.0,0,31,0.888,1776,14.800095291999998,partial_shared_kernel,18,2,81,9,270,10,390,390,74,854,243,513
7,3,2,9,2,1,3,27,5000,2000,0.008,0.04,0.0,0,32,0.8905,1781,15.194448708,partial_shared_kernel,18,2,81,9,270,10,390,390,74,854,243,513
7,3,2,9,2,1,3,27,5000,2000,0.008,0.04,0.0,0,33,0.8945,1789,15.573145292,partial_shared_kernel,18,2,81,9,270,10,390,390,74,854,243,513
7,3,2,9,2,1,3,27,5000,2000,0.008,0.04,0.0,0,34,0.8925,1785,16.039335041999998,partial_shared_kernel,18,2,81,9,270,10,390,390,74,854,243,513
7,3,2,9,2,1,3,27,5000,2000,0.008,0.04,0.0,0,35,0.8895,1779,16.480326458,partial_shared_kernel,18,2,81,9,270,10,390,390,74,854,243,513
7,3,2,9,2,1,3,27,5000,2000,0.008,0.04,0.0,0,36,0.898,1796,16.865993832999997,partial_shared_kernel,18,2,81,9,270,10,390,390,74,854,243,513
7,3,2,9,2,1,3,27,5000,2000,0.008,0.04,0.0,0,37,0.8965,1793,17.244458291999997,partial_shared_kernel,18,2,81,9,270,10,390,390,74,854,243,513
7,3,2,9,2,1,3,27,5000,2000,0.008,0.04,0.0,0,38,0.887,1774,17.632142667,partial_shared_kernel,18,2,81,9,270,10,390,390,74,854,243,513
7,3,2,9,2,1,3,27,5000,2000,0.008,0.04,0.0,0,39,0.891,1782,18.0309685,partial_shared_kernel,18,2,81,9,270,10,390,390,74,854,243,513
7,3,2,9,2,1,3,27,5000,2000,0.008,0.04,0.0,0,40,0.8895,1779,18.418342292,partial_shared_kernel,18,2,81,9,270,10,390,390,74,854,243,513
7,3,2,9,2,1,3,27,5000,2000,0.008,0.04,0.0,0,41,0.898,1796,18.921256624999998,partial_shared_kernel,18,2,81,9,270,10,390,390,74,854,243,513
7,3,2,9,2,1,3,27,5000,2000,0.008,0.04,0.0,0,42,0.8915,1783,19.306077875,partial_shared_kernel,18,2,81,9,270,10,390,390,74,854,243,513
7,3,2,9,2,1,3,27,5000,2000,0.008,0.04,0.0,0,43,0.896,1792,19.685219625,partial_shared_kernel,18,2,81,9,270,10,390,390,74,854,243,513
7,3,2,9,2,1,3,27,5000,2000,0.008,0.04,0.0,0,44,0.902,1804,20.070670583,partial_shared_kernel,18,2,81,9,270,10,390,390,74,854,243,513
7,3,2,9,2,1,3,27,5000,2000,0.008,0.04,0.0,0,45,0.893,1786,20.448998458,partial_shared_kernel,18,2,81,9,270,10,390,390,74,854,243,513
7,3,2,9,2,1,3,27,5000,2000,0.008,0.04,0.0,0,46,0.9,1800,20.833865707999998,partial_shared_kernel,18,2,81,9,270,10,390,390,74,854,243,513
7,3,2,9,2,1,3,27,5000,2000,0.008,0.04,0.0,0,47,0.8985,1797,21.216271666999997,partial_shared_kernel,18,2,81,9,270,10,390,390,74,854,243,513
7,3,2,9,2,1,3,27,5000,2000,0.008,0.04,0.0,0,48,0.9015,1803,21.591572917,partial_shared_kernel,18,2,81,9,270,10,390,390,74,854,243,513
7,3,2,9,2,1,3,27,5000,2000,0.008,0.04,0.0,0,49,0.901,1802,21.972080332999997,partial_shared_kernel,18,2,81,9,270,10,390,390,74,854,243,513
7,3,2,9,2,1,3,27,5000,2000,0.008,0.04,0.0,0,50,0.8955,1791,22.353564917,partial_shared_kernel,18,2,81,9,270,10,390,390,74,854,243,513
7,3,2,9,2,1,3,27,5000,2000,0.008,0.04,0.0,0,51,0.902,1804,22.729667292,partial_shared_kernel,18,2,81,9,270,10,390,390,74,854,243,513
7,3,2,9,2,1,3,27,5000,2000,0.008,0.04,0.0,0,52,0.9015,1803,23.119230833,partial_shared_kernel,18,2,81,9,270,10,390,390,74,854,243,513
7,3,2,9,2,1,3,27,5000,2000,0.008,0.04,0.0,0,53,0.897,1794,23.505029,partial_shared_kernel,18,2,81,9,270,10,390,390,74,854,243,513
7,3,2,9,2,1,3,27,5000,2000,0.008,0.04,0.0,0,54,0.9005,1801,23.895377957999997,partial_shared_kernel,18,2,81,9,270,10,390,390,74,854,243,513
7,3,2,9,2,1,3,27,5000,2000,0.008,0.04,0.0,0,55,0.9035,1807,24.308197,partial_shared_kernel,18,2,81,9,270,10,390,390,74,854,243,513
7,3,2,9,2,1,3,27,5000,2000,0.008,0.04,0.0,0,56,0.8965,1793,24.703524375,partial_shared_kernel,18,2,81,9,270,10,390,390,74,854,243,513
7,3,2,9,2,1,3,27,5000,2000,0.008,0.04,0.0,0,57,0.9015,1803,25.082931124999998,partial_shared_kernel,18,2,81,9,270,10,390,390,74,854,243,513
7,3,2,9,2,1,3,27,5000,2000,0.008,0.04,0.0,0,58,0.898,1796,25.459633832999998,partial_shared_kernel,18,2,81,9,270,10,390,390,74,854,243,513
7,3,2,9,2,1,3,27,5000,2000,0.008,0.04,0.0,0,59,0.903,1806,25.845089458,partial_shared_kernel,18,2,81,9,270,10,390,390,74,854,243,513
7,3,2,9,2,1,3,27,5000,2000,0.008,0.04,0.0,0,60,0.9025,1805,26.221851875,partial_shared_kernel,18,2,81,9,270,10,390,390,74,854,243,513
7,3,2,9,2,1,3,27,5000,2000,0.008,0.04,0.0,0,61,0.8935,1787,26.60524425,partial_shared_kernel,18,2,81,9,270,10,390,390,74,854,243,513
7,3,2,9,2,1,3,27,5000,2000,0.008,0.04,0.0,0,62,0.905,1810,26.988566125,partial_shared_kernel,18,2,81,9,270,10,390,390,74,854,243,513
7,3,2,9,2,1,3,27,5000,2000,0.008,0.04,0.0,0,63,0.9045,1809,27.362601833,partial_shared_kernel,18,2,81,9,270,10,390,390,74,854,243,513
7,3,2,9,2,1,3,27,5000,2000,0.008,0.04,0.0,0,64,0.9035,1807,27.783867875000002,partial_shared_kernel,18,2,81,9,270,10,390,390,74,854,243,513
7,3,2,9,2,1,3,27,5000,2000,0.008,0.04,0.0,0,65,0.9025,1805,28.159995167,partial_shared_kernel,18,2,81,9,270,10,390,390,74,854,243,513
7,3,2,9,2,1,3,27,5000,2000,0.008,0.04,0.0,0,66,0.906,1812,28.541803124999998,partial_shared_kernel,18,2,81,9,270,10,390,390,74,854,243,513
7,3,2,9,2,1,3,27,5000,2000,0.008,0.04,0.0,0,67,0.907,1814,28.951974957999997,partial_shared_kernel,18,2,81,9,270,10,390,390,74,854,243,513
7,3,2,9,2,1,3,27,5000,2000,0.008,0.04,0.0,0,68,0.901,1802,29.357790083,partial_shared_kernel,18,2,81,9,270,10,390,390,74,854,243,513
7,3,2,9,2,1,3,27,5000,2000,0.008,0.04,0.0,0,69,0.905,1810,29.767911957999996,partial_shared_kernel,18,2,81,9,270,10,390,390,74,854,243,513
7,3,2,9,2,1,3,27,5000,2000,0.008,0.04,0.0,0,70,0.9035,1807,30.153979957999997,partial_shared_kernel,18,2,81,9,270,10,390,390,74,854,243,513
7,3,2,9,2,1,3,27,5000,2000,0.008,0.04,0.0,0,71,0.898,1796,30.538102874999996,partial_shared_kernel,18,2,81,9,270,10,390,390,74,854,243,513
