cycle,phase,pattern,label,target_out,other_out,margin,correct,mean_hidden_act,act0,act1,act2,act3,post_update_margin,d_margin_after_update,max_abs_readout_signed_delta,max_abs_hidden_signed_delta,max_abs_hidden_delta_signal
0,initial_eval,0,0,0.121767,0.128736,-0.00696868,False,0.09692490749999999,0.00876463,0.163045,-2.69308e-85,0.21589,,,,,
1,initial_eval,1,1,0.121268,0.114725,0.0065427,True,0.116130125,0.0144515,0.244424,2.46644e-95,0.205645,,,,,
2,initial_eval,2,1,0.152804,0.145075,0.0077288,True,0.068718925,0.113381,0.0312475,0.0161952,0.114052,,,,,
3,initial_eval,3,0,0.142956,0.150584,-0.00762757,False,0.0809974,0.121138,0.0699505,0.0235711,0.10933,,,,,
4,train,0,0,0.121968,0.128724,-0.00675591,False,0.09692461999999999,0.00876348,0.163045,-1.52556e-26,0.21589,0.222893,0.229649,0.413654,2.43901e-06,8.72816e-07
5,train,1,1,0.122136,0.329712,-0.207576,False,0.1161499,0.0144506,0.244423,-3.51188e-75,0.205726,0.0143042,0.22188,0.428234,8.17628e-06,5.47974e-07
6,train,2,1,0.403815,0.386246,0.0175688,True,0.068682175,0.11338,0.0311338,0.0161939,0.114021,0.0176398,7.09385e-05,0.0936219,5.85379e-07,5.35446e-37
7,train,3,0,0.3844,0.401839,-0.0174382,False,0.08095454999999999,0.121137,0.0698254,0.0235698,0.109286,-0.0174218,1.64714e-05,0.0891309,5.85378e-07,3.50915e-07
8,final_eval,0,0,0.342848,0.357913,-0.0150644,False,0.0969324,0.0087626,0.162912,-9.27385e-27,0.216055,,,,,
9,final_eval,1,1,0.342984,0.329614,0.0133709,True,0.1162464,0.0144496,0.244777,5.68607e-51,0.205759,,,,,
10,final_eval,2,1,0.407935,0.390182,0.0177535,True,0.068680475,0.113378,0.0311323,0.0161926,0.114019,,,,,
11,final_eval,3,0,0.388675,0.406261,-0.0175854,False,0.08095332499999999,0.121136,0.0698237,0.0235686,0.109285,,,,,
