cycle,phase,pattern,label,reset_gradient,applied_update,target_out,other_out,margin,score0,score1,score0_cmp,score1_cmp,out0_cmp,out1_cmp,correct,mean_hidden_act,target_out_2950ps,other_out_2950ps,margin_2950ps,correct_2950ps,act0,act1,act2,act3,act4,act5,act6,act7,lose0,lose1,lead01,lead10,bwd_signal,merr0,merr1
0,initial_eval,0,0,False,False,0.035978,0.0364647,-0.000486717,0.152892,0.153628,-0.000303424,-0.000324445,0.0194784,0.0194569,False,0.3398395,0.035978,0.0364647,-0.000486717,False,0.534385,0.434152,0.56148,0.369637,0.08,0.113643,0.105398,0.520021,0.33581,0.33581,1.3417,1.34166,,,
1,initial_eval,1,0,False,False,0.0344868,0.0361799,-0.00169308,0.148934,0.151489,0.000726422,0.000696609,0.0188374,0.0188044,False,0.388285,0.0344868,0.0361799,-0.00169308,False,0.687875,0.374298,0.562134,0.509049,0.150053,0.282932,0.121009,0.41893,0.33595,0.335948,1.25807,1.25791,,,
2,initial_eval,2,0,False,False,0.0452859,0.0414071,0.00387874,0.180345,0.174424,-0.00133753,-0.00130629,0.0192939,0.0194137,True,0.582402375,0.0452859,0.0414071,0.00387874,True,0.505352,0.770219,0.77022,0.552175,0.224418,0.77022,0.31515,0.751465,0.335796,0.335795,1.17872,1.17896,,,
3,initial_eval,3,0,False,False,0.0457815,0.0477914,-0.00200994,0.187632,0.190716,-0.00259193,-0.00264845,0.0198565,0.0198719,False,0.6228718750000001,0.0457815,0.0477914,-0.00200994,False,0.77022,0.77022,0.77022,0.77022,0.418377,0.633498,0.08,0.77022,0.33568,0.335675,1.12153,1.12122,,,
4,initial_eval,4,1,False,False,0.0356574,0.0329275,0.00272995,0.144565,0.148678,0.000165472,0.000192025,0.0187906,0.0184981,True,0.332219625,0.0356574,0.0329275,0.00272995,True,0.08,0.398873,0.519875,0.08,0.149316,0.355407,0.77022,0.304066,0.335983,0.336001,1.12747,1.12751,,,
5,initial_eval,5,1,False,False,0.041592,0.0353993,0.00619267,0.155967,0.165344,0.00499316,0.00484056,0.0142897,0.0146052,True,0.21034650000000002,0.041592,0.0353993,0.00619267,True,0.093642,0.137216,0.08,0.254774,0.77022,0.08,0.18692,0.08,0.337371,0.337339,1.1267,1.1262,,,
6,initial_eval,6,1,False,False,0.0254463,0.02322,0.00222626,0.111069,0.114372,0.00624961,0.00618308,0.0141797,0.014228,True,0.22852887500000002,0.0254463,0.02322,0.00222626,True,0.278824,0.08,0.17984,0.307098,0.461292,0.168223,0.152354,0.2006,0.337411,0.337394,1.1269,1.12702,,,
7,initial_eval,7,1,False,False,0.0379038,0.0395411,-0.00163726,0.162991,0.160508,0.0016791,0.00167952,0.0178415,0.0178774,False,0.416372,0.0379038,0.0395411,-0.00163726,False,0.382294,0.132693,0.253017,0.607964,0.767895,0.77022,0.291115,0.125778,0.336155,0.336155,1.12786,1.12805,,,
8,train,0,0,True,True,0.0359759,0.0364624,-0.000486486,0.152885,0.15362,-0.000303425,-0.000324464,0.0194787,0.0194572,False,0.3398395,0.0359759,0.0364624,-0.000486486,False,0.534385,0.434152,0.56148,0.369637,0.08,0.113643,0.105398,0.520021,0.335852,0.335852,1.12671,1.12658,-1.63788e-14,4.64068e-05,2.50842e-05
9,train,4,1,True,True,0.0361154,0.0322549,0.00386053,0.143274,0.149087,0.000192924,0.000172542,0.0187531,0.0185561,True,0.332219625,0.0361154,0.0322549,0.00386053,True,0.08,0.398873,0.519875,0.08,0.149316,0.355407,0.77022,0.304066,0.336029,0.336036,1.12719,1.12717,-6.65567e-16,1.22325e-05,3.63775e-05
