image_size,block_size,stride,blocks,channels,local_features,train_samples,test_samples,lr_spice,equivalent_lr_torch_mse_tanh,update_noise_std,seed,epoch,test_accuracy,test_correct,trial_wall_time_s,weight_sharing,shared_weight_values,shared_bias_values,readout_values,output_bias_values,train_state_values,gradient_state_values,temporary_state_values,phase_state_values,expanded_weight_equivalent_values,multiply_terms_per_sample
7,5,1,9,1,9,2000,2000,0.005,0.025,0.0,0,1,0.1115,223,0.1466519169999998,shared_kernel,25,1,90,10,126,126,38,290,225,315
7,5,1,9,1,9,2000,2000,0.005,0.025,0.0,0,2,0.1045,209,0.25849945799999974,shared_kernel,25,1,90,10,126,126,38,290,225,315
7,5,1,9,1,9,2000,2000,0.005,0.025,0.0,0,3,0.183,366,0.3737421249999997,shared_kernel,25,1,90,10,126,126,38,290,225,315
7,5,1,9,1,9,2000,2000,0.005,0.025,0.0,0,4,0.2395,479,0.48662704199999984,shared_kernel,25,1,90,10,126,126,38,290,225,315
7,5,1,9,1,9,2000,2000,0.005,0.025,0.0,0,5,0.2775,555,0.6003709169999998,shared_kernel,25,1,90,10,126,126,38,290,225,315
7,5,1,9,1,9,2000,2000,0.005,0.025,0.0,0,6,0.412,824,0.713252625,shared_kernel,25,1,90,10,126,126,38,290,225,315
7,5,1,9,1,9,2000,2000,0.005,0.025,0.0,0,7,0.5295,1059,0.824733208,shared_kernel,25,1,90,10,126,126,38,290,225,315
7,5,1,9,1,9,2000,2000,0.005,0.025,0.0,0,8,0.6005,1201,0.9367817499999997,shared_kernel,25,1,90,10,126,126,38,290,225,315
7,5,1,9,1,9,2000,2000,0.005,0.025,0.0,0,9,0.6265,1253,1.0489885829999999,shared_kernel,25,1,90,10,126,126,38,290,225,315
7,5,1,9,1,9,2000,2000,0.005,0.025,0.0,0,10,0.637,1274,1.161094667,shared_kernel,25,1,90,10,126,126,38,290,225,315
7,5,1,9,1,9,2000,2000,0.005,0.025,0.0,0,11,0.6565,1313,1.2731832080000003,shared_kernel,25,1,90,10,126,126,38,290,225,315
7,5,1,9,1,9,2000,2000,0.005,0.025,0.0,0,12,0.674,1348,1.3847567919999997,shared_kernel,25,1,90,10,126,126,38,290,225,315
7,5,1,9,1,9,2000,2000,0.005,0.025,0.0,0,13,0.683,1366,1.4937381249999997,shared_kernel,25,1,90,10,126,126,38,290,225,315
7,5,1,9,1,9,2000,2000,0.005,0.025,0.0,0,14,0.695,1390,1.605044,shared_kernel,25,1,90,10,126,126,38,290,225,315
7,5,1,9,1,9,2000,2000,0.005,0.025,0.0,0,15,0.7125,1425,1.7167722079999996,shared_kernel,25,1,90,10,126,126,38,290,225,315
7,5,1,9,1,9,2000,2000,0.005,0.025,0.0,0,16,0.719,1438,1.829845417,shared_kernel,25,1,90,10,126,126,38,290,225,315
7,5,1,9,1,9,2000,2000,0.005,0.025,0.0,0,17,0.719,1438,1.9401334579999996,shared_kernel,25,1,90,10,126,126,38,290,225,315
7,5,1,9,1,9,2000,2000,0.005,0.025,0.0,0,18,0.721,1442,2.0524148749999997,shared_kernel,25,1,90,10,126,126,38,290,225,315
7,5,1,9,1,9,2000,2000,0.005,0.025,0.0,0,19,0.726,1452,2.164566458,shared_kernel,25,1,90,10,126,126,38,290,225,315
7,5,1,9,1,9,2000,2000,0.005,0.025,0.0,0,20,0.7225,1445,2.275592042,shared_kernel,25,1,90,10,126,126,38,290,225,315
7,5,1,9,1,9,2000,2000,0.005,0.025,0.0,0,21,0.734,1468,2.3861702919999996,shared_kernel,25,1,90,10,126,126,38,290,225,315
7,5,1,9,1,9,2000,2000,0.005,0.025,0.0,0,22,0.73,1460,2.4980640419999998,shared_kernel,25,1,90,10,126,126,38,290,225,315
7,5,1,9,1,9,2000,2000,0.005,0.025,0.0,0,23,0.7295,1459,2.6090204580000003,shared_kernel,25,1,90,10,126,126,38,290,225,315
7,5,1,9,1,9,2000,2000,0.005,0.025,0.0,0,24,0.7335,1467,2.7192038329999995,shared_kernel,25,1,90,10,126,126,38,290,225,315
7,5,1,9,1,9,2000,2000,0.005,0.025,0.0,0,25,0.733,1466,2.8314015419999996,shared_kernel,25,1,90,10,126,126,38,290,225,315
7,5,1,9,1,9,2000,2000,0.005,0.025,0.0,0,26,0.7395,1479,2.9426997079999997,shared_kernel,25,1,90,10,126,126,38,290,225,315
7,5,1,9,1,9,2000,2000,0.005,0.025,0.0,0,27,0.739,1478,3.0540120829999995,shared_kernel,25,1,90,10,126,126,38,290,225,315
7,5,1,9,1,9,2000,2000,0.005,0.025,0.0,0,28,0.736,1472,3.1638755,shared_kernel,25,1,90,10,126,126,38,290,225,315
7,5,1,9,1,9,2000,2000,0.005,0.025,0.0,0,29,0.7435,1487,3.2749597079999995,shared_kernel,25,1,90,10,126,126,38,290,225,315
7,5,1,9,1,9,2000,2000,0.005,0.025,0.0,0,30,0.7435,1487,3.387416833,shared_kernel,25,1,90,10,126,126,38,290,225,315
7,5,1,9,1,9,2000,2000,0.005,0.025,0.0,0,31,0.737,1474,3.4994705419999996,shared_kernel,25,1,90,10,126,126,38,290,225,315
7,5,1,9,1,9,2000,2000,0.005,0.025,0.0,0,32,0.737,1474,3.6114959579999995,shared_kernel,25,1,90,10,126,126,38,290,225,315
7,5,1,9,1,9,2000,2000,0.005,0.025,0.0,0,33,0.7435,1487,3.7219145829999998,shared_kernel,25,1,90,10,126,126,38,290,225,315
7,5,1,9,1,9,2000,2000,0.005,0.025,0.0,0,34,0.7385,1477,3.832753208,shared_kernel,25,1,90,10,126,126,38,290,225,315
7,5,1,9,1,9,2000,2000,0.005,0.025,0.0,0,35,0.748,1496,3.9457472499999997,shared_kernel,25,1,90,10,126,126,38,290,225,315
7,5,1,9,1,9,2000,2000,0.005,0.025,0.0,0,36,0.743,1486,4.0563769579999995,shared_kernel,25,1,90,10,126,126,38,290,225,315
7,5,1,9,1,9,2000,2000,0.005,0.025,0.0,0,37,0.7435,1487,4.1664471249999995,shared_kernel,25,1,90,10,126,126,38,290,225,315
7,5,1,9,1,9,2000,2000,0.005,0.025,0.0,0,38,0.7445,1489,4.276611208,shared_kernel,25,1,90,10,126,126,38,290,225,315
7,5,1,9,1,9,2000,2000,0.005,0.025,0.0,0,39,0.7455,1491,4.385973125,shared_kernel,25,1,90,10,126,126,38,290,225,315
7,5,1,9,1,9,2000,2000,0.005,0.025,0.0,0,40,0.7445,1489,4.4962944579999995,shared_kernel,25,1,90,10,126,126,38,290,225,315
7,5,1,9,1,9,2000,2000,0.005,0.025,0.0,0,41,0.747,1494,4.607325625,shared_kernel,25,1,90,10,126,126,38,290,225,315
7,5,1,9,1,9,2000,2000,0.005,0.025,0.0,0,42,0.753,1506,4.715443042,shared_kernel,25,1,90,10,126,126,38,290,225,315
7,5,1,9,1,9,2000,2000,0.005,0.025,0.0,0,43,0.7525,1505,4.826327458,shared_kernel,25,1,90,10,126,126,38,290,225,315
7,5,1,9,1,9,2000,2000,0.005,0.025,0.0,0,44,0.7385,1477,4.93615975,shared_kernel,25,1,90,10,126,126,38,290,225,315
7,5,1,9,1,9,2000,2000,0.005,0.025,0.0,0,45,0.752,1504,5.046594042000001,shared_kernel,25,1,90,10,126,126,38,290,225,315
7,5,1,9,1,9,2000,2000,0.005,0.025,0.0,0,46,0.7545,1509,5.1580724579999995,shared_kernel,25,1,90,10,126,126,38,290,225,315
7,5,1,9,1,9,2000,2000,0.005,0.025,0.0,0,47,0.7515,1503,5.268846208000001,shared_kernel,25,1,90,10,126,126,38,290,225,315
7,5,1,9,1,9,2000,2000,0.005,0.025,0.0,0,48,0.75,1500,5.379537542,shared_kernel,25,1,90,10,126,126,38,290,225,315
7,5,1,9,1,9,2000,2000,0.005,0.025,0.0,0,49,0.7505,1501,5.4992155,shared_kernel,25,1,90,10,126,126,38,290,225,315
7,5,1,9,1,9,2000,2000,0.005,0.025,0.0,0,50,0.751,1502,5.610962542000001,shared_kernel,25,1,90,10,126,126,38,290,225,315
7,5,1,9,1,9,2000,2000,0.005,0.025,0.0,0,51,0.7495,1499,5.721526167,shared_kernel,25,1,90,10,126,126,38,290,225,315
7,5,1,9,1,9,2000,2000,0.005,0.025,0.0,0,52,0.751,1502,5.833321292000001,shared_kernel,25,1,90,10,126,126,38,290,225,315
7,5,1,9,1,9,2000,2000,0.005,0.025,0.0,0,53,0.75,1500,5.943584083000001,shared_kernel,25,1,90,10,126,126,38,290,225,315
7,5,1,9,1,9,2000,2000,0.005,0.025,0.0,0,54,0.752,1504,6.061911417000001,shared_kernel,25,1,90,10,126,126,38,290,225,315
7,5,1,9,1,9,2000,2000,0.005,0.025,0.0,0,55,0.756,1512,6.176384125,shared_kernel,25,1,90,10,126,126,38,290,225,315
7,5,1,9,1,9,2000,2000,0.005,0.025,0.0,0,56,0.7515,1503,6.287659292000001,shared_kernel,25,1,90,10,126,126,38,290,225,315
7,5,1,9,1,9,2000,2000,0.005,0.025,0.0,0,57,0.753,1506,6.4020107920000004,shared_kernel,25,1,90,10,126,126,38,290,225,315
7,5,1,9,1,9,2000,2000,0.005,0.025,0.0,0,58,0.756,1512,6.518295833,shared_kernel,25,1,90,10,126,126,38,290,225,315
7,5,1,9,1,9,2000,2000,0.005,0.025,0.0,0,59,0.7565,1513,6.630671917000001,shared_kernel,25,1,90,10,126,126,38,290,225,315
