cycle,phase,pattern,label,reset_gradient,applied_update,target_out,other_out,margin,score0,score1,score0_cmp,score1_cmp,out0_cmp,out1_cmp,correct,mean_hidden_act,target_out_2950ps,other_out_2950ps,margin_2950ps,correct_2950ps,act0,act1,act2,act3,act4,act5,act6,act7,lose0,lose1,lead01,lead10,bwd_signal,dp0,dn0,output_delta_net_0,dp1,dn1,output_delta_net_1,max_abs_output_delta_signal,max_output_delta_node
0,initial_eval,0,0,False,False,0.049606,0.0497148,-0.000108752,0.19889,0.199058,0.182181,0.182229,0.0371676,0.0372011,False,0.41148750000000006,0.049606,0.0497148,-0.000108752,False,0.676265,0.432314,0.46712,0.528199,0.203879,0.295004,0.156486,0.532633,0.00228719,0.00228645,1.21989,1.21989,,,,,,,,,
1,initial_eval,1,0,False,False,0.0494259,0.0495526,-0.000126624,0.198295,0.19849,0.181691,0.181756,0.0370618,0.0371028,False,0.406035125,0.0494259,0.0495526,-0.000126624,False,0.739104,0.477707,0.411555,0.477523,0.180082,0.450461,0.161643,0.350206,0.00229466,0.00229367,1.21002,1.21002,,,,,,,,,
2,initial_eval,2,0,False,False,0.0493163,0.0496972,-0.000380846,0.198157,0.198744,0.181835,0.182322,0.0370212,0.037219,False,0.40224437500000004,0.0493163,0.0496972,-0.000380846,False,0.769845,0.430067,0.412376,0.605262,0.249139,0.326696,0.08,0.34457,0.00229246,0.00228504,1.20024,1.20023,,,,,,,,,
3,initial_eval,3,0,False,False,0.0483809,0.0500795,-0.00169859,0.196183,0.198799,0.179945,0.182046,0.0411369,0.0420086,False,0.5017732500000001,0.0483809,0.0500795,-0.00169859,False,0.432994,0.769845,0.642077,0.551152,0.555077,0.08,0.410254,0.572787,0.00232176,0.00228924,1.19054,1.19052,,,,,,,,,
4,initial_eval,4,0,False,False,0.0488788,0.0491815,-0.000302709,0.196598,0.197064,0.180256,0.180622,0.0413743,0.0415267,False,0.6073775,0.0488788,0.0491815,-0.000302709,False,0.608103,0.769845,0.769845,0.645065,0.08,0.769845,0.446472,0.769845,0.00231688,0.00231117,1.18091,1.18089,,,,,,,,,
5,initial_eval,5,0,False,False,0.0481051,0.0496875,-0.00158241,0.195141,0.197577,0.179242,0.181602,0.0362925,0.0371959,False,0.545476,0.0481051,0.0496875,-0.00158241,False,0.769846,0.769842,0.608496,0.769846,0.409298,0.234623,0.168272,0.633585,0.00233284,0.00229604,1.17137,1.17133,,,,,,,,,
6,initial_eval,6,0,False,False,0.0485479,0.049291,-0.000743049,0.19588,0.197023,0.180028,0.181038,0.0365613,0.0369601,False,0.5985944999999999,0.0485479,0.049291,-0.000743049,False,0.541098,0.769844,0.769842,0.700954,0.34338,0.769844,0.123952,0.769842,0.00232045,0.00230473,1.16189,1.16186,,,,,,,,,
7,initial_eval,7,0,False,False,0.0477467,0.0493789,-0.00163223,0.193968,0.19648,0.177787,0.180315,0.0360639,0.0370183,False,0.472466125,0.0477467,0.0493789,-0.00163223,False,0.699473,0.769843,0.606274,0.719964,0.405065,0.148888,0.112166,0.318056,0.00235613,0.00231596,1.1525,1.15246,,,,,,,,,
8,initial_eval,8,1,False,False,0.0484711,0.047586,0.000885157,0.192741,0.194101,0.175521,0.176747,0.0359191,0.0363988,True,0.24862142500000003,0.0484711,0.047586,0.000885157,True,0.0882504,0.459215,0.331106,0.159288,0.317466,0.101517,0.381526,0.150603,0.00239334,0.00237306,1.14319,1.14315,,,,,,,,,
9,initial_eval,9,1,False,False,0.0480791,0.0450286,0.00305046,0.186004,0.190683,0.168286,0.173015,0.0343864,0.0361608,True,0.21884825,0.0480791,0.0450286,0.00305046,True,0.459365,0.08,0.08,0.427737,0.173147,0.184416,0.266121,0.08,0.00252055,0.00243592,1.14028,1.14025,,,,,,,,,
