cycle,phase,pattern,label,target_out,other_out,margin,correct,mean_hidden_act,act0,act1,act2,act3,act4,act5,act6,act7,post_update_margin,d_margin_after_update,max_abs_readout_signed_delta,max_abs_hidden_signed_delta,max_abs_hidden_delta_signal
0,initial_eval,0,0,0.12822,0.135296,-0.00707552,False,0.0905694,0.0587727,0.194423,0.0493459,0.0992391,0.0478418,0.0691868,0.111589,0.0941569,,,,,
1,initial_eval,1,1,0.135317,0.127951,0.00736541,True,0.0711983125,0.0629245,0.129433,-3.32808e-26,0.1868,0.0107475,0.0814973,0.04358,0.0546042,,,,,
2,initial_eval,2,1,0.136376,0.12967,0.00670683,True,0.09677895,0.101403,0.069015,0.150537,0.0421659,0.0842061,0.0846076,0.121207,0.12109,,,,,
3,initial_eval,3,0,0.131887,0.138652,-0.00676487,False,0.091459475,0.177598,0.0626052,0.0967104,0.0976939,0.0551306,0.112826,0.07512,0.0539917,,,,,
4,train,0,0,0.128219,0.135294,-0.00707549,False,0.090568325,0.0587714,0.194422,0.0493446,0.0992371,0.0478408,0.0691852,0.11159,0.0941555,-0.00184277,0.00523272,0.0341166,5.53203e-07,3.68873e-07
5,train,1,1,0.135315,0.133176,0.002139,True,0.07119706249999999,0.062923,0.129432,-2.02628e-26,0.186798,0.0107465,0.0814952,0.0435792,0.0546026,0.00730682,0.00516782,0.0349576,5.53202e-07,5.69397e-07
6,train,2,1,0.141613,0.134988,0.00662478,True,0.096777625,0.101402,0.0690128,0.150535,0.0421644,0.0842052,0.0846066,0.121206,0.121089,0.0126431,0.00601831,0.0334666,5.53201e-07,6.2917e-07
7,train,3,0,0.137208,0.150042,-0.0128336,False,0.091458425,0.177599,0.0626028,0.0967093,0.0976924,0.0551296,0.112825,0.0751191,0.0539902,-0.00655655,0.00627705,0.0326073,5.53201e-07,2.16034e-07
8,train,0,0,0.139475,0.146393,-0.00691856,False,0.0905672125,0.05877,0.194422,0.0493433,0.099235,0.0478397,0.0691837,0.11159,0.094154,0.000165497,0.00708406,0.0310732,5.532e-07,3.67741e-07
9,train,1,1,0.146409,0.146262,0.00014727,True,0.07119579999999999,0.0629215,0.12943,-2.02623e-26,0.186797,0.0107455,0.0814931,0.0435784,0.0546009,0.0070572,0.00690992,0.0319454,5.53199e-07,5.69388e-07
10,train,2,1,0.154653,0.14833,0.0063232,True,0.096776425,0.101401,0.0690107,0.150534,0.0421629,0.0842043,0.0846055,0.121205,0.121088,0.0146996,0.00837642,0.0304035,5.53197e-07,6.29165e-07
