cycle,phase,pattern,label,reset_gradient,applied_update,target_out,other_out,margin,correct,mean_hidden_act,act0,act1,act2,act3,act4,act5,act6,act7,lose0,lose1,lead01,lead10,max_abs_hidden_delta_signal,post_update_margin,d_margin_after_update,max_abs_readout_weight_signed_delta,max_abs_output_bias_signed_delta,max_abs_readout_signed_delta,max_abs_hidden_signed_delta
0,initial_eval,0,0,False,False,0.127543,0.134611,-0.007068,False,0.0905694125,0.0587728,0.194423,0.049346,0.099239,0.0478419,0.0691867,0.111589,0.0941569,0.339399,0.339278,7.06817e-106,-8.73093e-106,,,,,,,
1,initial_eval,1,1,False,False,0.135686,0.128408,0.007278,True,0.07119829999999999,0.0629245,0.129433,-3.35092e-26,0.1868,0.0107474,0.0814974,0.0435799,0.0546042,0.339602,0.339371,1.40538e-82,-2.06973e-73,,,,,,,
2,initial_eval,2,1,False,False,0.137389,0.130804,0.00658479,True,0.096778775,0.101403,0.0690149,0.150536,0.0421659,0.084206,0.0846074,0.121207,0.12109,0.341442,0.341417,-2.56953e-83,1.87225e-72,,,,,,,
3,initial_eval,3,0,False,False,0.131511,0.138217,-0.00670614,False,0.09145944999999998,0.177598,0.0626052,0.0967103,0.0976938,0.0551306,0.112826,0.07512,0.0539917,0.339947,0.339874,-1.0014e-82,-9.35169e-73,,,,,,,
4,train,0,0,True,False,0.128787,0.1357,-0.00691317,False,0.09056831250000001,0.0587714,0.194422,0.0493447,0.099237,0.0478408,0.0691852,0.11159,0.0941554,0.339441,0.339319,1.04242e-81,-7.90853e-73,1.73354e-237,,,,,,
5,train,1,1,False,False,0.135685,0.128407,0.00727798,True,0.071197075,0.062923,0.129432,-3.32782e-26,0.186798,0.0107464,0.0814954,0.0435792,0.0546026,0.339644,0.339413,4.34735e-41,-5.75839e-41,7.79754e-267,,,,,,
6,train,2,1,False,False,0.137388,0.130803,0.00658475,True,0.0967776625,0.101402,0.0690133,0.150535,0.0421645,0.0842051,0.0846064,0.121206,0.121089,0.341484,0.341459,1.80357e-81,1.0756e-72,3.49015e-296,,,,,,
7,train,3,0,False,True,0.13151,0.138216,-0.00670609,False,0.0914585,0.177599,0.0626034,0.0967092,0.0976924,0.0551297,0.112825,0.0751191,0.0539902,0.339989,0.339916,1.74018e-81,-2.45565e-72,0.0,-0.00670594,1.55102e-07,1.11738e-07,1.35198e-07,1.35198e-07,5.53194e-07
8,final_eval,0,0,False,False,0.128416,0.135355,-0.00693985,False,0.09056711249999999,0.05877,0.194421,0.0493434,0.099235,0.0478398,0.0691837,0.11159,0.094154,0.339399,0.339277,1.10193e-81,-1.53648e-72,,,,,,,
9,final_eval,1,1,False,False,0.135684,0.128406,0.00727796,True,0.071195825,0.0629215,0.12943,-3.32772e-26,0.186797,0.0107454,0.0814933,0.0435784,0.054601,0.339602,0.339371,-6.89771e-82,4.88083e-73,,,,,,,
10,final_eval,2,1,False,False,0.137386,0.130802,0.00658471,True,0.0967765375,0.101401,0.0690117,0.150534,0.042163,0.0842042,0.0846054,0.121205,0.121088,0.341442,0.341417,-1.42152e-81,1.34964e-72,,,,,,,
11,final_eval,3,0,False,False,0.131508,0.138214,-0.00670605,False,0.09145738750000001,0.177599,0.0626016,0.096708,0.0976909,0.0551287,0.112824,0.0751182,0.0539887,0.339947,0.339874,-1.4433e-81,-2.05987e-72,,,,,,,
