epoch,loss,test_accuracy,test_correct,train_probe_accuracy,train_probe_correct,wall_time_s
1,0.5194674769242604,0.9229,9229,0.9132,9132,0.16422466599999996
2,0.23843247826894123,0.9441,9441,0.9383,9383,0.2821742909999996
3,0.18106971278985343,0.9578,9578,0.9537,9537,0.3977881659999998
4,0.14738981887102126,0.9598,9598,0.9572,9572,0.517923583
5,0.12954015096624694,0.9659,9659,0.9642,9642,0.634389541
6,0.11573726056416829,0.9702,9702,0.9686,9686,0.7528936659999994
7,0.10683157583872477,0.9723,9723,0.9702,9702,0.868326583
8,0.09872233379483222,0.9713,9713,0.9719,9719,0.9808737499999998
9,0.0933859280427297,0.9744,9744,0.9748,9748,1.0907479159999998
10,0.0905665546576182,0.9734,9734,0.9749,9749,1.2062684160000003
11,0.08779125125805537,0.9749,9749,0.976,9760,1.33315975
12,0.08512151098648707,0.9729,9729,0.9749,9749,1.44569175
13,0.08232054521640142,0.9749,9749,0.9767,9767,1.5583949159999992
14,0.08030973352193832,0.9755,9755,0.9764,9764,1.6684107499999996
15,0.07821356798410416,0.9751,9751,0.9742,9742,1.7862574159999998
16,0.07775280886888504,0.9735,9735,0.9762,9762,1.9057914159999996
17,0.07540120515624682,0.9745,9745,0.979,9790,2.0210644999999996
18,0.07380643402934074,0.9728,9728,0.9781,9781,2.130695040999999
19,0.07341560717821122,0.9786,9786,0.9804,9804,2.2388005
20,0.07226943504214287,0.9743,9743,0.9784,9784,2.348606083
