readout_time_ns,tau_act_ns,tau_score_ns,accuracy,correct,total,time_over_tau_act,time_over_tau_score
0.0,0.2,0.2,0.0925,185,2000,0.0,0.0
0.01,0.2,0.2,0.116,232,2000,0.049999999999999996,0.049999999999999996
0.02,0.2,0.2,0.143,286,2000,0.09999999999999999,0.09999999999999999
0.03,0.2,0.2,0.2845,569,2000,0.15,0.15
0.04,0.2,0.2,0.3835,767,2000,0.19999999999999998,0.19999999999999998
0.05,0.2,0.2,0.4635,927,2000,0.25,0.25
0.06,0.2,0.2,0.506,1012,2000,0.3,0.3
0.07,0.2,0.2,0.528,1056,2000,0.35000000000000003,0.35000000000000003
0.08,0.2,0.2,0.543,1086,2000,0.39999999999999997,0.39999999999999997
0.09,0.2,0.2,0.558,1116,2000,0.44999999999999996,0.44999999999999996
0.1,0.2,0.2,0.57,1140,2000,0.5,0.5
0.11,0.2,0.2,0.581,1162,2000,0.5499999999999999,0.5499999999999999
0.12,0.2,0.2,0.5915,1183,2000,0.6,0.6
0.13,0.2,0.2,0.604,1208,2000,0.65,0.65
0.14,0.2,0.2,0.6205,1241,2000,0.7000000000000001,0.7000000000000001
0.15,0.2,0.2,0.6375,1275,2000,0.7499999999999999,0.7499999999999999
0.16,0.2,0.2,0.654,1308,2000,0.7999999999999999,0.7999999999999999
0.17,0.2,0.2,0.6725,1345,2000,0.85,0.85
0.18,0.2,0.2,0.6905,1381,2000,0.8999999999999999,0.8999999999999999
0.19,0.2,0.2,0.707,1414,2000,0.95,0.95
0.2,0.2,0.2,0.726,1452,2000,1.0,1.0
0.21,0.2,0.2,0.736,1472,2000,1.0499999999999998,1.0499999999999998
0.22,0.2,0.2,0.7475,1495,2000,1.0999999999999999,1.0999999999999999
0.23,0.2,0.2,0.7695,1539,2000,1.15,1.15
0.24,0.2,0.2,0.7825,1565,2000,1.2,1.2
0.25,0.2,0.2,0.795,1590,2000,1.25,1.25
0.26,0.2,0.2,0.8055,1611,2000,1.3,1.3
0.27,0.2,0.2,0.8165,1633,2000,1.35,1.35
