experiment,theta,act,pre,delta,write_width_u,score_initial,score_final,read_response,w_final,w_before,w_after,discharge,charge,state_delta_v,signed_state_delta_v,read_slope,read_gain,write_discharge_v,effective_mobility
read_positive,0.1,0.25,,,,0.0,-1.16246e-110,-1.16246e-110,0.1,,,,,,,0.31076733333333334,-4.64984e-110,0.00284352,0.00088367312768
read_positive,0.13,0.25,,,,0.0,0.00932302,0.00932302,0.13,,,,,,,0.3898833095238095,0.03729208,0.00361374,0.0014089369109585713
read_positive,0.34,0.25,,,,0.0,0.207499,0.207499,0.34,,,,,,,0.9436951428571427,0.829996,0.00793078,0.007484238565068571
read_negative,0.1,0.25,,,,0.299982,0.299887,9.48962e-05,0.1,,,,,,,9.996236793333333,0.0003795848,0.00284352,0.0284244992465792
read_negative,0.13,0.25,,,,0.299982,1.48021e-67,0.299982,0.13,,,,,,,8.746707194166667,1.199928,0.00361374,0.03160832565584785
read_negative,0.34,0.25,,,,0.299982,3.06411e-300,0.299982,0.34,,,,,,,0.0,1.199928,0.00793078,0.0
read_positive,0.1,0.5,,,,0.0,-5.58935e-112,-5.58935e-112,0.1,,,,,,,0.31078500000000003,-1.11787e-111,0.00284352,0.0008837233632000001
read_positive,0.13,0.5,,,,0.0,0.00932355,0.00932355,0.13,,,,,,,0.3898990476190476,0.0186471,0.00361374,0.001408993784342857
read_positive,0.34,0.5,,,,0.0,0.2075,0.2075,0.34,,,,,,,0.9436973809523809,0.415,0.00793078,0.007484256314909524
read_negative,0.1,0.5,,,,0.299982,0.299887,9.49479e-05,0.1,,,,,,,9.996235070000003,0.0001898958,0.00284352,0.028424494346246408
read_negative,0.13,0.5,,,,0.299982,3.46587e-69,0.299982,0.13,,,,,,,8.746705686250001,0.599964,0.00361374,0.03160832020662908
read_negative,0.34,0.5,,,,0.299982,0.0,0.299982,0.34,,,,,,,0.0,0.599964,0.00793078,0.0
write_discharge,0.1,,0.65,1.0,0.0008,,,,,0.1,0.0971565,0.00284352,-0.00284352,0.00284352,-0.00284352,,,0.00284352,
write_discharge,0.13,,0.65,1.0,0.0008,,,,,0.13,0.126386,0.00361374,-0.00361374,0.00361374,-0.00361374,,,0.00361374,
write_discharge,0.34,,0.65,1.0,0.0008,,,,,0.34,0.332069,0.00793078,-0.00793078,0.00793078,-0.00793078,,,0.00793078,
write_charge,0.1,,0.65,1.0,0.0008,,,,,0.1,0.106802,-0.00680238,0.00680238,0.00680238,0.00680238,,,0.00284352,
write_charge,0.13,,0.65,1.0,0.0008,,,,,0.13,0.135866,-0.00586647,0.00586647,0.00586647,0.00586647,,,0.00361374,
write_charge,0.34,,0.65,1.0,0.0008,,,,,0.34,0.340994,-0.000993858,0.000993858,0.000993858,0.000993858,,,0.00793078,
