experiment,theta,act,pre,delta,write_width_u,score_initial,score_final,read_response,w_final,w_before,w_after,discharge,charge,state_delta_v,signed_state_delta_v,read_slope,read_gain,write_discharge_v,effective_mobility
read_positive,0.1,0.25,,,,0.0,-1.16246e-110,-1.16246e-110,0.1,,,,,,,0.6255483333333334,-4.64984e-110,1.62398e-08,1.0158779823666667e-08
read_positive,0.16,0.25,,,,0.0,0.0375329,0.0375329,0.16,,,,,,,0.761396011904762,0.1501316,2.93038e-06,2.2311796453654766e-06
read_positive,0.24,0.25,,,,0.0,0.112935,0.112935,0.24,,,,,,,0.9439101388888885,0.45174,3.45673e-05,3.2628424944013876e-05
read_positive,0.34,0.25,,,,0.0,0.207499,0.207499,0.34,,,,,,,0.5386596969696966,0.829996,0.000595485,0.00032076376964999977
read_positive,0.46,0.25,,,,0.0,0.213533,0.213533,0.46,,,,,,,0.02514166666666673,0.854132,0.00173633,4.365423008333344e-05
read_positive,0.58,0.25,,,,0.0,0.213533,0.213533,0.58,,,,,,,0.0,0.854132,0.00306673,0.0
read_negative,0.1,0.25,,,,0.299982,0.299887,9.48962e-05,0.1,,,,,,,4.9981183966666665,0.0003795848,1.62398e-08,8.116844313818733e-08
read_negative,0.16,0.25,,,,0.299982,4.64312e-215,0.299982,0.16,,,,,,,2.856067655238096,1.199928,2.93038e-06,8.369363535556612e-06
read_negative,0.24,0.25,,,,0.299982,-1.90102e-272,0.299982,0.24,,,,,,,-2.220446049250313e-16,1.199928,3.45673e-05,-7.675482471825034e-21
read_negative,0.34,0.25,,,,0.299982,3.06411e-300,0.299982,0.34,,,,,,,-2.220446049250313e-16,1.199928,0.000595485,-1.3222423156378226e-19
read_negative,0.46,0.25,,,,0.299982,0.0,0.299982,0.46,,,,,,,0.0,1.199928,0.00173633,0.0
read_negative,0.58,0.25,,,,0.299982,0.0,0.299982,0.58,,,,,,,0.0,1.199928,0.00306673,0.0
read_positive,0.1,0.5,,,,0.0,-5.58935e-112,-5.58935e-112,0.1,,,,,,,0.6255583333333333,-1.11787e-111,1.62398e-08,1.0158942221666668e-08
read_positive,0.16,0.5,,,,0.0,0.0375335,0.0375335,0.16,,,,,,,0.761398511904762,0.075067,2.93038e-06,2.2311869713154763e-06
read_positive,0.24,0.5,,,,0.0,0.112935,0.112935,0.24,,,,,,,0.9439104166666663,0.22587,3.45673e-05,3.2628434546041653e-05
read_positive,0.34,0.5,,,,0.0,0.2075,0.2075,0.34,,,,,,,0.9471083333333331,0.415,0.000595485,0.0005639888058749998
read_positive,0.46,0.5,,,,0.0,0.321363,0.321363,0.46,,,,,,,0.9503208333333335,0.642726,0.00173633,0.0016500705725416669
read_positive,0.58,0.5,,,,0.0,0.435577,0.435577,0.58,,,,,,,0.9517833333333336,0.871154,0.00306673,0.0029188625018333344
read_negative,0.1,0.5,,,,0.299982,0.299887,9.49479e-05,0.1,,,,,,,4.998117535000001,0.0001898958,1.62398e-08,8.116842914489303e-08
read_negative,0.16,0.5,,,,0.299982,6.84129e-220,0.299982,0.16,,,,,,,2.8560671628571432,0.599964,2.93038e-06,8.369362092693315e-06
read_negative,0.24,0.5,,,,0.299982,4.08555e-290,0.299982,0.24,,,,,,,-2.220446049250313e-16,0.599964,3.45673e-05,-7.675482471825034e-21
read_negative,0.34,0.5,,,,0.299982,0.0,0.299982,0.34,,,,,,,-2.220446049250313e-16,0.599964,0.000595485,-1.3222423156378226e-19
read_negative,0.46,0.5,,,,0.299982,0.0,0.299982,0.46,,,,,,,0.0,0.599964,0.00173633,0.0
read_negative,0.58,0.5,,,,0.299982,0.0,0.299982,0.58,,,,,,,0.0,0.599964,0.00306673,0.0
read_positive,0.1,0.75,,,,0.0,1.20878e-104,1.20878e-104,0.1,,,,,,,0.6255666666666666,1.6117066666666666e-104,1.62398e-08,1.0159077553333334e-08
read_positive,0.16,0.75,,,,0.0,0.037534,0.037534,0.16,,,,,,,0.7614059523809524,0.05004533333333333,2.93038e-06,2.2312087747380954e-06
read_positive,0.24,0.75,,,,0.0,0.112936,0.112936,0.24,,,,,,,0.9439138888888887,0.15058133333333332,3.45673e-05,3.262855457138888e-05
read_positive,0.34,0.75,,,,0.0,0.207501,0.207501,0.34,,,,,,,0.9471045454545453,0.27666799999999997,0.000595485,0.0005639865502499999
read_positive,0.46,0.75,,,,0.0,0.321363,0.321363,0.46,,,,,,,0.9503166666666668,0.42848400000000003,0.00173633,0.0016500633378333336
read_positive,0.58,0.75,,,,0.0,0.435577,0.435577,0.58,,,,,,,0.9517833333333336,0.5807693333333334,0.00306673,0.0029188625018333344
read_negative,0.1,0.75,,,,0.299982,0.299887,9.49482e-05,0.1,,,,,,,4.998117530000001,0.0001265976,1.62398e-08,8.116842906369402e-08
read_negative,0.16,0.75,,,,0.299982,2.28519e-221,0.299982,0.16,,,,,,,2.8560671600000003,0.39997600000000005,2.93038e-06,8.369362084320801e-06
read_negative,0.24,0.75,,,,0.299982,-4.81537e-295,0.299982,0.24,,,,,,,-2.220446049250313e-16,0.39997600000000005,3.45673e-05,-7.675482471825034e-21
read_negative,0.34,0.75,,,,0.299982,0.0,0.299982,0.34,,,,,,,-2.220446049250313e-16,0.39997600000000005,0.000595485,-1.3222423156378226e-19
read_negative,0.46,0.75,,,,0.299982,0.0,0.299982,0.46,,,,,,,0.0,0.39997600000000005,0.00173633,0.0
read_negative,0.58,0.75,,,,0.299982,0.0,0.299982,0.58,,,,,,,0.0,0.39997600000000005,0.00306673,0.0
write_discharge,0.1,,0.65,1.0,0.0008,,,,,0.1,0.1,1.62398e-08,-1.62398e-08,1.62398e-08,-1.62398e-08,,,1.62398e-08,
write_discharge,0.16,,0.65,1.0,0.0008,,,,,0.159981,0.159978,2.93038e-06,-2.93038e-06,2.93038e-06,-2.93038e-06,,,2.93038e-06,
write_discharge,0.24,,0.65,1.0,0.0008,,,,,0.239914,0.23988,3.45673e-05,-3.45673e-05,3.45673e-05,-3.45673e-05,,,3.45673e-05,
write_discharge,0.34,,0.65,1.0,0.0008,,,,,0.339822,0.339227,0.000595485,-0.000595485,0.000595485,-0.000595485,,,0.000595485,
write_discharge,0.46,,0.65,1.0,0.0008,,,,,0.459708,0.457972,0.00173633,-0.00173633,0.00173633,-0.00173633,,,0.00173633,
write_discharge,0.58,,0.65,1.0,0.0008,,,,,0.579592,0.576526,0.00306673,-0.00306673,0.00306673,-0.00306673,,,0.00306673,
write_charge,0.1,,0.65,1.0,0.0008,,,,,0.1,0.10076,-0.000759509,0.000759509,0.000759509,0.000759509,,,1.62398e-08,
