cycle,phase,pattern,label,reset_gradient,applied_update,target_out,other_out,margin,score0,score1,score0_cmp,score1_cmp,out0_cmp,out1_cmp,correct,mean_hidden_act,target_out_2950ps,other_out_2950ps,margin_2950ps,correct_2950ps,act0,act1,act2,act3,lose0,lose1,lead01,lead10,bwd_signal,max_abs_output_delta_signal,max_output_delta_node,max_abs_hidden_delta_signal,max_hidden_delta_node,max_abs_hidden_delta_update_signal,max_hidden_delta_update_node,max_abs_hidden_delta_gate_signal,max_hidden_delta_gate_node
0,initial_eval,0,0,False,False,0.13138,0.138638,-0.00725785,0.158142,0.166693,0.00771957,0.00750512,0.131373,0.13863,False,0.1003508,0.13138,0.138638,-0.00725785,False,0.0586814,0.194322,0.0492555,0.0991443,0.337373,0.337326,1.21751,1.21742,,,,,,,,,
1,initial_eval,1,1,False,False,0.137575,0.130439,0.0071362,0.154783,0.163566,0.0100138,0.00979709,0.130432,0.137568,True,0.09471605,0.137575,0.130439,0.0071362,True,0.0628312,0.129335,6.21325e-23,0.186698,0.33777,0.337709,1.20701,1.20687,,,,,,,,,
2,initial_eval,2,1,False,False,0.146964,0.139461,0.00750323,0.17095,0.179275,0.00863177,0.00839341,0.139454,0.146956,True,0.0906834,0.146964,0.139461,0.00750323,True,0.101306,0.0689194,0.150435,0.0420732,0.337565,0.337513,1.19648,1.19628,,,,,,,,,
3,initial_eval,3,0,False,False,0.134742,0.141866,-0.00712354,0.158625,0.167442,0.00879983,0.00857482,0.134735,0.141858,False,0.108553925,0.134742,0.141866,-0.00712354,False,0.1775,0.0625081,0.0966126,0.097595,0.338109,0.338029,1.18612,1.18587,,,,,,,,,
4,train,0,0,True,True,0.131776,0.138932,-0.00715651,0.158138,0.166688,0.00772012,0.00750564,0.131768,0.138925,False,0.10034375,0.131776,0.138932,-0.00715651,False,0.0586746,0.194317,0.049249,0.0991344,0.337415,0.337368,0.387166,1.2,1.14866,0.105045,0.10544,5.37267e-05,0.0815211,5.35809e-05,0.0812998,0.000701003,1.17615
5,train,1,1,True,True,0.129419,0.131514,-0.00209527,0.15489,0.154155,0.0100343,0.0100529,0.131507,0.129412,False,0.0945743,0.129419,0.131514,-0.00209527,False,0.0625482,0.129113,-1.4675e-26,0.186636,0.337769,0.337796,1.19999,0.582884,1.14865,0.0973548,0.0982364,7.12894e-05,0.0732234,7.1096e-05,0.0730247,1.19882,1.19882
6,train,2,1,True,True,0.139117,0.132314,0.00680291,0.163036,0.170737,0.00893255,0.00869185,0.132306,0.139109,True,0.09022217499999999,0.139117,0.132314,0.00680291,True,0.10112,0.0683003,0.149999,0.0414694,0.337615,0.337566,0.416368,1.2,1.15022,0.0990119,0.0990128,7.11124e-05,0.0718463,7.09194e-05,0.0716513,1.19171,1.19171
7,train,3,0,True,True,0.120684,0.135905,-0.0152206,0.141908,0.159199,0.00912338,0.00867254,0.120678,0.135897,False,0.1083151,0.120684,0.135905,-0.0152206,False,0.178842,0.0614376,0.0960481,0.0969327,0.338197,0.338017,1.2,0.168876,1.14238,0.101622,0.1025,8.44118e-05,0.077497,8.41827e-05,0.0772867,1.19958,1.19958
8,train,0,0,True,True,0.119107,0.124351,-0.00524438,0.144369,0.150417,0.00821503,0.00806549,0.1191,0.124345,False,0.09947875,0.119107,0.124351,-0.00524438,False,0.0576861,0.194239,0.0483091,0.0976808,0.337372,0.337364,1.2,0.201005,1.14238,0.0912817,0.0912825,0.000132816,0.0677428,0.000132455,0.0675589,1.06091,1.19661
9,train,1,1,True,True,0.11779,0.119427,-0.00163647,0.140747,0.1409,0.0105022,0.0104747,0.11942,0.117784,False,0.094106225,0.11779,0.119427,-0.00163647,False,0.0616319,0.128378,-1.53236e-26,0.186415,0.337793,0.337804,1.2,0.497673,1.15018,0.0856311,0.0865022,0.000154328,0.0619013,0.000153909,0.0617333,1.19913,1.19913
