cycle,phase,pattern,label,reset_gradient,applied_update,target_out,other_out,margin,score0,score1,score0_cmp,score1_cmp,correct,mean_hidden_act,act0,act1,act2,act3,act4,act5,act6,act7,lose0,lose1,lead01,lead10,max_abs_hidden_delta_signal,post_update_margin,d_margin_after_update,max_abs_readout_weight_signed_delta,max_abs_output_bias_signed_delta,max_abs_readout_signed_delta,max_abs_hidden_signed_delta
0,initial_eval,0,0,False,False,0.127543,0.134611,-0.007068,0.143397,0.152076,0.00788511,0.00770796,False,0.0905694125,0.0587728,0.194423,0.049346,0.099239,0.0478419,0.0691867,0.111589,0.0941569,0.339399,0.339278,-3.26874e-46,-3.61656e-46,,,,,,,
1,initial_eval,1,1,False,False,0.135686,0.128408,0.007278,0.150274,0.159827,0.0284345,0.0282743,True,0.07119829999999999,0.0629245,0.129433,-3.32792e-26,0.1868,0.0107474,0.0814974,0.0435799,0.0546042,0.339602,0.339371,-5.32039e-94,-5.93853e-94,,,,,,,
2,initial_eval,2,1,False,False,0.137389,0.130804,0.00658479,0.142621,0.150384,0.0118545,0.0117628,True,0.09677878749999999,0.101403,0.0690149,0.150536,0.0421659,0.084206,0.0846075,0.121207,0.12109,0.341442,0.341417,-2.75134e-65,5.10777e-10,,,,,,,
3,initial_eval,3,0,False,False,0.131511,0.138217,-0.00670614,0.145734,0.153742,0.00818712,0.00803676,False,0.09145944999999998,0.177598,0.0626052,0.0967103,0.0976938,0.0551306,0.112826,0.07512,0.0539917,0.339947,0.339874,-4.7135e-45,-9.02718e-46,,,,,,,
4,train,0,0,True,False,0.128787,0.135701,-0.00691319,0.143396,0.152076,0.00788503,0.00770788,False,0.0905683,0.0587714,0.194422,0.0493446,0.099237,0.0478408,0.0691852,0.11159,0.0941554,0.339441,0.339319,0.0259776,0.0259776,2.89183e-205,,,,,,
5,train,1,1,False,False,0.135685,0.128407,0.00727798,0.150274,0.159826,0.0284349,0.0282746,True,0.071197075,0.062923,0.129432,-3.35081e-26,0.186798,0.0107464,0.0814954,0.0435792,0.0546026,0.339644,0.339413,0.0259776,0.0259776,1.50146e-207,,,,,,
6,train,2,1,False,False,0.137388,0.130803,0.00658475,0.14262,0.150383,0.0118544,0.0117626,True,0.09677767500000001,0.101402,0.0690133,0.150535,0.0421645,0.0842051,0.0846065,0.121206,0.121089,0.341484,0.341459,0.0259778,0.0259778,6.72048e-237,,,,,,
7,train,3,0,False,True,0.13151,0.138216,-0.00670609,0.145733,0.153741,0.00818691,0.00803655,False,0.0914585,0.177599,0.0626034,0.0967092,0.0976924,0.0551297,0.112825,0.0751191,0.0539902,0.339989,0.339916,0.0259776,0.0259777,3.00806e-266,-0.00670593,1.61936e-07,1.11738e-07,1.35198e-07,1.35198e-07,5.53194e-07
8,final_eval,0,0,False,False,0.128416,0.135356,-0.00693992,0.143396,0.152075,0.00788499,0.00770783,False,0.09056711249999999,0.05877,0.194421,0.0493434,0.099235,0.0478398,0.0691837,0.11159,0.094154,0.339399,0.339277,5.22547e-50,5.22547e-50,,,,,,,
9,final_eval,1,1,False,False,0.135684,0.128406,0.00727796,0.150273,0.159825,0.0284352,0.0282749,True,0.071195825,0.0629215,0.12943,-3.32774e-26,0.186797,0.0107454,0.0814933,0.0435784,0.054601,0.339602,0.339371,1.49095e-96,8.58042e-98,,,,,,,
10,final_eval,2,1,False,False,0.137386,0.130802,0.00658471,0.14262,0.150383,0.0118542,0.0117625,True,0.0967765375,0.101401,0.0690117,0.150534,0.042163,0.0842042,0.0846054,0.121205,0.121088,0.341442,0.341417,-2.74844e-65,5.10764e-10,,,,,,,
11,final_eval,3,0,False,False,0.131508,0.138214,-0.00670605,0.145732,0.15374,0.00818671,0.00803634,False,0.09145738750000001,0.177599,0.0626016,0.096708,0.0976909,0.0551287,0.112824,0.0751182,0.0539887,0.339947,0.339874,-3.9353e-45,-8.93018e-46,,,,,,,
