cycle,phase,pattern,label,reset_gradient,applied_update,target_out,other_out,margin,score0,score1,score0_cmp,score1_cmp,out0_cmp,out1_cmp,correct,mean_hidden_act,act0,act1,act2,act3,act4,act5,act6,act7,lose0,lose1,lead01,lead10
0,initial_eval,0,0,False,False,0.13091,0.137478,-0.00656763,0.12549,0.133759,0.0141951,0.0140901,0.130903,0.13747,False,0.111727725,0.160017,0.098667,0.119667,0.115452,0.0692549,0.0968149,0.101436,0.132513,0.343408,0.343203,1.21429,1.21421
1,initial_eval,1,0,False,False,0.143107,0.150291,-0.00718349,0.174769,0.18257,0.0071471,0.00695829,0.1431,0.150283,False,0.0629662,0.126539,0.0524874,0.0329494,0.100647,0.0224351,0.075213,0.0452517,0.048207,0.338077,0.338066,1.20366,1.20352
2,initial_eval,2,0,False,False,0.147249,0.154376,-0.00712632,0.18003,0.187526,0.0020666,0.00185068,0.147241,0.154367,False,0.0643493625,0.0739293,0.0416316,0.103905,0.0341516,0.0514119,0.0564989,0.0828962,0.0703704,0.337324,0.337334,1.19312,1.19293
3,initial_eval,3,0,False,False,0.155886,0.163146,-0.00725945,0.190786,0.19828,0.000511686,0.000268755,0.155878,0.163138,False,0.048477025,0.0412271,0.0753363,0.0363457,0.0705286,0.0147869,0.0608222,0.0402417,0.0485277,0.336053,0.336047,1.18257,1.18233
4,initial_eval,4,1,False,False,0.119989,0.11481,0.00517821,0.0911827,0.0936535,0.0455809,0.0453452,0.114804,0.119982,True,0.22176975,0.238238,0.219287,0.202987,0.246578,0.202827,0.200844,0.228697,0.2347,0.220704,0.224099,1.17245,1.17217
5,initial_eval,5,1,False,False,0.115999,0.110991,0.00500787,0.097395,0.0997476,0.00617131,0.00609662,0.110985,0.115993,True,0.25523212500000003,0.26696,0.26236,0.216674,0.287754,0.241835,0.236954,0.26696,0.26236,0.337469,0.337439,1.16259,1.16227
6,initial_eval,6,1,False,False,0.117358,0.112346,0.00501137,0.0973949,0.0997474,0.00617134,0.00609665,0.11234,0.117351,True,0.25523175000000003,0.266959,0.26236,0.216674,0.287753,0.241835,0.236954,0.266959,0.26236,0.337469,0.337439,1.15265,1.1523
7,initial_eval,7,1,False,False,0.125844,0.119679,0.00616547,0.112357,0.11952,0.0117578,0.0115999,0.119672,0.125837,True,0.1310348625,0.110397,0.158195,0.0788692,0.258363,0.108572,0.0805127,0.151577,0.101793,0.340887,0.340677,1.14272,1.14232
8,train,0,0,True,True,0.130935,0.137519,-0.00658358,0.125489,0.133758,0.0141949,0.0140899,0.130928,0.137511,False,0.1117255,0.160015,0.0986649,0.119665,0.115449,0.0692528,0.0968133,0.101433,0.132511,0.343449,0.343244,0.880622,0.92491
9,train,4,1,True,True,0.114812,0.109745,0.00506767,0.0911588,0.0934444,0.0455979,0.0453629,0.109739,0.114806,True,0.22176800000000002,0.238237,0.219285,0.202986,0.246576,0.202825,0.200842,0.228695,0.234698,0.220477,0.223878,0.857454,0.968399
