theta,act,read_positive_gain,read_positive_slope,read_negative_gain,read_negative_slope,write_mode,write_low_v,write_high_v,write_discharge_v,write_charge_v,signed_increase_mobility,signed_decrease_mobility,physical_gradient_increase_mobility,physical_gradient_decrease_mobility,signed_update_sign_aligned,physical_gradient_sign_aligned,signed_mobility_balance,physical_gradient_mobility_balance
0.1,0.25,-4.64984e-110,0.6255483333333334,0.0003795848,4.9981183966666665,bounded_charge_discharge,0.1,0.7,1.62398e-08,0.000759509,0.0004751907575448049,0.0037961260641137273,0.00029760970110211024,0.018973443097136108,True,True,0.1251778127278148,0.01568559272971557
0.16,0.25,0.1501316,0.761396011904762,1.199928,2.856067655238096,bounded_charge_discharge,0.1,0.7,2.93038e-06,-1.32594e-06,7.359798107531612e-06,-1.5557947014209243e-06,2.3134789398177236e-05,-9.117043659248703e-06,False,False,-0.21139094832354297,-0.3940837110004997
0.24,0.25,0.45174,0.9439101388888885,1.199928,-2.220446049250313e-16,bounded_charge_discharge,0.1,0.7,3.45673e-05,-0.000692463,-0.0006536228465054164,3.262842494401403e-05,-0.0006169612318258783,3.0798301120629806e-05,False,False,-20.032313776314513,-20.032313776314616
0.34,0.25,0.829996,0.5386596969696966,1.199928,-2.220446049250313e-16,bounded_charge_discharge,0.1,0.7,0.000595485,-0.00109851,-0.0005917230637181816,0.00032076376965,-0.0003187373661924161,0.00017278251495852646,False,False,-1.8447316053301086,-1.844731605330109
0.46,0.25,0.854132,0.02514166666666673,1.199928,0.0,bounded_charge_discharge,0.1,0.7,0.00173633,-0.00145319,-3.653561858333342e-05,4.365423008333344e-05,-9.185663438826435e-07,1.0975401013451443e-06,False,False,-0.8369319196235738,-0.8369319196235739
0.58,0.25,0.854132,0.0,1.199928,0.0,bounded_charge_discharge,0.1,0.7,0.00306673,-0.00162446,0.0,0.0,0.0,0.0,False,False,,
0.1,0.5,-1.11787e-111,0.6255583333333333,0.0001898958,4.998117535000001,bounded_charge_discharge,0.1,0.7,1.62398e-08,0.000759509,0.0004751983526208116,0.0037961254098325377,0.00029761920322996286,0.018973436555366784,True,True,0.12517983504706565,0.01568609895004914
0.16,0.5,0.075067,0.761398511904762,0.599964,2.8560671628571432,bounded_charge_discharge,0.1,0.7,2.93038e-06,-1.32594e-06,7.359793349818315e-06,-1.555786722603324e-06,2.3134776108512132e-05,-9.117028774064406e-06,False,False,-0.21139000086758286,-0.3940832939684217
0.24,0.5,0.22587,0.9439104166666663,0.599964,-2.220446049250313e-16,bounded_charge_discharge,0.1,0.7,3.45673e-05,-0.000692463,-0.0006536230388562498,3.262843454604181e-05,-0.0006169615949497353,3.079831924753522e-05,False,False,-20.032313776314517,-20.032313776314613
0.34,0.5,0.415,0.9471083333333331,0.599964,-2.220446049250313e-16,bounded_charge_discharge,0.1,0.7,0.000595485,-0.00109851,-0.00104040797525,0.0005639888058750001,-0.000985379063425735,0.0005341584979509279,False,False,-1.844731605330109,-1.844731605330109
0.46,0.5,0.642726,0.9503208333333335,0.599964,0.0,bounded_charge_discharge,0.1,0.7,0.00173633,-0.00145319,-0.001380996731791667,0.0016500705725416669,-0.001312389964986867,0.0015680964415566076,False,False,-0.8369319196235739,-0.8369319196235739
0.58,0.5,0.871154,0.9517833333333336,0.599964,0.0,bounded_charge_discharge,0.1,0.7,0.00306673,-0.00162446,-0.0015461339536666672,0.0029188625018333344,-0.0014715845282007067,0.002778124681536605,False,False,-0.5297042778464358,-0.5297042778464358
0.1,0.75,1.6117066666666666e-104,0.6255666666666666,0.0001265976,4.998117530000001,bounded_charge_discharge,0.1,0.7,1.62398e-08,0.000759509,0.00047520468186239696,0.003796125406170324,0.00029762712190163133,0.018973436517574944,True,True,0.1251815024577393,0.015686516336982058
0.16,0.75,0.05004533333333333,0.7614059523809524,0.39997600000000005,2.8560671600000003,bounded_charge_discharge,0.1,0.7,2.93038e-06,-1.32594e-06,7.359783475820801e-06,-1.5557649153923049e-06,2.3134761037269413e-05,-9.116995550075257e-06,False,False,-0.2113873214481759,-0.3940821145888668
0.24,0.75,0.15058133333333332,0.9439138888888887,0.39997600000000005,-2.220446049250313e-16,bounded_charge_discharge,0.1,0.7,3.45673e-05,-0.000692463,-0.0006536254432416666,3.2628554571389035e-05,-0.0006169661340069652,3.079854583430301e-05,False,False,-20.032313776314517,-20.032313776314613
0.34,0.75,0.27666799999999997,0.9471045454545453,0.39997600000000005,-2.220446049250313e-16,bounded_charge_discharge,0.1,0.7,0.000595485,-0.00109851,-0.0010404038142272727,0.0005639865502500001,-0.000985371181562896,0.0005341542253170031,False,False,-1.8447316053301086,-1.8447316053301093
0.46,0.75,0.42848400000000003,0.9503166666666668,0.39997600000000005,0.0,bounded_charge_discharge,0.1,0.7,0.00173633,-0.00145319,-0.0013809906768333336,0.0016500633378333336,-0.0013123784567059976,0.0015680826909986476,False,False,-0.8369319196235739,-0.8369319196235739
0.58,0.75,0.5807693333333334,0.9517833333333336,0.39997600000000005,0.0,bounded_charge_discharge,0.1,0.7,0.00306673,-0.00162446,-0.0015461339536666672,0.0029188625018333344,-0.0014715845282007067,0.002778124681536605,False,False,-0.5297042778464358,-0.5297042778464358
