signal,bits,levels,trials,mean_code_0_1,std_code_0_1,mean_code_bipolar,sigma,threshold_span,source,simulator
-0.006,2,4,6,0.055555625,0.1360829335914087,-0.88888875,0.0015,0.0045,spice,ngspice-46 : Circuit level simulation program
-0.0048000000000000004,2,4,6,0.2222225,0.17213280833051553,-0.555555,0.0015,0.0045,spice,ngspice-46 : Circuit level simulation program
-0.0036,2,4,6,0.33333375,0.0,-0.33333250000000003,0.0015,0.0045,spice,ngspice-46 : Circuit level simulation program
-0.0024,2,4,6,0.2222225,0.17213280833051553,-0.555555,0.0015,0.0045,spice,ngspice-46 : Circuit level simulation program
-0.0011999999999999997,2,4,6,0.33333375,0.0,-0.33333250000000003,0.0015,0.0045,spice,ngspice-46 : Circuit level simulation program
0.0,2,4,6,0.5555554166666666,0.17213216283329114,0.11111083333333327,0.0015,0.0045,spice,ngspice-46 : Circuit level simulation program
0.0012000000000000005,2,4,6,0.49999999999999994,0.18257372939959074,-1.1102230246251565e-16,0.0015,0.0045,spice,ngspice-46 : Circuit level simulation program
0.002400000000000001,2,4,6,0.7222218749999999,0.13608293359140874,0.4444437499999998,0.0015,0.0045,spice,ngspice-46 : Circuit level simulation program
0.0036000000000000008,2,4,6,0.7777775,0.17213280833051559,0.555555,0.0015,0.0045,spice,ngspice-46 : Circuit level simulation program
0.0048000000000000004,2,4,6,0.8333331249999999,0.18257441405278774,0.6666662499999998,0.0015,0.0045,spice,ngspice-46 : Circuit level simulation program
0.006,2,4,6,0.9444443750000001,0.13608293359140877,0.8888887500000002,0.0015,0.0045,spice,ngspice-46 : Circuit level simulation program
-0.006,3,8,6,0.047619166666666664,0.07377129578411014,-0.9047616666666667,0.0015,0.0045,spice,ngspice-46 : Circuit level simulation program
-0.0048000000000000004,3,8,6,0.11904749999999999,0.14045576929900389,-0.761905,0.0015,0.0045,spice,ngspice-46 : Circuit level simulation program
-0.0036,3,8,6,0.214285625,0.14982961411372836,-0.5714287499999999,0.0015,0.0045,spice,ngspice-46 : Circuit level simulation program
-0.0024,3,8,6,0.26190458333333333,0.1075386657255969,-0.47619083333333334,0.0015,0.0045,spice,ngspice-46 : Circuit level simulation program
-0.0011999999999999997,3,8,6,0.23809499999999997,0.07377065028688577,-0.5238100000000001,0.0015,0.0045,spice,ngspice-46 : Circuit level simulation program
0.0,3,8,6,0.4523808333333334,0.1404563626043394,-0.0952383333333332,0.0015,0.0045,spice,ngspice-46 : Circuit level simulation program
0.0012000000000000005,3,8,6,0.5952383333333332,0.16700687386614257,0.1904766666666664,0.0015,0.0045,spice,ngspice-46 : Circuit level simulation program
0.002400000000000001,3,8,6,0.7619045833333332,0.17300847370263883,0.5238091666666664,0.0015,0.0045,spice,ngspice-46 : Circuit level simulation program
0.0036000000000000008,3,8,6,0.904761875,0.17300854251262782,0.8095237500000001,0.0015,0.0045,spice,ngspice-46 : Circuit level simulation program
0.0048000000000000004,3,8,6,0.9047616666666668,0.07377129578411012,0.8095233333333336,0.0015,0.0045,spice,ngspice-46 : Circuit level simulation program
0.006,3,8,6,1.0,0.0,1.0,0.0015,0.0045,spice,ngspice-46 : Circuit level simulation program
-0.006,4,16,6,0.044444437499999996,0.08073734048226036,-0.911111125,0.0015,0.0045,spice,ngspice-46 : Circuit level simulation program
-0.0048000000000000004,4,16,6,0.06666672916666666,0.08432747015209578,-0.8666665416666667,0.0015,0.0045,spice,ngspice-46 : Circuit level simulation program
-0.0036,4,16,6,0.12222208333333333,0.13608258658041691,-0.7555558333333333,0.0015,0.0045,spice,ngspice-46 : Circuit level simulation program
-0.0024,4,16,6,0.255555625,0.12938576400088903,-0.48888875,0.0015,0.0045,spice,ngspice-46 : Circuit level simulation program
-0.0011999999999999997,4,16,6,0.37777791666666666,0.18698375845522427,-0.24444416666666668,0.0015,0.0045,spice,ngspice-46 : Circuit level simulation program
0.0,4,16,6,0.5444445833333332,0.16009272776009117,0.08888916666666646,0.0015,0.0045,spice,ngspice-46 : Circuit level simulation program
0.0012000000000000005,4,16,6,0.6222220833333333,0.13109222086156241,0.24444416666666657,0.0015,0.0045,spice,ngspice-46 : Circuit level simulation program
0.002400000000000001,4,16,6,0.7888889583333333,0.2247634023526415,0.5777779166666666,0.0015,0.0045,spice,ngspice-46 : Circuit level simulation program
0.0036000000000000008,4,16,6,0.6999999999999998,0.06992074878925426,0.3999999999999997,0.0015,0.0045,spice,ngspice-46 : Circuit level simulation program
0.0048000000000000004,4,16,6,0.9444443749999999,0.06554632232603712,0.8888887499999998,0.0015,0.0045,spice,ngspice-46 : Circuit level simulation program
0.006,4,16,6,0.9666666666666667,0.08164965809277264,0.9333333333333333,0.0015,0.0045,spice,ngspice-46 : Circuit level simulation program
