epoch,heldout_accuracy,epoch_wall_time_s
1,0.215,21.001659
2,0.24,20.922742582999998
3,0.3,21.287693874999995
4,0.37,21.354441792000003
5,0.35,21.511482791999995
6,0.38,21.269484540999997
7,0.38,21.08651283399999
8,0.37,20.428678792
9,0.385,20.41647850000001
10,0.375,21.36539879100002
11,0.36,21.33298479199999
12,0.36,21.541543417000014
13,0.36,21.312279749999988
14,0.33,21.32883541700005
15,0.35,21.40523137499997
16,0.375,20.694509332999985
17,0.35,20.713275624999994
18,0.385,20.768116209000027
19,0.395,21.05796662499995
20,0.4,21.55068133399999
