cycle,phase,pattern,label,target_out,other_out,margin,active_hidden_act,correct,post_update_margin,d_margin_after_update,hidden_delta_net,max_active_hidden_weight_delta,max_active_hidden_signed_delta
0,initial_eval,0,0,0.0231761,-6.79707e-183,0.0231761,0.0867612,True,,,,,
1,initial_eval,1,1,0.0231768,-1.56166e-26,0.0231768,0.0867618,True,,,,,
2,initial_eval,2,1,0.0231774,9.64055e-51,0.0231774,0.0867625,True,,,,,
3,initial_eval,3,0,0.023178,-1.56175e-26,0.023178,0.0867632,True,,,,,
4,train,0,0,0.0231787,9.64109e-51,0.0231787,0.0867639,True,0.0234509,0.00027224,-1.13822e-40,5.17762e-09,6.40878e-06
5,train,1,1,0.0231795,-9.37272e-27,0.0231795,0.0867647,True,0.0234517,0.00027224,-5.02667e-93,5.17762e-09,6.40871e-06
6,train,2,1,0.0231803,-2.17837e-75,0.0231803,0.0867656,True,0.0234525,0.000272215,6.45942e-96,5.17761e-09,6.40865e-06
7,train,3,0,0.0231811,-9.37339e-27,0.0231811,0.0867664,True,0.0234533,0.00027224,1.58895e-96,5.17761e-09,6.40859e-06
8,train,0,0,0.0231819,-2.17871e-75,0.0231819,0.0867673,True,0.0234541,0.000272215,-3.15013e-95,5.17762e-09,6.40852e-06
9,train,1,1,0.0231827,-9.43815e-27,0.0231827,0.0867681,True,0.0234549,0.000272241,-2.22738e-97,5.17761e-09,6.40846e-06
10,train,2,1,0.0231835,-2.19376e-75,0.0231835,0.086769,True,0.0234557,0.000272215,8.13353e-96,5.17761e-09,6.40839e-06
11,train,3,0,0.0231843,-9.43883e-27,0.0231843,0.0867698,True,0.0234565,0.000272241,-3.6389e-96,5.17762e-09,6.40833e-06
12,train,0,0,0.0231851,-2.19392e-75,0.0231851,0.0867707,True,0.0234573,0.000272215,-8.40759e-96,5.17761e-09,6.40827e-06
13,train,1,1,0.0231859,-9.37539e-27,0.0231859,0.0867715,True,0.0234581,0.000272241,8.83066e-96,5.17761e-09,6.4082e-06
14,train,2,1,0.0231867,-2.17918e-75,0.0231867,0.0867724,True,0.0234589,0.000272215,2.57167e-96,5.17761e-09,6.40814e-06
15,train,3,0,0.0231875,-9.44017e-27,0.0231875,0.0867732,True,0.0234597,0.000272241,1.23669e-38,5.17762e-09,6.40807e-06
16,final_eval,0,0,0.0231883,-2.19405e-75,0.0231883,0.0867741,True,,,,,
17,final_eval,1,1,0.0231889,-1.56249e-26,0.0231889,0.0867747,True,,,,,
18,final_eval,2,1,0.0231895,9.64564e-51,0.0231895,0.0867754,True,,,,,
19,final_eval,3,0,0.0231902,-1.55087e-26,0.0231902,0.0867761,True,,,,,
