cycle,phase,pattern,label,reset_gradient,applied_update,target_out,other_out,margin,score0,score1,score0_cmp,score1_cmp,out0_cmp,out1_cmp,correct,mean_hidden_act,target_out_2950ps,other_out_2950ps,margin_2950ps,correct_2950ps,act0,act1,act2,act3,act4,act5,act6,act7,act8,act9,act10,act11,act12,act13,act14,act15,lose0,lose1,lead01,lead10,bwd_signal
0,initial_eval,0,0,False,False,0.0676299,0.0678754,-0.000245457,0.100249,0.100501,0.0156446,0.0156905,0.0676375,0.067883,False,0.1025869375,0.0676299,0.0678754,-0.000245457,False,0.101854,0.100368,0.100369,0.100385,0.108406,0.100588,0.100386,0.100396,0.100368,0.100369,0.100385,0.100367,0.126005,0.100393,0.100384,0.100368,0.33766,0.337674,1.2192,1.2192,
1,initial_eval,1,0,False,False,0.0702913,0.0708326,-0.000541391,0.102994,0.103552,0.0136358,0.0136152,0.0702988,0.0708402,False,0.1065091875,0.0702913,0.0708326,-0.000541391,False,0.108073,0.103257,0.103259,0.103296,0.119042,0.111005,0.126157,0.103295,0.103257,0.103259,0.103296,0.103256,0.103846,0.103298,0.103294,0.103257,0.337349,0.337342,1.20914,1.20913,
2,initial_eval,2,0,False,False,0.076284,0.0768301,-0.000546099,0.109173,0.109736,0.0102266,0.010215,0.0762914,0.0768375,False,0.11475606249999999,0.076284,0.0768301,-0.000546099,False,0.131001,0.109438,0.10944,0.109478,0.123478,0.129822,0.129135,0.109476,0.109438,0.10944,0.109478,0.10999,0.109439,0.10948,0.109476,0.118088,0.336836,0.336831,1.19909,1.19908,
3,initial_eval,3,0,False,False,0.0733587,0.0734908,-0.000132055,0.106157,0.106293,0.0114772,0.0115372,0.0733662,0.0734982,False,0.11049793750000002,0.0733587,0.0734908,-0.000132055,False,0.10623,0.132076,0.106497,0.106231,0.106221,0.106222,0.113302,0.10623,0.132011,0.106222,0.106231,0.106221,0.108699,0.106231,0.107647,0.111696,0.337058,0.337077,1.18919,1.18917,
4,initial_eval,4,0,False,False,0.0849898,0.0859007,-0.000910891,0.118147,0.119086,0.00494466,0.00486083,0.0849968,0.0859076,False,0.12747875,0.0849898,0.0859007,-0.000910891,False,0.118654,0.141755,0.141147,0.118773,0.119946,0.122083,0.143325,0.141572,0.118588,0.118592,0.14237,0.118585,0.11859,0.126921,0.124717,0.124042,0.336248,0.336228,1.17921,1.17919,
5,initial_eval,5,0,False,False,0.0838869,0.0843147,-0.00042781,0.117009,0.117449,0.0062564,0.00627081,0.0838938,0.0843216,False,0.125746125,0.0838869,0.0843147,-0.00042781,False,0.140404,0.125776,0.117217,0.14121,0.142557,0.140709,0.124707,0.117246,0.117216,0.117217,0.117248,0.139329,0.117217,0.117249,0.117246,0.11939,0.33633,0.336329,1.16938,1.16935,
6,initial_eval,6,0,False,False,0.0812976,0.0817812,-0.000483631,0.114342,0.11484,0.00665028,0.00664018,0.0813048,0.0817884,False,0.12195887499999998,0.0812976,0.0817812,-0.000483631,False,0.11461,0.130471,0.121165,0.116537,0.114575,0.115003,0.133235,0.11517,0.114576,0.114578,0.114612,0.140204,0.114577,0.121264,0.138005,0.13276,0.336457,0.336454,1.15964,1.15962,
7,initial_eval,7,0,False,False,0.0660745,0.0665262,-0.000451736,0.0986475,0.0991132,0.0149606,0.0149701,0.0660823,0.066534,False,0.10059900625,0.0660745,0.0665262,-0.000451736,False,0.101523,0.110327,0.0988726,0.102844,0.098866,0.101729,0.0989005,0.0988977,0.098867,0.0988688,0.098899,0.098866,0.100315,0.0989004,0.104041,0.0988671,0.337745,0.337739,1.1501,1.15007,
8,initial_eval,8,1,False,False,0.0606191,0.0601674,0.000451719,0.0925489,0.0930146,0.0227049,0.0227031,0.0601751,0.0606268,True,0.09283020624999999,0.0606191,0.0601674,0.000451719,True,0.0927989,0.0927686,0.0927703,0.0928002,0.0927676,0.0927696,0.0928015,0.093514,0.0927687,0.0928175,0.0928001,0.0927677,0.0927696,0.0928014,0.0927988,0.0927688,0.338541,0.338533,1.14074,1.1407,
9,initial_eval,9,1,False,False,0.0604189,0.0599732,0.000445718,0.0923472,0.0928067,0.0237173,0.0237298,0.0599809,0.0604266,True,0.09257774375000001,0.0604189,0.0599732,0.000445718,True,0.0925939,0.092564,0.0925657,0.0925951,0.092563,0.0925649,0.0925964,0.0925938,0.0925641,0.0925657,0.092595,0.0925631,0.092565,0.0925963,0.0925938,0.0925641,0.338544,0.338526,1.13986,1.13986,
