cycle,phase,pattern,label,reset_gradient,applied_update,target_out,other_out,margin,score0,score1,score0_cmp,score1_cmp,out0_cmp,out1_cmp,correct,mean_hidden_act,target_out_2000ps,other_out_2000ps,margin_2000ps,correct_2000ps,target_out_2500ps,other_out_2500ps,margin_2500ps,correct_2500ps,target_out_2950ps,other_out_2950ps,margin_2950ps,correct_2950ps,target_out_3500ps,other_out_3500ps,margin_3500ps,correct_3500ps,target_out_4050ps,other_out_4050ps,margin_4050ps,correct_4050ps,target_out_4500ps,other_out_4500ps,margin_4500ps,correct_4500ps,act0,act1,act2,act3,act4,act5,act6,act7,lose0,lose1,lead01,lead10
0,initial_eval,0,0,False,False,0.155399,0.162699,-0.00729966,0.190638,0.198172,0.00659575,0.00632697,0.15551,0.162822,False,0.036436025,0.155399,0.162699,-0.00729966,False,0.155477,0.162785,-0.00730796,False,0.155515,0.162827,-0.00731246,False,0.155514,0.162827,-0.00731266,False,0.15551,0.162822,-0.00731246,False,0.155506,0.162818,-0.00731229,False,0.0288052,0.0795547,-2.45726e-39,0.0832983,-2.28627e-101,0.0430497,0.0249656,0.0318147,0.336078,0.336067,1.21817,1.21808
1,initial_eval,1,0,False,False,0.135739,0.143095,-0.00735564,0.163161,0.171991,0.00841478,0.00817197,0.135725,0.14308,False,0.06578501125,0.135739,0.143095,-0.00735564,False,0.135736,0.143091,-0.00735546,False,0.135733,0.143088,-0.00735529,False,0.135729,0.143084,-0.00735509,False,0.135725,0.14308,-0.00735488,False,0.135722,0.143077,-0.00735472,False,0.0921542,0.0923188,0.00327329,0.156828,0.0161711,0.0826676,0.0460745,0.0367926,0.338447,0.338332,1.20768,1.20754
2,initial_eval,2,0,False,False,0.121594,0.127665,-0.00607186,0.0897105,0.094032,0.0146373,0.0145864,0.121581,0.127652,False,0.1537205,0.121594,0.127665,-0.00607186,False,0.121591,0.127662,-0.00607171,False,0.121588,0.127659,-0.00607157,False,0.121584,0.127656,-0.0060714,False,0.121581,0.127652,-0.00607124,False,0.121578,0.127649,-0.0060711,False,0.198142,0.143643,0.143096,0.169982,0.12156,0.141387,0.152071,0.159883,0.342939,0.342758,1.19738,1.19719
3,initial_eval,3,0,False,False,0.15596,0.163187,-0.00722727,0.191003,0.198474,-0.00145204,-0.00169875,0.155976,0.163214,False,0.050156275,0.15596,0.163187,-0.00722727,False,0.15598,0.163214,-0.00723457,False,0.155984,0.163222,-0.0072383,False,0.15598,0.163219,-0.00723842,False,0.155976,0.163214,-0.00723822,False,0.155972,0.16321,-0.00723806,False,0.0417354,0.0711505,0.0435106,0.0679268,0.0196239,0.0609804,0.0458249,0.0504977,0.336047,0.336043,1.18669,1.18645
4,initial_eval,4,0,False,False,0.148248,0.155382,-0.00713467,0.181457,0.188949,0.000971416,0.000756483,0.148232,0.155366,False,0.0638087125,0.148248,0.155382,-0.00713467,False,0.148244,0.155378,-0.00713449,False,0.148241,0.155375,-0.00713433,False,0.148237,0.155371,-0.00713413,False,0.148232,0.155366,-0.00713394,False,0.148229,0.155363,-0.00713378,False,0.0732763,0.0472972,0.0979269,0.0368611,0.0485509,0.0554887,0.079328,0.0717406,0.337172,0.337181,1.17633,1.17603
5,initial_eval,5,0,False,False,0.151714,0.158892,-0.00717785,0.185942,0.193422,-0.00157464,-0.00177947,0.151698,0.158875,False,0.058702199999999996,0.151714,0.158892,-0.00717785,False,0.15171,0.158888,-0.00717767,False,0.151707,0.158884,-0.0071775,False,0.151702,0.15888,-0.00717731,False,0.151698,0.158875,-0.00717711,False,0.151695,0.158872,-0.00717695,False,0.0701371,0.0671525,0.0701827,0.031879,0.035172,0.0514332,0.0681066,0.0755545,0.336589,0.336591,1.16597,1.16562
6,initial_eval,6,1,False,False,0.116881,0.111809,0.00507177,0.0973238,0.0996781,0.00617241,0.00609772,0.111798,0.116869,True,0.254886875,0.116881,0.111809,0.00507177,True,0.116878,0.111807,0.00507165,True,0.116876,0.111804,0.00507153,True,0.116872,0.111801,0.00507139,True,0.116869,0.111798,0.00507125,True,0.116867,0.111795,0.00507114,True,0.266615,0.262014,0.216331,0.287406,0.241491,0.236609,0.266615,0.262014,0.337469,0.337439,1.156,1.15562
7,initial_eval,7,1,False,False,0.117356,0.112344,0.00501162,0.0973227,0.099677,0.00617262,0.00609793,0.112333,0.117344,True,0.254884,0.117356,0.112344,0.00501162,True,0.117353,0.112341,0.00501149,True,0.11735,0.112339,0.00501138,True,0.117347,0.112336,0.00501124,True,0.117344,0.112333,0.0050111,True,0.117341,0.11233,0.00501099,True,0.266612,0.262011,0.216329,0.287403,0.241488,0.236606,0.266612,0.262011,0.337469,0.337439,1.14624,1.14583
8,initial_eval,8,1,False,False,0.144932,0.138068,0.00686363,0.158896,0.166963,0.00666137,0.00638257,0.138054,0.144917,True,0.0860186375,0.144932,0.138068,0.00686363,True,0.144928,0.138064,0.00686345,True,0.144925,0.138061,0.0068633,True,0.144921,0.138058,0.00686311,True,0.144917,0.138054,0.00686292,True,0.144913,0.138051,0.00686277,True,0.0863215,0.119689,0.0911963,0.053349,0.0661942,0.059494,0.116548,0.0953571,0.339901,0.339868,1.13943,1.13939
9,initial_eval,9,1,False,False,0.114452,0.109389,0.00506293,0.0973208,0.0996751,0.00617302,0.00609833,0.109378,0.11444,True,0.25487925,0.114452,0.109389,0.00506293,True,0.114449,0.109386,0.00506281,True,0.114447,0.109384,0.00506269,True,0.114443,0.109381,0.00506255,True,0.11444,0.109378,0.00506241,True,0.114438,0.109375,0.0050623,True,0.266607,0.262006,0.216325,0.287398,0.241484,0.236601,0.266607,0.262006,0.337469,0.337439,1.13993,1.13993
