cycle,phase,pattern,label,reset_gradient,applied_update,target_out,other_out,margin,score0,score1,score0_cmp,score1_cmp,out0_cmp,out1_cmp,correct,mean_hidden_act,target_out_2950ps,other_out_2950ps,margin_2950ps,correct_2950ps,act0,act1,act2,act3,act4,act5,act6,act7,act8,act9,act10,act11,act12,act13,act14,act15,act16,act17,act18,act19,act20,act21,act22,act23,act24,act25,act26,act27,act28,act29,act30,act31,lose0,lose1,lead01,lead10,bwd_signal
0,initial_eval,0,0,False,False,0.107036,0.10709,-5.34962e-05,0.14084,0.140897,-0.000404155,-0.000391213,0.107041,0.107095,False,0.35007522499999993,0.107036,0.10709,-5.34962e-05,False,0.741245,0.57729,0.633202,0.770216,0.515351,0.501125,0.497816,0.443546,0.480223,0.264143,0.38716,0.511851,0.129693,0.443627,0.368702,0.08,0.659615,0.181302,0.420209,0.169106,0.187826,0.118194,0.285991,0.10759,0.473663,0.120928,0.196637,0.190528,0.159575,0.124835,0.367472,0.0937462,0.336193,0.336195,1.21874,1.21874,
1,initial_eval,1,0,False,False,0.106205,0.103932,0.00227268,0.139989,0.137642,-0.00176501,-0.00181863,0.106211,0.103938,True,0.3785191968749999,0.106205,0.103932,0.00227268,True,0.632611,0.475342,0.540965,0.624457,0.532959,0.404768,0.527404,0.182714,0.381266,0.531271,0.225959,0.320039,0.401902,0.25045,0.562338,0.350222,0.531428,0.329745,0.126704,0.770218,0.0872333,0.260504,0.08,0.11615,0.410278,0.743052,0.339245,0.422181,0.151549,0.231893,0.202146,0.365621,0.33601,0.335998,1.20841,1.20844,
2,initial_eval,2,0,False,False,0.0922677,0.0919092,0.000358536,0.125628,0.125258,-0.000420102,-0.000361679,0.0922738,0.0919152,True,0.31487056562499993,0.0922677,0.0919092,0.000358536,True,0.460496,0.315118,0.428067,0.491527,0.392037,0.271189,0.405475,0.209157,0.23843,0.246879,0.308781,0.243992,0.494294,0.14141,0.10738,0.705333,0.368529,0.169229,0.175716,0.447187,0.572448,0.0992514,0.371486,0.121474,0.0913314,0.363564,0.426089,0.186606,0.480168,0.10104,0.561203,0.0809713,0.33623,0.336242,1.19832,1.19834,
3,initial_eval,3,0,False,False,0.0896061,0.0905138,-0.000907681,0.122886,0.123821,-8.78616e-05,-9.66341e-05,0.0896123,0.0905198,False,0.32757898437499994,0.0896061,0.0905138,-0.000907681,False,0.465983,0.392788,0.363332,0.423047,0.47703,0.228961,0.402298,0.557893,0.34561,0.433899,0.40948,0.209674,0.257239,0.08,0.132978,0.642667,0.357297,0.33216,0.266193,0.270908,0.234137,0.142071,0.7278,0.153227,0.214825,0.266786,0.130531,0.245669,0.373773,0.0992605,0.571234,0.273777,0.336294,0.336288,1.18829,1.18831,
4,initial_eval,4,0,False,False,0.0981481,0.0991755,-0.00102738,0.13169,0.13275,-0.000647805,-0.000673395,0.0981541,0.0991815,False,0.33860806875,0.0981481,0.0991755,-0.00102738,False,0.584164,0.47028,0.462056,0.628547,0.438766,0.446053,0.509929,0.350546,0.429114,0.28292,0.136575,0.28563,0.428221,0.226434,0.461859,0.122889,0.493254,0.300336,0.26919,0.190287,0.106529,0.141304,0.770217,0.0827657,0.318614,0.494475,0.209852,0.263201,0.12677,0.0868065,0.52512,0.192754,0.336175,0.336167,1.17824,1.17824,
5,initial_eval,5,0,False,False,0.111812,0.111274,0.000538787,0.145758,0.145203,-0.00112065,-0.0011032,0.111817,0.111279,True,0.3531300875000001,0.111812,0.111274,0.000538787,True,0.543454,0.493438,0.523504,0.44525,0.488092,0.6556,0.479745,0.136544,0.135291,0.554743,0.11038,0.183959,0.619264,0.32677,0.127119,0.096,0.465294,0.0874157,0.191103,0.269907,0.0813026,0.518277,0.0822035,0.251686,0.256907,0.598363,0.147066,0.732996,0.465958,0.429166,0.598472,0.204893,0.336115,0.33612,1.16814,1.16815,
6,initial_eval,6,0,False,False,0.138386,0.137363,0.00102351,0.173122,0.172065,-0.0035498,-0.00354988,0.13839,0.137367,True,0.5330620375,0.138386,0.137363,0.00102351,True,0.676339,0.66374,0.770214,0.650108,0.686974,0.770214,0.770214,0.587454,0.547423,0.144511,0.747018,0.08,0.317423,0.723438,0.289618,0.458444,0.702395,0.0993212,0.759796,0.496284,0.765427,0.649134,0.628951,0.57136,0.465774,0.132167,0.422561,0.32283,0.710292,0.502641,0.760737,0.185183,0.33579,0.335788,1.15786,1.15788,
7,initial_eval,7,0,False,False,0.110869,0.112535,-0.00166637,0.14479,0.146508,-0.00218566,-0.0022285,0.110874,0.112541,False,0.41839871875,0.110869,0.112535,-0.00166637,False,0.580763,0.423695,0.455836,0.753179,0.521841,0.509469,0.580823,0.345629,0.272172,0.125884,0.400076,0.330289,0.340613,0.145762,0.317762,0.770217,0.505842,0.732131,0.233635,0.600243,0.532366,0.235888,0.244301,0.0916183,0.379247,0.678349,0.244507,0.770216,0.222615,0.4034,0.542401,0.0979897,0.335949,0.335939,1.14803,1.14806,
8,initial_eval,8,0,False,False,0.0913059,0.0928596,-0.00155369,0.124636,0.126239,0.000612961,0.000596907,0.0913119,0.0928656,False,0.3359825937499999,0.0913059,0.0928596,-0.00155369,False,0.464831,0.474401,0.515151,0.632988,0.465348,0.526375,0.425929,0.207718,0.219433,0.199178,0.334718,0.543423,0.256871,0.352962,0.151889,0.154444,0.481781,0.544419,0.296158,0.132723,0.48093,0.247485,0.241888,0.173408,0.308501,0.111058,0.162904,0.77022,0.190204,0.342251,0.232827,0.109027,0.336395,0.336389,1.13993,1.13993,
9,initial_eval,9,0,False,False,0.138618,0.139912,-0.00129437,0.173362,0.174698,-0.00301605,-0.0030471,0.138622,0.139917,False,0.51508980625,0.138618,0.139912,-0.00129437,False,0.715184,0.569406,0.590993,0.770214,0.561008,0.770215,0.770215,0.433593,0.770215,0.641968,0.550427,0.770215,0.594233,0.601746,0.770215,0.719333,0.654373,0.476083,0.595714,0.111994,0.487301,0.138987,0.41593,0.168177,0.770215,0.484931,0.770215,0.194638,0.281304,0.0891948,0.137349,0.107288,0.335839,0.335833,1.13923,1.13923,
