cycle,phase,pattern,label,reset_gradient,applied_update,target_out,other_out,margin,score0,score1,score0_cmp,score1_cmp,out0_cmp,out1_cmp,correct,mean_hidden_act,target_out_2550ps,other_out_2550ps,margin_2550ps,correct_2550ps,target_out_2750ps,other_out_2750ps,margin_2750ps,correct_2750ps,target_out_2950ps,other_out_2950ps,margin_2950ps,correct_2950ps,target_out_3150ps,other_out_3150ps,margin_3150ps,correct_3150ps,act0,act1,act2,act3,act4,act5,act6,act7,lose0,lose1,lead01,lead10,bwd_signal,merr0,merr1
0,initial_eval,0,0,False,False,0.113157,0.117498,-0.00434178,0.147247,0.151718,0.147247,0.151718,0.113218,0.11756,False,0.411487625,0.113157,0.117498,-0.00434178,False,0.113213,0.117555,-0.00434183,False,0.113259,0.117601,-0.00434186,False,0.113269,0.117611,-0.00434177,False,0.676266,0.432314,0.46712,0.528199,0.203879,0.295004,0.156486,0.532633,0.335928,0.335932,1.2,1.16471e-09,,,
1,initial_eval,1,0,False,False,0.111404,0.115795,-0.0043915,0.145442,0.149965,0.145442,0.149965,0.111465,0.115857,False,0.40603550000000005,0.111404,0.115795,-0.0043915,False,0.11146,0.115852,-0.00439161,False,0.111506,0.115898,-0.00439169,False,0.111516,0.115908,-0.00439159,False,0.739107,0.477707,0.411555,0.477523,0.180082,0.450461,0.161643,0.350206,0.335878,0.335876,1.2,1.16471e-09,,,
2,initial_eval,2,0,False,False,0.111147,0.11742,-0.00627322,0.145183,0.151652,0.145184,0.151654,0.111209,0.117484,False,0.4022775,0.111147,0.11742,-0.00627322,False,0.111204,0.117479,-0.00627512,False,0.111251,0.117528,-0.00627667,False,0.111261,0.117538,-0.00627691,False,0.77011,0.430067,0.412376,0.605262,0.249139,0.326696,0.08,0.34457,0.335807,0.33581,1.2,1.16471e-09,,,
3,initial_eval,3,0,False,False,0.135689,0.138166,-0.0024777,0.170454,0.173011,0.170455,0.173013,0.135753,0.138232,False,0.501806875,0.135689,0.138166,-0.0024777,False,0.135747,0.138226,-0.00247907,False,0.135795,0.138275,-0.00248019,False,0.135806,0.138286,-0.00248039,False,0.432994,0.770112,0.642077,0.551153,0.555078,0.08,0.410254,0.572787,0.335591,0.335599,1.2,1.16471e-09,,,
4,initial_eval,4,0,False,False,0.154119,0.150398,0.00372085,0.189439,0.185595,0.189442,0.185597,0.15419,0.150465,True,0.6075115000000001,0.154119,0.150398,0.00372085,True,0.154181,0.150457,0.00372381,True,0.154232,0.150506,0.00372623,True,0.154243,0.150516,0.00372678,True,0.608103,0.770113,0.770113,0.645065,0.08,0.770113,0.446472,0.770113,0.335664,0.335663,1.2,1.16471e-09,,,
5,initial_eval,5,0,False,False,0.137641,0.146502,-0.00886113,0.17246,0.181604,0.172461,0.181607,0.137707,0.146573,False,0.5455754999999999,0.137641,0.146502,-0.00886113,False,0.137699,0.146565,-0.0088661,False,0.137746,0.146616,-0.00887017,False,0.137756,0.146627,-0.00887102,False,0.77011,0.770108,0.608497,0.77011,0.409299,0.234623,0.168272,0.633585,0.335886,0.335882,1.2,1.16471e-09,,,
6,initial_eval,6,0,False,False,0.151203,0.147654,0.00354961,0.186441,0.182773,0.186445,0.182775,0.151275,0.147721,True,0.5987279999999999,0.151203,0.147654,0.00354961,True,0.151266,0.147714,0.00355274,True,0.151318,0.147762,0.0035553,True,0.151329,0.147773,0.0035559,True,0.541098,0.77011,0.770109,0.700955,0.34338,0.770111,0.123952,0.770109,0.335773,0.335768,1.2,1.16471e-09,,,
7,initial_eval,7,0,False,False,0.135152,0.141841,-0.00668884,0.169903,0.176795,0.169905,0.176797,0.135219,0.141909,False,0.47249975,0.135152,0.141841,-0.00668884,False,0.135211,0.141901,-0.00669044,False,0.135259,0.141951,-0.00669176,False,0.135269,0.141961,-0.00669195,False,0.699475,0.770108,0.606274,0.719966,0.405065,0.148888,0.112166,0.318056,0.335919,0.335908,1.16471e-09,1.2,,,
8,initial_eval,8,1,False,False,0.0931115,0.0902779,0.00283361,0.12368,0.126599,0.12368,0.126599,0.0903408,0.0931744,True,0.24862142500000003,0.0931115,0.0902779,0.00283361,True,0.093167,0.0903334,0.00283365,True,0.0932126,0.0903789,0.00283367,True,0.0932223,0.0903887,0.0028336,True,0.0882504,0.459215,0.331106,0.159288,0.317466,0.101517,0.381526,0.150603,0.336522,0.336533,1.2,1.16471e-09,,,
9,initial_eval,9,1,False,False,0.0966236,0.0918031,0.00482052,0.125251,0.130217,0.125251,0.130217,0.091866,0.0966866,True,0.21884825,0.0966236,0.0918031,0.00482052,True,0.0966792,0.0918586,0.00482063,True,0.0967248,0.0919041,0.00482071,True,0.0967344,0.0919138,0.00482064,True,0.459365,0.08,0.08,0.427737,0.173147,0.184416,0.266121,0.08,0.336664,0.336632,1.2,1.16471e-09,,,
10,initial_eval,10,1,False,False,0.120342,0.113747,0.00659453,0.147856,0.154646,0.147856,0.154646,0.113811,0.120406,True,0.433851125,0.120342,0.113747,0.00659453,True,0.120398,0.113804,0.00659471,True,0.120445,0.11385,0.00659483,True,0.120455,0.11386,0.00659472,True,0.570861,0.286918,0.151123,0.745717,0.587416,0.423773,0.323946,0.381055,0.335858,0.33585,1.16471e-09,1.2,,,
11,initial_eval,11,1,False,False,0.122757,0.11497,0.00778701,0.149127,0.157153,0.149129,0.157155,0.115037,0.122826,True,0.41239925000000005,0.122757,0.11497,0.00778701,True,0.122818,0.115029,0.00778863,True,0.122867,0.115077,0.00778995,True,0.122878,0.115087,0.00779012,True,0.248555,0.648564,0.26177,0.516055,0.770109,0.300008,0.152067,0.402066,0.336083,0.336079,1.16471e-09,1.2,,,
12,initial_eval,12,1,False,False,0.0816108,0.0792312,0.0023796,0.112294,0.114746,0.112294,0.114746,0.0792932,0.0816728,True,0.255205325,0.0816108,0.0792312,0.0023796,True,0.0816655,0.0792859,0.00237961,True,0.0817104,0.0793308,0.00237961,True,0.0817202,0.0793406,0.00237952,True,0.378788,0.261629,0.298443,0.334779,0.105769,0.343042,0.0995206,0.219672,0.336616,0.336615,1.2,1.16471e-09,,,
13,initial_eval,13,1,False,False,0.116694,0.112744,0.00394962,0.146822,0.150889,0.146822,0.150889,0.112808,0.116757,True,0.33974525,0.116694,0.112744,0.00394962,True,0.11675,0.1128,0.00394968,True,0.116796,0.112846,0.00394972,True,0.116806,0.112856,0.00394967,True,0.123026,0.60824,0.471227,0.161069,0.263739,0.119865,0.661444,0.309352,0.336331,0.336334,1.16471e-09,1.2,,,
14,initial_eval,14,1,False,False,0.128176,0.121762,0.00641401,0.156102,0.162716,0.156102,0.162716,0.121825,0.128241,True,0.31753995,0.128176,0.121762,0.00641401,True,0.128233,0.121817,0.00641613,True,0.128281,0.121863,0.00641785,True,0.12829,0.121872,0.00641817,True,0.0855517,0.584276,0.494951,0.0948785,0.157014,0.0921764,0.770112,0.26136,0.336241,0.336253,1.16471e-09,1.2,,,
15,initial_eval,15,1,False,False,0.117636,0.112445,0.00519088,0.146515,0.15186,0.146515,0.15186,0.112509,0.1177,True,0.25858512499999997,0.117636,0.112445,0.00519088,True,0.117693,0.112502,0.00519096,True,0.117739,0.112548,0.00519102,True,0.117748,0.112557,0.00519098,True,0.08,0.440551,0.403631,0.08,0.101024,0.166068,0.658743,0.138664,0.336319,0.336345,1.16471e-09,1.2,,,
