cycle,phase,pattern,label,reset_gradient,applied_update,target_out,other_out,margin,score0,score1,score0_cmp,score1_cmp,out0_cmp,out1_cmp,correct,mean_hidden_act,target_out_2950ps,other_out_2950ps,margin_2950ps,correct_2950ps,act0,act1,act2,act3,act4,act5,act6,act7,act8,act9,act10,act11,lose0,lose1,lead01,lead10,bwd_signal,max_abs_hidden_delta_signal,post_update_margin,d_margin_after_update,max_abs_readout_weight_signed_delta,max_abs_output_bias_signed_delta,max_abs_readout_signed_delta,max_abs_hidden_signed_delta
0,initial_eval,0,0,False,False,0.0667661,0.0673409,-0.000574728,0.0993491,0.0999415,0.0216197,0.0216124,0.0667733,0.067348,False,0.09964619166666666,0.0667661,0.0673409,-0.000574728,False,0.0996625,0.0996211,0.0996243,0.0996638,0.0996614,0.0996229,0.0996652,0.0996625,0.0996212,0.0996244,0.0996637,0.0996613,0.33804,0.338037,1.21921,1.2192,,,,,,,,
1,initial_eval,1,0,False,False,0.0671068,0.0676941,-0.000587297,0.0997003,0.100306,0.0216288,0.0216214,0.067114,0.0677013,False,0.10012058333333333,0.0671068,0.0676941,-0.000587297,False,0.100021,0.0999782,0.0999816,0.101396,0.100019,0.0999801,0.100023,0.100021,0.0999784,0.0999817,0.100048,0.100019,0.338041,0.338038,1.20918,1.20917,,,,,,,,
2,initial_eval,2,0,False,False,0.069782,0.0704012,-0.00061918,0.102458,0.103096,4.57966e-05,3.10981e-05,0.0697889,0.070408,False,0.10377049999999999,0.069782,0.0704012,-0.00061918,False,0.1064,0.103496,0.103428,0.1047,0.102945,0.103394,0.103887,0.104133,0.102764,0.103742,0.103538,0.102819,0.335577,0.335565,1.1992,1.19918,,,,,,,,
3,initial_eval,3,0,False,False,0.066732,0.0673065,-0.000574549,0.0993139,0.0999061,0.0216225,0.0216153,0.0667392,0.0673137,False,0.09961094166666667,0.066732,0.0673065,-0.000574549,False,0.0996273,0.0995858,0.0995891,0.0996286,0.0996261,0.0995876,0.09963,0.0996272,0.0995859,0.0995892,0.0996285,0.099626,0.338041,0.338037,1.18934,1.18932,,,,,,,,
4,initial_eval,4,0,False,False,0.0667207,0.0672951,-0.00057449,0.0993022,0.0998943,0.0216234,0.0216163,0.0667279,0.0673023,False,0.09959919166666666,0.0667207,0.0672951,-0.00057449,False,0.0996155,0.0995741,0.0995773,0.0996168,0.0996144,0.0995759,0.0996182,0.0996155,0.0995742,0.0995774,0.0996167,0.0996143,0.338042,0.338038,1.17955,1.17953,,,,,,,,
5,initial_eval,5,0,False,False,0.0667092,0.0672837,-0.00057443,0.0992905,0.0998826,0.0216244,0.0216172,0.0667165,0.0672909,False,0.09958744166666668,0.0667092,0.0672837,-0.00057443,False,0.0996038,0.0995623,0.0995656,0.0996051,0.0996026,0.0995641,0.0996065,0.0996037,0.0995624,0.0995657,0.099605,0.0996025,0.338042,0.338038,1.16984,1.16982,,,,,,,,
6,initial_eval,6,1,False,False,0.0863887,0.085688,0.000700685,0.118849,0.119571,0.0125764,0.0125785,0.0856941,0.0863948,True,0.12645566666666666,0.0863887,0.085688,0.000700685,True,0.127745,0.127679,0.122959,0.130562,0.124982,0.124804,0.128421,0.127226,0.123249,0.129894,0.12541,0.124537,0.337402,0.3374,1.15999,1.15996,,,,,,,,
7,initial_eval,7,1,False,False,0.0863732,0.0856725,0.000700614,0.118833,0.119555,0.0125616,0.0125637,0.0856787,0.0863793,True,0.12643783333333333,0.0863732,0.0856725,0.000700614,True,0.127727,0.127661,0.122942,0.130543,0.124965,0.124786,0.128403,0.127207,0.123232,0.129876,0.125392,0.12452,0.337401,0.337399,1.15029,1.15025,,,,,,,,
8,initial_eval,8,1,False,False,0.0673286,0.0667552,0.000573455,0.0993378,0.0999289,0.0216288,0.0216218,0.0667624,0.0673358,True,0.09966081666666667,0.0673286,0.0667552,0.000573455,True,0.0996506,0.0997925,0.0996124,0.0996519,0.0996494,0.099611,0.0997886,0.0996505,0.0996093,0.0996125,0.0996518,0.0996493,0.338043,0.338039,1.1408,1.14076,,,,,,,,
9,initial_eval,9,1,False,False,0.086342,0.0856415,0.000700475,0.118801,0.119523,0.0125319,0.012534,0.0856477,0.0863481,True,0.12640233333333334,0.086342,0.0856415,0.000700475,True,0.127692,0.127625,0.122908,0.130506,0.12493,0.124751,0.128367,0.127171,0.123198,0.129838,0.125357,0.124485,0.337398,0.337396,1.13962,1.13962,,,,,,,,
