cycle,phase,pattern,label,reset_gradient,applied_update,target_out,other_out,margin,correct,mean_hidden_act,act0,act1,act2,act3,act4,act5,act6,act7,max_abs_hidden_delta_signal,post_update_margin,d_margin_after_update,max_abs_readout_signed_delta,max_abs_hidden_signed_delta
0,initial_eval,0,0,False,False,0.127309,0.134425,-0.00711635,False,0.0905693875,0.0587727,0.194423,0.049346,0.099239,0.0478419,0.0691867,0.111589,0.0941568,,,,,
1,initial_eval,1,1,False,False,0.136439,0.129225,0.00721374,True,0.0711982875,0.0629244,0.129433,-3.32793e-26,0.1868,0.0107476,0.0814973,0.0435799,0.0546041,,,,,
2,initial_eval,2,1,False,False,0.137404,0.130859,0.00654515,True,0.09677878749999999,0.101403,0.0690149,0.150536,0.042166,0.084206,0.0846074,0.121207,0.12109,,,,,
3,initial_eval,3,0,False,False,0.132192,0.138888,-0.00669651,False,0.091459375,0.177598,0.0626051,0.0967102,0.0976937,0.0551305,0.112826,0.0751199,0.0539916,,,,,
4,train,0,0,True,False,0.12874,0.13562,-0.00688029,False,0.090568275,0.0587713,0.194422,0.0493446,0.099237,0.0478408,0.0691851,0.11159,0.0941554,3.68873e-07,,,,
5,train,1,1,False,False,0.136438,0.129224,0.0072137,True,0.07119705,0.0629229,0.129432,-2.02119e-26,0.186798,0.0107466,0.0814952,0.0435792,0.0546025,5.69398e-07,,,,
6,train,2,1,False,False,0.137403,0.130857,0.00654512,True,0.0967776625,0.101402,0.0690133,0.150535,0.0421645,0.0842051,0.0846064,0.121206,0.121089,6.2917e-07,,,,
7,train,3,0,False,True,0.13219,0.138887,-0.00669649,False,0.09145841250000002,0.177599,0.0626033,0.0967091,0.0976923,0.0551295,0.112825,0.075119,0.0539901,2.16034e-07,-0.00668709,9.39382e-06,0.0035529,5.53201e-07
8,train,0,0,True,False,0.129304,0.13629,-0.0069864,False,0.09056713749999999,0.0587699,0.194422,0.0493433,0.0992349,0.0478397,0.0691835,0.11159,0.0941538,3.63452e-07,,,,
9,train,1,1,False,False,0.136928,0.129719,0.00720888,True,0.0711958,0.0629215,0.12943,-2.02114e-26,0.186797,0.0107456,0.0814931,0.0435784,0.0546008,5.69389e-07,,,,
10,train,2,1,False,False,0.137897,0.13136,0.00653698,True,0.096776475,0.101401,0.0690112,0.150534,0.042163,0.0842042,0.0846054,0.121205,0.121088,6.29165e-07,,,,
11,train,3,0,False,True,0.132704,0.139391,-0.00668714,False,0.09145723750000001,0.177599,0.062601,0.0967079,0.0976908,0.0551285,0.112824,0.0751181,0.0539886,2.1397e-07,-0.00667751,9.62563e-06,0.00353841,5.53197e-07
12,train,0,0,True,False,0.129808,0.136786,-0.00697789,False,0.090566175,0.0587686,0.194422,0.049342,0.0992328,0.0478386,0.069182,0.111591,0.0941524,3.58031e-07,,,,
13,train,1,1,False,False,0.137425,0.130221,0.00720379,True,0.07119467499999999,0.06292,0.129429,-2.02109e-26,0.186796,0.0107446,0.081491,0.0435776,0.0545992,5.69379e-07,,,,
14,train,2,1,False,False,0.138398,0.131869,0.00652858,True,0.09677516249999998,0.1014,0.0690091,0.150532,0.0421615,0.0842033,0.0846044,0.121204,0.121087,6.2916e-07,,,,
15,train,3,0,False,True,0.133224,0.139902,-0.00667744,False,0.09145619999999999,0.1776,0.0625987,0.0967068,0.0976894,0.0551275,0.112823,0.0751171,0.0539871,2.11905e-07,-0.00666762,9.81845e-06,0.00352387,5.53194e-07
16,final_eval,0,0,False,False,0.130318,0.137288,-0.0069691,False,0.09056507500000001,0.0587672,0.194422,0.0493407,0.0992308,0.0478376,0.0691804,0.111591,0.0941509,,,,,
17,final_eval,1,1,False,False,0.136816,0.129466,0.00735012,True,0.0711934625,0.0629186,0.129427,-3.35071e-26,0.186795,0.0107436,0.0814889,0.0435769,0.0545977,,,,,
18,final_eval,2,1,False,False,0.138905,0.132385,0.00651987,True,0.09677397500000001,0.101399,0.069007,0.150531,0.04216,0.0842024,0.0846034,0.121203,0.121086,,,,,
19,final_eval,3,0,False,False,0.132463,0.139196,-0.00673258,False,0.0914551125,0.1776,0.0625965,0.0967057,0.097688,0.0551267,0.112822,0.0751163,0.0539857,,,,,
