cycle,phase,pattern,label,reset_gradient,applied_update,target_out,other_out,margin,score0,score1,score0_cmp,score1_cmp,out0_cmp,out1_cmp,correct,mean_hidden_act,target_out_2950ps,other_out_2950ps,margin_2950ps,correct_2950ps,act0,act1,act2,act3,lose0,lose1,lead01,lead10,bwd_signal,max_abs_output_delta_signal,max_output_delta_node,max_abs_hidden_delta_signal,max_hidden_delta_node,max_abs_hidden_delta_update_signal,max_hidden_delta_update_node,max_abs_hidden_delta_gate_signal,max_hidden_delta_gate_node,post_update_margin,d_margin_after_update,max_abs_readout_weight_signed_delta,max_abs_output_bias_signed_delta,max_abs_readout_signed_delta,max_abs_hidden_signed_delta
0,initial_eval,0,0,False,False,0.13138,0.138638,-0.00725785,0.158142,0.166693,0.00771957,0.00750512,0.131373,0.13863,False,0.1003508,0.13138,0.138638,-0.00725785,False,0.0586814,0.194322,0.0492555,0.0991443,0.337373,0.337326,1.21751,1.21742,,,,,,,,,,,,,,,
1,initial_eval,1,1,False,False,0.138082,0.131051,0.00703111,0.154783,0.163566,0.0100138,0.00979709,0.131043,0.138074,True,0.09471602500000001,0.138082,0.131051,0.00703111,True,0.0628311,0.129335,-2.83358e-26,0.186698,0.33777,0.337709,1.207,1.20686,,,,,,,,,,,,,,,
2,initial_eval,2,1,False,False,0.147214,0.139785,0.00742864,0.170951,0.179275,0.00863177,0.00839341,0.139778,0.147206,True,0.09068337500000001,0.147214,0.139785,0.00742864,True,0.101306,0.0689194,0.150435,0.0420731,0.337565,0.337513,1.19647,1.19627,,,,,,,,,,,,,,,
3,initial_eval,3,0,False,False,0.134742,0.141866,-0.00712354,0.158625,0.167442,0.00879983,0.00857482,0.134735,0.141858,False,0.108553925,0.134742,0.141866,-0.00712354,False,0.1775,0.0625081,0.0966126,0.097595,0.338109,0.338029,1.18611,1.18587,,,,,,,,,,,,,,,
4,train,0,0,True,True,0.131776,0.138932,-0.00715651,0.158138,0.166688,0.00772012,0.00750564,0.131768,0.138925,False,0.10034375,0.131776,0.138932,-0.00715651,False,0.0586746,0.194317,0.049249,0.0991344,0.337415,0.337368,0.38714,1.2,1.14237,0.105045,0.10544,1.42069e-07,0.0729518,1.77888e-08,0.0730699,1.03733,1.17615,-0.00011159,0.00704492,0.000887911,0.00815159,0.00815159,0.000283926
5,train,1,1,True,True,0.129419,0.131514,-0.00209487,0.15489,0.154155,0.0100343,0.0100528,0.131506,0.129412,False,0.0945752,0.129419,0.131514,-0.00209487,False,0.0625498,0.129114,-1.47323e-26,0.186637,0.337769,0.337796,1.19999,0.582815,1.14237,0.0973544,0.098236,2.14295e-07,0.0659611,2.70603e-08,0.0660803,1.1604,1.19974,0.00595722,0.00805209,0.00265619,0.00819507,0.00819507,0.000216424
6,train,2,1,True,True,0.138908,0.132071,0.00683699,0.163034,0.170735,0.00893262,0.00869191,0.132064,0.138901,True,0.09022495000000001,0.138908,0.132071,0.00683699,True,0.101122,0.0683036,0.150002,0.0414722,0.337615,0.337566,0.410533,1.2,1.14237,0.0987765,0.0987774,2.71814e-07,0.0664846,3.08341e-08,0.0666052,1.19443,1.19939,0.0147282,0.00789117,0.00268146,0.00833292,0.00833292,0.000212717
7,train,3,0,True,True,0.12073,0.135891,-0.0151607,0.141955,0.159186,0.00912262,0.00867347,0.120724,0.135883,False,0.108318875,0.12073,0.135891,-0.0151607,False,0.178843,0.0614435,0.096052,0.096937,0.338197,0.338017,1.2,0.168753,1.14238,0.101608,0.102487,2.36711e-07,0.0700849,2.97803e-08,0.070204,1.06439,1.12643,-0.00803878,0.00712194,0.00257813,0.00919742,0.00919742,0.000214644
8,train,0,0,True,True,0.119152,0.124341,-0.0051889,0.144413,0.150408,0.00821329,0.00806543,0.119145,0.124334,False,0.09948312499999999,0.119152,0.124341,-0.0051889,False,0.05769,0.194244,0.0483125,0.097686,0.337372,0.337364,1.2,0.201341,1.14238,0.0912715,0.0912723,5.66394e-07,0.0592055,6.77957e-08,0.0593253,1.10048,1.20036,0.000504583,0.00569348,0.00271197,0.00667392,0.00667392,0.000204536
9,train,1,1,True,True,0.117782,0.119471,-0.0016885,0.140791,0.140894,0.0105007,0.0104746,0.119464,0.117776,False,0.09410925,0.117782,0.119471,-0.0016885,False,0.061636,0.128382,-1.53249e-26,0.186419,0.337793,0.337804,1.2,0.491304,1.14531,0.0856739,0.086545,5.32892e-07,0.0546198,6.81623e-08,0.0547403,1.13002,1.19077,0.00454563,0.00623413,0.00232876,0.00572533,0.00572533,0.000202931
