cycle,phase,pattern,label,reset_gradient,applied_update,target_out,other_out,margin,score0,score1,score0_cmp,score1_cmp,out0_cmp,out1_cmp,correct,mean_hidden_act,act0,act1,act2,act3,act4,act5,act6,act7,lose0,lose1,lead01,lead10,max_abs_hidden_delta_signal,max_abs_hidden_grad_signal,max_hidden_grad_node,max_abs_hidden_apply_gate_signal,max_hidden_apply_gate_node,post_update_margin,d_margin_after_update,max_abs_readout_weight_signed_delta,max_abs_output_bias_signed_delta,max_abs_readout_signed_delta,max_abs_hidden_signed_delta
0,initial_eval,0,0,False,False,0.13091,0.137479,-0.00656839,0.12549,0.133759,0.0141952,0.0140903,0.130903,0.137471,False,0.111727725,0.160017,0.098667,0.119667,0.115452,0.0692549,0.0968149,0.101436,0.132513,0.343408,0.343203,1.17666,1.17659,,,,,,,,,,,
1,initial_eval,1,0,False,False,0.143108,0.150291,-0.00718349,0.174769,0.18257,0.00714711,0.00695829,0.1431,0.150283,False,0.062966075,0.126539,0.0524873,0.0329492,0.100647,0.0224349,0.0752129,0.0452515,0.0482068,0.338077,0.338066,1.16634,1.1662,,,,,,,,,,,
2,initial_eval,2,0,False,False,0.14725,0.154376,-0.00712632,0.18003,0.187527,0.00206657,0.00185064,0.147241,0.154367,False,0.064348975,0.0739292,0.0416311,0.103904,0.0341513,0.0514116,0.0564986,0.0828959,0.0703701,0.337324,0.337334,1.15609,1.1559,,,,,,,,,,,
3,initial_eval,3,0,False,False,0.155886,0.163146,-0.00725944,0.190786,0.19828,0.000511763,0.000268828,0.155879,0.163138,False,0.0484766875,0.0412269,0.075336,0.0363455,0.070528,0.0147866,0.0608216,0.0402415,0.0485274,0.336053,0.336047,1.14584,1.1456,,,,,,,,,,,
4,initial_eval,4,1,False,False,0.119989,0.11481,0.00517822,0.0911825,0.0936534,0.045581,0.0453453,0.114804,0.119982,True,0.221768875,0.238237,0.219286,0.202987,0.246577,0.202826,0.200843,0.228696,0.234699,0.220702,0.224098,1.13993,1.13993,,,,,,,,,,,
5,initial_eval,5,1,False,False,0.115999,0.110991,0.00500787,0.0973948,0.0997474,0.00617138,0.00609669,0.110985,0.115993,True,0.25523125,0.266959,0.262359,0.216674,0.287753,0.241834,0.236953,0.266959,0.262359,0.337469,0.337439,1.13977,1.13976,,,,,,,,,,,
6,initial_eval,6,1,False,False,0.117358,0.112346,0.00501137,0.0973946,0.0997472,0.00617143,0.00609674,0.11234,0.117351,True,0.25523025,0.266958,0.262358,0.216673,0.287752,0.241833,0.236952,0.266958,0.262358,0.337469,0.337439,1.13972,1.13971,,,,,,,,,,,
7,initial_eval,7,1,False,False,0.125844,0.119679,0.00616549,0.112358,0.119521,0.0117575,0.0115997,0.119672,0.125837,True,0.13103332499999998,0.110395,0.158194,0.0788676,0.258362,0.10857,0.080511,0.151576,0.101791,0.340887,0.340677,1.13964,1.13962,,,,,,,,,,,
8,train,0,0,True,True,0.130936,0.13752,-0.00658441,0.125492,0.133761,0.0141947,0.0140897,0.130929,0.137513,False,0.11172372500000001,0.160014,0.0986627,0.119663,0.115447,0.0692505,0.0968116,0.101431,0.13251,0.343449,0.343244,0.880621,0.924913,0.000144387,0.000182143,0.0608045,0.0126628,1.14136,-0.00602276,0.000561657,0.00285626,0.000903106,0.00285626,0.000151502
9,train,4,1,True,True,0.115033,0.11,0.00503304,0.0911911,0.0935174,0.0456037,0.0453731,0.109994,0.115027,True,0.221688875,0.238193,0.219155,0.203036,0.246464,0.202686,0.200725,0.228606,0.234646,0.220427,0.223759,0.858473,0.965835,0.000123152,0.000147249,0.0276645,0.0585528,1.19943,0.00497504,-5.79997e-05,0.0129689,0.000129728,0.0129689,0.000178506
10,train,1,0,True,True,0.143176,0.149875,-0.00669828,0.174879,0.182212,0.0063852,0.00620878,0.143169,0.149867,False,0.062865925,0.126465,0.0523502,0.0328437,0.100691,0.0222357,0.0751194,0.0451218,0.0481006,0.337763,0.337732,0.886262,0.917939,2.27936e-05,2.90651e-05,0.0742379,0.071363,1.19847,-0.0057225,0.000975782,1.26307e-07,0.00146805,0.00146805,0.000166261
11,train,5,1,True,True,0.109241,0.105036,0.00420511,0.0971754,0.0997617,0.00622884,0.00609625,0.10503,0.109235,True,0.255051875,0.266836,0.262139,0.216568,0.287508,0.241659,0.23673,0.266816,0.262159,0.337534,0.337467,0.837697,1.19999,7.15527e-05,7.74199e-05,0.0153838,0.0585567,1.19944,0.0040688,-0.000136317,0.00637871,6.39115e-05,0.00637871,0.00017869
12,train,2,0,True,True,0.147541,0.153243,-0.00570157,0.180414,0.186471,0.00205229,0.00189657,0.147533,0.153234,False,0.06412641250000001,0.0739498,0.0411614,0.103697,0.0338376,0.0511102,0.0562902,0.0827344,0.0702307,0.337342,0.337359,0.889564,0.914176,7.26007e-09,3.6925e-07,0.0507546,0.0572144,1.19848,-0.00459525,0.00110631,1.33472e-07,0.00164586,0.00164586,0.000178526
13,train,6,1,True,True,0.11434,0.111085,0.00325482,0.0970547,0.09971,0.00626161,0.00609931,0.111079,0.114333,True,0.254911625,0.266699,0.261974,0.216496,0.287321,0.241542,0.236566,0.266702,0.261993,0.337547,0.337462,0.871676,0.937592,0.000100449,0.000117789,0.0233553,0.0585314,1.19939,0.00332546,7.06418e-05,0.0147108,0.000147193,0.0147108,0.000178407
14,train,3,0,True,True,0.156538,0.161318,-0.00478004,0.191463,0.196411,0.000569648,0.000462179,0.15653,0.16131,False,0.048141399999999994,0.0410793,0.0751302,0.0361423,0.0699301,0.0144341,0.0601832,0.0401046,0.0481274,0.336068,0.336075,0.893263,0.910327,1.19721e-09,4.65602e-07,0.0138633,0.0571695,1.19843,-0.00333615,0.00144389,1.49998e-07,0.00211646,0.00211646,0.000178297
