cycle,phase,pattern,label,reset_gradient,applied_update,target_out,other_out,margin,correct,mean_hidden_act,act0,act1,act2,act3,act4,act5,act6,act7,lose0,lose1,lead01,lead10,max_abs_hidden_delta_signal,post_update_margin,d_margin_after_update,max_abs_readout_weight_signed_delta,max_abs_output_bias_signed_delta,max_abs_readout_signed_delta,max_abs_hidden_signed_delta
0,initial_eval,0,0,False,False,0.114895,0.114362,0.000533258,True,0.09056923750000001,0.0587725,0.194423,0.0493458,0.0992387,0.0478418,0.0691865,0.111589,0.0941566,0.339538,0.339727,-3.17722e-114,-3.17722e-114,,,,,,,
1,initial_eval,1,1,False,False,0.115705,0.115493,0.000211369,True,0.07119695,0.0629228,0.129432,-3.3279e-26,0.186798,0.0107463,0.081495,0.0435791,0.0546024,0.339775,0.339814,-4.09342e-130,1.88309e-144,,,,,,,
2,initial_eval,2,1,False,False,0.117531,0.117493,3.80769e-05,True,0.0967762,0.101401,0.0690114,0.150533,0.0421628,0.0842041,0.0846053,0.121205,0.121087,0.341812,0.341882,2.40325e-160,-1.10556e-174,,,,,,,
3,initial_eval,3,0,False,False,0.118629,0.117751,0.000878317,True,0.091456275,0.1776,0.0625996,0.0967067,0.0976893,0.0551275,0.112823,0.0751171,0.053987,0.339926,0.340498,-2.17068e-104,6.55251e-205,,,,,,,
4,train,0,0,True,False,0.116119,0.115652,0.000466891,True,0.09056355,0.0587658,0.194418,0.0493393,0.0992287,0.0478365,0.0691788,0.111592,0.0941493,0.33958,0.339769,1.27441e-134,7.72615e-181,3.95428e-243,,,,,,
5,train,1,1,False,False,0.115699,0.115487,0.000211407,True,0.07119098750000001,0.0629155,0.129425,-3.32743e-26,0.186792,0.0107414,0.0814846,0.0435752,0.0545942,0.339817,0.339856,3.00761e-42,3.34419e-43,2.58793e-272,,,,,,
6,train,2,1,False,False,0.117525,0.117487,3.80781e-05,True,0.096770475,0.101396,0.0690035,0.150526,0.0421555,0.0841995,0.0846003,0.1212,0.121083,0.341853,0.341923,-1.76577e-72,-1.96338e-73,2.18734e-301,,,,,,
7,train,3,0,False,True,0.118622,0.117744,0.000878516,True,0.09145105,0.177602,0.0625907,0.096701,0.0976821,0.0551226,0.112818,0.0751125,0.0539795,0.339967,0.340539,1.30009e-102,1.1527e-103,0.0,0.000794153,-8.43626e-05,2.5098e-06,0.0,2.5098e-06,2.76584e-06
8,final_eval,0,0,False,False,0.116116,0.115654,0.000462876,True,0.09055758750000001,0.058759,0.194412,0.0493328,0.0992187,0.0478311,0.0691711,0.111594,0.094142,0.339537,0.339726,-7.63287e-133,-6.76752e-134,,,,,,,
9,final_eval,1,1,False,False,0.115692,0.115481,0.000211445,True,0.0711850125,0.0629082,0.129418,-3.34994e-26,0.186786,0.0107364,0.0814741,0.0435714,0.054586,0.339775,0.339814,1.99831e-130,3.97322e-164,,,,,,,
10,final_eval,2,1,False,False,0.11752,0.117481,3.8079e-05,True,0.0967646,0.101391,0.0689955,0.150519,0.0421481,0.084195,0.0845952,0.121195,0.121078,0.341811,0.341881,-1.17321e-160,-2.33268e-194,,,,,,,
11,final_eval,3,0,False,False,0.118615,0.117737,0.000878716,True,0.09144591250000002,0.177605,0.0625817,0.0966953,0.0976749,0.0551176,0.112813,0.0751078,0.053972,0.339925,0.340497,-1.70847e-93,1.36952e-224,,,,,,,
