cycle,phase,pattern,label,reset_gradient,applied_update,target_out,other_out,margin,score0,score1,score0_cmp,score1_cmp,out0_cmp,out1_cmp,correct,mean_hidden_act,target_out_2950ps,other_out_2950ps,margin_2950ps,correct_2950ps,act0,act1,act2,act3,lose0,lose1,lead01,lead10,bwd_signal,max_abs_output_delta_signal,max_output_delta_node,max_abs_hidden_delta_signal,max_hidden_delta_node,max_abs_hidden_delta_update_signal,max_hidden_delta_update_node,max_abs_hidden_delta_gate_signal,max_hidden_delta_gate_node,post_update_margin,d_margin_after_update,max_abs_readout_weight_signed_delta,max_abs_output_bias_signed_delta,max_abs_readout_signed_delta,max_abs_hidden_signed_delta
0,initial_eval,0,0,False,False,0.130225,0.132788,-0.00256325,0.164713,0.167351,0.000231105,0.000166389,0.130229,0.132792,False,0.5246405,0.130225,0.132788,-0.00256325,False,0.531747,0.513496,0.535893,0.517426,0.335549,0.33552,1.21753,1.2175,,,,,,,,,,,,,,,
1,initial_eval,1,0,False,False,0.135166,0.141429,-0.00626285,0.1698,0.176245,0.000227288,6.55684e-05,0.13517,0.141432,False,0.5838835,0.135166,0.141429,-0.00626285,False,0.699919,0.417568,0.496653,0.721394,0.335581,0.335544,1.20696,1.20687,,,,,,,,,,,,,,,
2,initial_eval,2,0,False,False,0.15156,0.146051,0.00550823,0.186698,0.181014,-7.49024e-05,4.70622e-06,0.151564,0.146055,True,0.6402075,0.15156,0.146051,0.00550823,True,0.421678,0.77022,0.770219,0.598713,0.335607,0.335579,1.19631,1.19631,,,,,,,,,,,,,,,
3,initial_eval,3,0,False,False,0.156282,0.156279,3.18514e-06,0.191529,0.191525,-0.000183953,-0.000201408,0.156285,0.156281,True,0.71299175,0.156282,0.156279,3.18514e-06,True,0.69252,0.690144,0.722441,0.746862,0.335651,0.33562,1.18576,1.18573,,,,,,,,,,,,,,,
4,initial_eval,4,0,False,False,0.155002,0.150571,0.00443132,0.19023,0.185649,-0.000168917,-0.000105795,0.155006,0.150574,True,0.674525,0.155002,0.150571,0.00443132,True,0.516261,0.744649,0.77022,0.66697,0.335627,0.335599,1.17532,1.17534,,,,,,,,,,,,,,,
5,initial_eval,5,0,False,False,0.114049,0.117108,-0.00305849,0.14806,0.151209,0.000959682,0.000876642,0.114054,0.117113,False,0.438589,0.114049,0.117108,-0.00305849,False,0.350727,0.486348,0.453581,0.4637,0.335563,0.335531,1.16526,1.16531,,,,,,,,,,,,,,,
6,initial_eval,6,0,False,False,0.143763,0.143343,0.000420095,0.178647,0.178215,-2.01696e-05,-2.87869e-05,0.143766,0.143346,True,0.5992375,0.143763,0.143343,0.000420095,True,0.674625,0.525695,0.662635,0.533995,0.335589,0.335562,1.15507,1.15508,,,,,,,,,,,,,,,
7,initial_eval,7,0,False,False,0.114018,0.115279,-0.00126024,0.148028,0.149326,0.00103397,0.00098994,0.114023,0.115283,False,0.43275425,0.114018,0.115279,-0.00126024,False,0.341263,0.434023,0.518626,0.437105,0.335569,0.335538,1.14523,1.14525,,,,,,,,,,,,,,,
8,initial_eval,8,0,False,False,0.140109,0.139832,0.000277666,0.174887,0.174601,5.00956e-05,4.75081e-05,0.140113,0.139835,True,0.58055225,0.140109,0.139832,0.000277666,True,0.532436,0.498079,0.650461,0.641233,0.33558,0.335553,1.13942,1.13944,,,,,,,,,,,,,,,
9,initial_eval,9,0,False,False,0.150989,0.144938,0.00605149,0.186102,0.179852,-0.000119424,-1.72373e-05,0.150993,0.144941,True,0.63268375,0.150989,0.144938,0.00605149,True,0.483452,0.71122,0.770219,0.565844,0.335602,0.335577,1.13954,1.13961,,,,,,,,,,,,,,,
10,initial_eval,10,0,False,False,0.112831,0.116111,-0.00328086,0.146805,0.150183,0.000799088,0.000711726,0.112836,0.116116,False,0.43758925,0.112831,0.116111,-0.00328086,False,0.4312,0.376196,0.445481,0.49748,0.335521,0.33549,1.13993,1.13993,,,,,,,,,,,,,,,
11,initial_eval,11,0,False,False,0.135372,0.141579,-0.00620679,0.170012,0.1764,0.000170734,3.28986e-05,0.135376,0.141583,False,0.58109,0.135372,0.141579,-0.00620679,False,0.668545,0.46683,0.481908,0.707077,0.335579,0.335544,1.13947,1.13942,,,,,,,,,,,,,,,
12,initial_eval,12,0,False,False,0.154407,0.158594,-0.00418734,0.189595,0.193905,-0.000136159,-0.000235109,0.15441,0.158597,False,0.71812,0.154407,0.158594,-0.00418734,False,0.72051,0.728817,0.652934,0.770219,0.335655,0.335621,1.13945,1.13946,,,,,,,,,,,,,,,
13,initial_eval,13,0,False,False,0.125717,0.129041,-0.00332382,0.160073,0.163495,0.000324995,0.000246358,0.125722,0.129045,False,0.5017512500000001,0.125717,0.129041,-0.00332382,False,0.503241,0.525332,0.48996,0.488472,0.335535,0.335506,1.13993,1.13993,,,,,,,,,,,,,,,
14,initial_eval,14,0,False,False,0.157283,0.156059,0.00122373,0.192567,0.191298,-0.000162197,-0.000161233,0.157286,0.156062,True,0.7427905,0.157283,0.156059,0.00122373,True,0.77022,0.660504,0.770218,0.77022,0.335664,0.335634,1.13933,1.13938,,,,,,,,,,,,,,,
15,initial_eval,15,0,False,False,0.140291,0.144335,-0.00404447,0.175074,0.179236,5.39982e-05,-4.09555e-05,0.140294,0.144338,False,0.6019215,0.140291,0.144335,-0.00404447,False,0.684605,0.467712,0.570865,0.684504,0.335593,0.33556,1.13982,1.13976,,,,,,,,,,,,,,,
16,initial_eval,16,1,False,False,0.112773,0.110795,0.00197779,0.144709,0.146745,0.00428592,0.0042765,0.1108,0.112777,True,0.2865836,0.112773,0.110795,0.00197779,True,0.0999604,0.412792,0.449507,0.184075,0.336053,0.336029,1.13993,1.13993,,,,,,,,,,,,,,,
17,initial_eval,17,1,False,False,0.142152,0.152987,-0.0108347,0.188139,0.176989,0.00252158,0.00280086,0.152989,0.142155,False,0.426979525,0.142152,0.152987,-0.0108347,False,0.0912421,0.667252,0.734518,0.214906,0.336027,0.336019,1.13924,1.13939,,,,,,,,,,,,,,,
18,initial_eval,18,1,False,False,0.119446,0.117599,0.00184642,0.151715,0.153616,0.0030141,0.00299694,0.117604,0.11945,True,0.30445275,0.119446,0.117599,0.00184642,True,0.08,0.474305,0.468278,0.195228,0.335953,0.335928,1.13993,1.13991,,,,,,,,,,,,,,,
19,initial_eval,19,1,False,False,0.0830137,0.0782267,0.00478707,0.111152,0.116085,0.00969732,0.00966186,0.0782324,0.0830192,True,0.2167635,0.0830137,0.0782267,0.00478707,True,0.175672,0.226022,0.238658,0.226702,0.337964,0.337911,1.13993,1.13993,,,,,,,,,,,,,,,
20,initial_eval,20,1,False,False,0.0960952,0.090448,0.00564713,0.123749,0.129567,0.00697187,0.0068201,0.0904535,0.0961003,True,0.26045225,0.0960952,0.090448,0.00564713,True,0.299048,0.163159,0.184964,0.394638,0.336787,0.336717,1.13967,1.13965,,,,,,,,,,,,,,,
21,initial_eval,21,1,False,False,0.133542,0.133789,-0.000246833,0.168382,0.168128,0.00315354,0.00319651,0.133793,0.133546,False,0.31174452500000005,0.133542,0.133789,-0.000246833,False,0.0914141,0.50706,0.535796,0.112708,0.335876,0.335857,1.13928,1.13933,,,,,,,,,,,,,,,
22,initial_eval,22,1,False,False,0.091262,0.0856294,0.00563265,0.118783,0.124587,0.00866861,0.00855875,0.0856349,0.0912672,True,0.22886525000000002,0.091262,0.0856294,0.00563265,True,0.173149,0.240816,0.156831,0.344665,0.337397,0.337313,1.13993,1.13993,,,,,,,,,,,,,,,
23,initial_eval,23,1,False,False,0.0876544,0.0826342,0.00502014,0.115696,0.120869,0.00863615,0.00856613,0.0826399,0.0876598,True,0.23050825000000003,0.0876544,0.0826342,0.00502014,True,0.264519,0.145354,0.235699,0.276461,0.33741,0.337354,1.13983,1.13982,,,,,,,,,,,,,,,
24,initial_eval,24,1,False,False,0.148231,0.153066,-0.00483483,0.18822,0.183245,0.00322533,0.00339834,0.153068,0.148234,False,0.37532475000000004,0.148231,0.153066,-0.00483483,False,0.101968,0.636781,0.649199,0.113351,0.335966,0.335952,1.13898,1.13908,,,,,,,,,,,,,,,
25,initial_eval,25,1,False,False,0.111953,0.108944,0.00300894,0.142801,0.145899,0.00384077,0.00392061,0.108948,0.111957,True,0.22686699999999999,0.111953,0.108944,0.00300894,True,0.100075,0.331969,0.395424,0.08,0.335986,0.336,1.13993,1.13993,,,,,,,,,,,,,,,
26,initial_eval,26,1,False,False,0.133697,0.133735,-3.87838e-05,0.168327,0.168287,0.00288595,0.00291624,0.133739,0.1337,False,0.31912349999999995,0.133697,0.133735,-3.87838e-05,False,0.08,0.524397,0.534778,0.137319,0.335931,0.335912,1.13945,1.13948,,,,,,,,,,,,,,,
27,initial_eval,27,1,False,False,0.104885,0.0984367,0.00644858,0.131977,0.138619,0.0074674,0.00730727,0.0984415,0.10489,True,0.1551275,0.104885,0.0984367,0.00644858,True,0.201368,0.08,0.08,0.259142,0.337462,0.337388,1.13993,1.13993,,,,,,,,,,,,,,,
