cycle,phase,pattern,label,reset_gradient,applied_update,target_out,other_out,margin,score0,score1,score0_cmp,score1_cmp,out0_cmp,out1_cmp,correct,mean_hidden_act,target_out_2550ps,other_out_2550ps,margin_2550ps,correct_2550ps,target_out_2950ps,other_out_2950ps,margin_2950ps,correct_2950ps,target_out_3350ps,other_out_3350ps,margin_3350ps,correct_3350ps,act0,act1,act2,act3,act4,act5,act6,act7,lose0,lose1,lead01,lead10,bwd_signal,dp0,dn0,output_delta_net_0,dp1,dn1,output_delta_net_1,max_abs_output_delta_signal,max_output_delta_node,post_update_margin,d_margin_after_update,max_abs_readout_weight_signed_delta,max_abs_output_bias_signed_delta,max_abs_readout_signed_delta,max_abs_hidden_signed_delta,sum_d_readout_out0_signed,sum_d_readout_out1_signed,d_output_bias_out0_signed,d_output_bias_out1_signed
0,initial_eval,0,0,False,False,0.159766,0.160244,-0.000478012,0.195216,0.195708,0.165315,0.158141,0.159877,0.160355,False,0.447860125,0.159766,0.160244,-0.000478012,False,0.159868,0.160346,-0.000478019,False,0.159879,0.160357,-0.000477775,False,0.741245,0.57729,0.633202,0.770113,0.107267,0.142146,0.109099,0.502519,0.00257683,0.00272379,1.2,7.76471e-10,,,,,,,,,,,,,,,,,,,
1,initial_eval,1,0,False,False,0.159875,0.160728,-0.000852583,0.195327,0.196204,0.165556,0.159385,0.159985,0.160838,False,0.383877,0.159875,0.160728,-0.000852583,False,0.159977,0.160829,-0.000852616,False,0.159988,0.16084,-0.000852473,False,0.632611,0.475342,0.540965,0.624457,0.124163,0.08,0.282379,0.311099,0.00257216,0.00269709,1.2,7.76471e-10,,,,,,,,,,,,,,,,,,,
2,initial_eval,2,0,False,False,0.161168,0.158816,0.00235217,0.196658,0.194238,0.166715,0.156332,0.161278,0.158926,True,0.29886775000000004,0.161168,0.158816,0.00235217,True,0.16127,0.158918,0.00235222,True,0.161281,0.158928,0.00235258,True,0.460496,0.315118,0.428067,0.491527,0.139719,0.324761,0.106536,0.124718,0.00254999,0.00276356,7.76471e-10,1.2,,,,,,,,,,,,,,,,,,,
3,initial_eval,3,0,False,False,0.161611,0.160295,0.00131607,0.197115,0.195761,0.167894,0.15891,0.161722,0.160406,True,0.34778837500000004,0.161611,0.160295,0.00131607,True,0.161713,0.160397,0.0013161,True,0.161725,0.160408,0.00131641,True,0.465983,0.392788,0.363332,0.423047,0.177356,0.430341,0.224457,0.305003,0.00252784,0.00270722,1.2,7.76471e-10,,,,,,,,,,,,,,,,,,,
4,initial_eval,4,0,False,False,0.160666,0.161407,-0.000740931,0.196142,0.196904,0.166944,0.160182,0.160777,0.161517,False,0.383445,0.160666,0.161407,-0.000740931,False,0.160768,0.161509,-0.000740948,False,0.160779,0.16152,-0.000740725,False,0.584164,0.47028,0.462056,0.628547,0.255224,0.176976,0.145681,0.344632,0.00254567,0.00268027,7.76471e-10,1.2,,,,,,,,,,,,,,,,,,,
5,initial_eval,5,0,False,False,0.161614,0.159704,0.00190976,0.197117,0.195152,0.167891,0.158137,0.161725,0.159814,True,0.37133174999999996,0.161614,0.159704,0.00190976,True,0.161716,0.159806,0.00190979,True,0.161727,0.159817,0.00191012,True,0.543454,0.493438,0.523504,0.44525,0.181826,0.385814,0.148522,0.248846,0.00252788,0.00272386,1.2,7.76471e-10,,,,,,,,,,,,,,,,,,,
6,initial_eval,6,0,False,False,0.162288,0.16191,0.000377815,0.197811,0.197422,0.16896,0.160799,0.162399,0.162021,True,0.5436395,0.162288,0.16191,0.000377815,True,0.16239,0.162012,0.000377832,True,0.162402,0.162023,0.000378161,True,0.676339,0.66374,0.770111,0.650108,0.375466,0.351668,0.149631,0.712053,0.00250813,0.00266739,7.76471e-10,1.2,,,,,,,,,,,,,,,,,,,
7,initial_eval,7,0,False,False,0.162261,0.161884,0.000376667,0.197783,0.197395,0.168941,0.16066,0.162372,0.161995,True,0.42723375,0.162261,0.161884,0.000376667,True,0.162363,0.161986,0.000376672,True,0.162374,0.161997,0.000377,True,0.580763,0.423695,0.455836,0.753179,0.370996,0.391278,0.100993,0.34113,0.00250847,0.00267028,1.2,7.76471e-10,,,,,,,,,,,,,,,,,,,
8,initial_eval,8,0,False,False,0.162264,0.161879,0.000384542,0.197785,0.19739,0.168947,0.160788,0.162374,0.16199,True,0.41991187500000005,0.162264,0.161879,0.000384542,True,0.162366,0.161981,0.000384547,True,0.162377,0.161992,0.000384874,True,0.464831,0.474401,0.515151,0.632988,0.357854,0.426654,0.152887,0.334529,0.00250837,0.00266763,1.2,7.76471e-10,,,,,,,,,,,,,,,,,,,
9,initial_eval,9,0,False,False,0.162269,0.161904,0.000364895,0.197791,0.197415,0.168957,0.16066,0.16238,0.162014,True,0.5125391,0.162269,0.161904,0.000364895,True,0.162371,0.162006,0.000364902,True,0.162382,0.162017,0.000365232,True,0.715184,0.569406,0.590993,0.770114,0.328889,0.269307,0.0863048,0.770115,0.00250818,0.00267028,1.2,7.76471e-10,,,,,,,,,,,,,,,,,,,
10,initial_eval,10,0,False,False,0.161279,0.160294,0.000985067,0.196772,0.195759,0.167644,0.158614,0.16139,0.160404,True,0.34533500000000006,0.161279,0.160294,0.000985067,True,0.161381,0.160396,0.000985099,True,0.161392,0.160407,0.000985475,True,0.460057,0.36972,0.432466,0.52793,0.162337,0.257971,0.106189,0.44601,0.0025325,0.00271357,1.2,7.76471e-10,,,,,,,,,,,,,,,,,,,
11,initial_eval,11,0,False,False,0.161608,0.160304,0.00130417,0.197111,0.195769,0.16792,0.158706,0.161719,0.160414,True,0.40108024999999997,0.161608,0.160304,0.00130417,True,0.16171,0.160406,0.00130419,True,0.161721,0.160417,0.00130451,True,0.521068,0.418723,0.488581,0.608506,0.171098,0.317522,0.128222,0.554922,0.00252735,0.0027116,1.2,7.76471e-10,,,,,,,,,,,,,,,,,,,
12,initial_eval,12,0,False,False,0.161636,0.16033,0.00130592,0.19714,0.195797,0.167751,0.158489,0.161747,0.160441,True,0.49262754999999997,0.161636,0.16033,0.00130592,True,0.161738,0.160432,0.00130595,True,0.16175,0.160443,0.00130626,True,0.685667,0.646988,0.616585,0.599858,0.0876884,0.560507,0.109723,0.634004,0.0025305,0.00271626,7.76471e-10,1.2,,,,,,,,,,,,,,,,,,,
13,initial_eval,13,0,False,False,0.160337,0.16031,2.70213e-05,0.195803,0.195776,0.166488,0.158685,0.160448,0.16042,True,0.41943698749999997,0.160337,0.16031,2.70213e-05,True,0.160439,0.160412,2.70291e-05,True,0.16045,0.160423,2.73621e-05,True,0.599362,0.50374,0.580641,0.650401,0.0920689,0.244312,0.18933,0.495641,0.00255431,0.00271206,1.2,7.76471e-10,,,,,,,,,,,,,,,,,,,
14,initial_eval,14,0,False,False,0.162273,0.161889,0.000383994,0.197795,0.1974,0.168985,0.160849,0.162384,0.161999,True,0.5126675,0.162273,0.161889,0.000383994,True,0.162375,0.161991,0.000384001,True,0.162386,0.162002,0.000384327,True,0.423736,0.592923,0.632225,0.63737,0.432503,0.537697,0.160092,0.684794,0.00250767,0.00266636,1.2,7.76471e-10,,,,,,,,,,,,,,,,,,,
15,initial_eval,15,0,False,False,0.159747,0.160225,-0.000478041,0.195196,0.195688,0.1655,0.158434,0.159857,0.160335,False,0.456683375,0.159747,0.160225,-0.000478041,False,0.159849,0.160327,-0.000478053,False,0.15986,0.160338,-0.000477809,False,0.618181,0.572318,0.6045,0.673188,0.185134,0.114966,0.123926,0.761254,0.00257324,0.00271744,1.2,7.76471e-10,,,,,,,,,,,,,,,,,,,
16,initial_eval,16,0,False,False,0.160119,0.160714,-0.000594671,0.195579,0.196191,0.16617,0.159175,0.16023,0.160824,False,0.30304525,0.160119,0.160714,-0.000594671,False,0.160221,0.160816,-0.000594695,False,0.160232,0.160827,-0.000594399,False,0.22759,0.408197,0.427667,0.31717,0.305109,0.211941,0.203672,0.323016,0.00256037,0.00270156,1.2,7.76471e-10,,,,,,,,,,,,,,,,,,,
17,initial_eval,17,0,False,False,0.161627,0.160323,0.00130314,0.19713,0.19579,0.16781,0.158726,0.161737,0.160434,True,0.489279125,0.161627,0.160323,0.00130314,True,0.161729,0.160425,0.00130318,True,0.16174,0.160437,0.0013035,True,0.640951,0.717267,0.770109,0.685167,0.108697,0.284195,0.178522,0.529325,0.00252939,0.00271117,7.76471e-10,1.2,,,,,,,,,,,,,,,,,,,
18,initial_eval,18,0,False,False,0.162308,0.162217,9.06477e-05,0.197831,0.197738,0.169128,0.161669,0.162419,0.162328,True,0.6504143750000001,0.162308,0.162217,9.06477e-05,True,0.16241,0.16232,9.06533e-05,True,0.162422,0.162331,9.08702e-05,True,0.396961,0.770109,0.770109,0.710292,0.629719,0.710614,0.445404,0.770107,0.00250505,0.00264945,1.2,7.76471e-10,,,,,,,,,,,,,,,,,,,
19,initial_eval,19,0,False,False,0.160689,0.161859,-0.0011709,0.196165,0.19737,0.167044,0.160607,0.160799,0.16197,False,0.531149375,0.160689,0.161859,-0.0011709,False,0.160791,0.161962,-0.00117093,False,0.160802,0.161973,-0.00117068,False,0.770109,0.613438,0.73708,0.770109,0.288301,0.178341,0.121709,0.770108,0.00254378,0.0026714,7.76471e-10,1.2,,,,,,,,,,,,,,,,,,,
20,initial_eval,20,0,False,False,0.161626,0.160316,0.00130912,0.197129,0.195783,0.167825,0.158688,0.161736,0.160427,True,0.5292479999999999,0.161626,0.160316,0.00130912,True,0.161728,0.160419,0.00130914,True,0.161739,0.16043,0.00130945,True,0.75562,0.482195,0.633557,0.770108,0.106731,0.619649,0.159538,0.706586,0.00252912,0.00271199,1.2,7.76471e-10,,,,,,,,,,,,,,,,,,,
21,initial_eval,21,0,False,False,0.1616,0.160289,0.00131091,0.197103,0.195754,0.167845,0.158624,0.161711,0.1604,True,0.3978995,0.1616,0.160289,0.00131091,True,0.161702,0.160391,0.00131093,True,0.161714,0.160402,0.00131125,True,0.618181,0.473595,0.444862,0.551244,0.122733,0.505327,0.128291,0.338963,0.00252875,0.00271336,7.76471e-10,1.2,,,,,,,,,,,,,,,,,,,
22,initial_eval,22,0,False,False,0.16228,0.162178,0.000101574,0.197802,0.197698,0.169121,0.161653,0.162391,0.162289,True,0.5125206250000001,0.16228,0.162178,0.000101574,True,0.162382,0.162281,0.000101582,True,0.162394,0.162292,0.000101796,True,0.572917,0.476237,0.588594,0.770113,0.330766,0.770113,0.260624,0.330801,0.00250518,0.00264978,1.2,7.76471e-10,,,,,,,,,,,,,,,,,,,
23,initial_eval,23,0,False,False,0.160671,0.161847,-0.00117556,0.196148,0.197357,0.166949,0.160659,0.160782,0.161957,False,0.49321425,0.160671,0.161847,-0.00117556,False,0.160773,0.161949,-0.00117559,False,0.160785,0.16196,-0.00117534,False,0.770113,0.473998,0.604056,0.755224,0.421596,0.138322,0.137644,0.644761,0.00254557,0.00267031,1.2,7.76471e-10,,,,,,,,,,,,,,,,,,,
24,initial_eval,24,0,False,False,0.162227,0.16149,0.000737511,0.197748,0.196989,0.168982,0.160606,0.162338,0.1616,True,0.35681999999999997,0.162227,0.16149,0.000737511,True,0.162329,0.161592,0.000737514,True,0.162341,0.161603,0.000737735,True,0.516789,0.262486,0.42709,0.516068,0.296973,0.399473,0.14388,0.291801,0.00250772,0.00267141,7.76471e-10,1.2,,,,,,,,,,,,,,,,,,,
25,initial_eval,25,0,False,False,0.162285,0.162183,0.000102053,0.197808,0.197703,0.16914,0.161672,0.162396,0.162294,True,0.560572625,0.162285,0.162183,0.000102053,True,0.162387,0.162285,0.00010206,True,0.162399,0.162297,0.000102273,True,0.50609,0.566316,0.698648,0.753646,0.289464,0.770115,0.251963,0.648339,0.00250482,0.0026494,1.2,7.76471e-10,,,,,,,,,,,,,,,,,,,
26,initial_eval,26,0,False,False,0.160687,0.161865,-0.00117742,0.196164,0.197375,0.167008,0.160906,0.160798,0.161975,False,0.560400125,0.160687,0.161865,-0.00117742,False,0.160789,0.161967,-0.00117746,False,0.160801,0.161978,-0.0011772,False,0.436849,0.770112,0.681453,0.713739,0.770113,0.151298,0.22418,0.735457,0.00254444,0.00266518,1.2,7.76471e-10,,,,,,,,,,,,,,,,,,,
