cycle,phase,pattern,label,reset_gradient,applied_update,target_out,other_out,margin,score0,score1,score0_cmp,score1_cmp,out0_cmp,out1_cmp,correct,mean_hidden_act,act0,act1,act2,act3,act4,act5,act6,act7,lose0,lose1,lead01,lead10,max_abs_hidden_delta_signal,max_abs_hidden_grad_signal,max_hidden_grad_node,post_update_margin,d_margin_after_update,max_abs_readout_weight_signed_delta,max_abs_output_bias_signed_delta,max_abs_readout_signed_delta,max_abs_hidden_signed_delta
0,initial_eval,0,0,False,False,0.127543,0.134611,-0.007068,0.143397,0.152076,0.00788514,0.00770799,0.127536,0.134604,False,0.0905694125,0.0587728,0.194423,0.049346,0.099239,0.0478419,0.0691867,0.111589,0.0941569,0.339399,0.339278,1.21433,1.21424,,,,,,,,,
1,initial_eval,1,1,False,False,0.135688,0.12841,0.00727768,0.150274,0.159827,0.0284345,0.0282743,0.128403,0.13568,True,0.07119832499999999,0.0629245,0.129433,-3.32813e-26,0.1868,0.0107474,0.0814975,0.04358,0.0546042,0.339602,0.339371,1.20386,1.20372,,,,,,,,,
2,initial_eval,2,1,False,False,0.137389,0.130804,0.00658479,0.142621,0.150384,0.0118544,0.0117627,0.130797,0.137381,True,0.096778775,0.101403,0.0690149,0.150536,0.0421659,0.084206,0.0846074,0.121207,0.12109,0.341442,0.341417,1.19345,1.19326,,,,,,,,,
3,initial_eval,3,0,False,False,0.131512,0.138218,-0.00670622,0.145734,0.153742,0.00818718,0.00803682,0.131505,0.13821,False,0.09145946249999999,0.177598,0.0626052,0.0967103,0.0976938,0.0551307,0.112826,0.07512,0.0539917,0.339947,0.339874,1.18312,1.18288,,,,,,,,,
4,train,0,0,True,True,0.128787,0.135701,-0.00691319,0.143396,0.152076,0.00788507,0.00770791,0.12878,0.135693,False,0.09056831250000001,0.0587714,0.194422,0.0493447,0.099237,0.0478408,0.0691852,0.11159,0.0941554,0.339441,0.339319,0.878485,0.927907,7.33646e-09,7.26205e-07,0.125651,-0.00653331,0.000379883,0.165284,3.6361e-06,0.165284,1.03943e-05
5,train,1,1,True,True,0.136053,0.128974,0.00707852,0.150872,0.159831,0.0285551,0.0281875,0.128967,0.136045,True,0.07119273749999999,0.062923,0.1294,-6.42629e-27,0.186798,0.0107464,0.0814954,0.0435765,0.0546026,0.339537,0.33944,0.878238,0.928292,6.31092e-06,6.12285e-06,0.118454,0.00783492,0.000756409,0.111373,3.42797e-06,0.111373,9.51731e-06
6,train,2,1,True,True,0.137042,0.130376,0.00666612,0.142685,0.150403,0.0118643,0.0117608,0.130369,0.137034,True,0.096741075,0.101402,0.068846,0.150535,0.0420381,0.0842051,0.0846064,0.121207,0.121089,0.341468,0.341454,0.880092,0.925643,1.51012e-08,7.49949e-09,0.0842534,0.00668622,2.01068e-05,2.37208e-07,3.43271e-06,3.43271e-06,4.16269e-06
7,train,3,0,True,True,0.131899,0.138564,-0.0066645,0.145787,0.153967,0.00816922,0.00802386,0.131892,0.138556,False,0.09142303750000001,0.177603,0.0624304,0.0966652,0.0976395,0.0551296,0.112825,0.0751032,0.0539884,0.339979,0.339879,0.881022,0.924398,1.0244e-07,9.94772e-08,0.109964,-0.00651448,0.00015002,0.0604689,3.62512e-06,0.0604689,7.58648e-06
8,final_eval,0,0,False,False,0.128922,0.135376,-0.00645398,0.145278,0.152241,0.0077612,0.00776365,0.128915,0.135369,False,0.0905591,0.0586868,0.194739,0.0492789,0.0989849,0.0478398,0.0691796,0.111619,0.0941448,0.339263,0.3393,1.14822,1.14821,,,,,,,,,
9,final_eval,1,1,False,False,0.136231,0.128466,0.00776492,0.150838,0.161553,0.0283631,0.0283475,0.128459,0.136224,True,0.0711998375,0.0628249,0.129394,-3.32326e-26,0.186994,0.0107454,0.0814868,0.0435622,0.0545914,0.339575,0.33922,1.1397,1.13967,,,,,,,,,
10,final_eval,2,1,False,False,0.137376,0.130799,0.00657749,0.142764,0.150387,0.0118681,0.0117598,0.130791,0.137369,True,0.0967512125,0.101499,0.0688444,0.150519,0.0420361,0.0842042,0.084604,0.12121,0.121093,0.34141,0.341414,1.13966,1.13966,,,,,,,,,
11,final_eval,3,0,False,False,0.131545,0.138148,-0.00660291,0.146258,0.153792,0.00812949,0.00803302,0.131538,0.13814,False,0.09149664999999998,0.178196,0.0624286,0.0966639,0.0976379,0.0551286,0.112829,0.0751023,0.0539869,0.339883,0.339847,1.13968,1.13966,,,,,,,,,
