cycle,phase,pattern,label,reset_gradient,applied_update,target_out,other_out,margin,score0,score1,score0_cmp,score1_cmp,out0_cmp,out1_cmp,correct,mean_hidden_act,target_out_2950ps,other_out_2950ps,margin_2950ps,correct_2950ps,act0,act1,act2,act3,lose0,lose1,lead01,lead10,bwd_signal,max_abs_output_delta_signal,max_output_delta_node,post_update_margin,d_margin_after_update,max_abs_readout_weight_signed_delta,max_abs_output_bias_signed_delta,max_abs_readout_signed_delta,max_abs_hidden_signed_delta
0,initial_eval,0,0,False,False,0.130224,0.132788,-0.00256325,0.164713,0.167351,0.000231107,0.000166391,0.130229,0.132792,False,0.5246405,0.130224,0.132788,-0.00256325,False,0.531747,0.513496,0.535893,0.517426,0.335549,0.33552,1.21847,1.21844,,,,,,,,,
1,initial_eval,1,0,False,False,0.135166,0.141428,-0.00626278,0.1698,0.176245,0.000227289,6.557e-05,0.135169,0.141432,False,0.5838829999999999,0.135166,0.141428,-0.00626278,False,0.699918,0.417568,0.496653,0.721393,0.335581,0.335544,1.2079,1.2078,,,,,,,,,
2,initial_eval,2,0,False,False,0.151546,0.146046,0.00549999,0.186689,0.18101,-7.48641e-05,4.68452e-06,0.15155,0.14605,True,0.6401345,0.151546,0.146046,0.00549999,True,0.421678,0.770074,0.770073,0.598713,0.335606,0.335579,1.19724,1.19724,,,,,,,,,
3,initial_eval,3,0,False,False,0.156282,0.156278,3.16248e-06,0.191529,0.191525,-0.000183953,-0.000201409,0.156284,0.156281,True,0.7129907499999999,0.156282,0.156278,3.16248e-06,True,0.692519,0.690144,0.72244,0.74686,0.335651,0.33562,1.18668,1.18665,,,,,,,,,
4,initial_eval,4,0,False,False,0.154993,0.150573,0.00442055,0.190225,0.18565,-0.000168871,-0.000105835,0.154997,0.150576,True,0.674488,0.154993,0.150573,0.00442055,True,0.516261,0.744647,0.770074,0.66697,0.335627,0.335599,1.17623,1.17626,,,,,,,,,
5,initial_eval,5,0,False,False,0.114049,0.117108,-0.0030585,0.14806,0.151209,0.000959686,0.000876646,0.114054,0.117112,False,0.438589,0.114049,0.117108,-0.0030585,False,0.350727,0.486348,0.453581,0.4637,0.335563,0.335531,1.16616,1.16621,,,,,,,,,
6,initial_eval,6,0,False,False,0.143763,0.143343,0.000420058,0.178647,0.178215,-2.0168e-05,-2.87866e-05,0.143766,0.143346,True,0.5992369999999999,0.143763,0.143343,0.000420058,True,0.674624,0.525695,0.662635,0.533994,0.335589,0.335562,1.15597,1.15598,,,,,,,,,
7,initial_eval,7,0,False,False,0.114018,0.115279,-0.00126025,0.148028,0.149326,0.00103398,0.000989945,0.114023,0.115283,False,0.43275399999999997,0.114018,0.115279,-0.00126025,False,0.341263,0.434023,0.518626,0.437104,0.335569,0.335538,1.14612,1.14614,,,,,,,,,
8,initial_eval,8,0,False,False,0.140109,0.139832,0.000277631,0.174887,0.174601,5.00974e-05,4.75093e-05,0.140113,0.139835,True,0.58055175,0.140109,0.139832,0.000277631,True,0.532435,0.498079,0.65046,0.641233,0.33558,0.335553,1.13942,1.13944,,,,,,,,,
9,initial_eval,9,0,False,False,0.15098,0.14494,0.00604007,0.186096,0.179853,-0.000119371,-1.72772e-05,0.150984,0.144943,True,0.632647,0.15098,0.14494,0.00604007,True,0.483452,0.711219,0.770073,0.565844,0.335602,0.335577,1.13954,1.13961,,,,,,,,,
10,initial_eval,10,0,False,False,0.11283,0.116111,-0.00328086,0.146805,0.150183,0.000799092,0.000711731,0.112836,0.116116,False,0.43758925,0.11283,0.116111,-0.00328086,False,0.4312,0.376196,0.445481,0.49748,0.335521,0.33549,1.13993,1.13993,,,,,,,,,
11,initial_eval,11,0,False,False,0.135372,0.141579,-0.00620675,0.170012,0.1764,0.000170734,3.28997e-05,0.135376,0.141582,False,0.5810897500000001,0.135372,0.141579,-0.00620675,False,0.668544,0.46683,0.481908,0.707077,0.335579,0.335544,1.13947,1.13942,,,,,,,,,
12,initial_eval,12,0,False,False,0.154409,0.158595,-0.00418596,0.189596,0.193906,-0.000136209,-0.000235156,0.154412,0.158598,False,0.71808275,0.154409,0.158595,-0.00418596,False,0.720509,0.728816,0.652934,0.770072,0.335655,0.335621,1.13945,1.13946,,,,,,,,,
13,initial_eval,13,0,False,False,0.125717,0.129041,-0.00332382,0.160073,0.163495,0.000324997,0.00024636,0.125722,0.129045,False,0.50175075,0.125717,0.129041,-0.00332382,False,0.50324,0.525332,0.489959,0.488472,0.335535,0.335506,1.13993,1.13993,,,,,,,,,
14,initial_eval,14,0,False,False,0.157279,0.15606,0.0012188,0.192564,0.191299,-0.000162254,-0.000161363,0.157282,0.156062,True,0.7426807500000001,0.157279,0.15606,0.0012188,True,0.770074,0.660504,0.770071,0.770074,0.335664,0.335633,1.13933,1.13938,,,,,,,,,
15,initial_eval,15,0,False,False,0.14029,0.144335,-0.00404445,0.175074,0.179236,5.39978e-05,-4.09549e-05,0.140294,0.144338,False,0.6019209999999999,0.14029,0.144335,-0.00404445,False,0.684604,0.467712,0.570865,0.684503,0.335593,0.33556,1.13982,1.13976,,,,,,,,,
16,initial_eval,16,1,False,False,0.112773,0.110795,0.00197782,0.144709,0.146745,0.00428592,0.0042765,0.1108,0.112777,True,0.2865836,0.112773,0.110795,0.00197782,True,0.0999604,0.412792,0.449507,0.184075,0.336053,0.336029,1.13993,1.13993,,,,,,,,,
17,initial_eval,17,1,False,False,0.142152,0.152986,-0.0108343,0.188139,0.176989,0.00252158,0.00280086,0.152989,0.142155,False,0.42697925000000003,0.142152,0.152986,-0.0108343,False,0.091242,0.667252,0.734517,0.214906,0.336027,0.336019,1.13924,1.13939,,,,,,,,,
18,initial_eval,18,1,False,False,0.119446,0.117599,0.00184644,0.151715,0.153616,0.0030141,0.00299694,0.117604,0.11945,True,0.30445275,0.119446,0.117599,0.00184644,True,0.08,0.474305,0.468278,0.195228,0.335953,0.335928,1.13993,1.13991,,,,,,,,,
19,initial_eval,19,1,False,False,0.0830151,0.078228,0.00478705,0.111152,0.116085,0.00969733,0.00966187,0.0782338,0.0830206,True,0.21676325,0.0830151,0.078228,0.00478705,True,0.175672,0.226021,0.238658,0.226702,0.337964,0.337911,1.13993,1.13993,,,,,,,,,
20,initial_eval,20,1,False,False,0.0960954,0.0904483,0.00564711,0.123749,0.129567,0.00697188,0.00682011,0.0904538,0.0961006,True,0.26045225,0.0960954,0.0904483,0.00564711,True,0.299048,0.163159,0.184964,0.394638,0.336787,0.336717,1.13967,1.13965,,,,,,,,,
21,initial_eval,21,1,False,False,0.133542,0.133789,-0.000246816,0.168382,0.168128,0.00315354,0.0031965,0.133793,0.133546,False,0.31174452500000005,0.133542,0.133789,-0.000246816,False,0.0914141,0.50706,0.535796,0.112708,0.335876,0.335857,1.13928,1.13933,,,,,,,,,
22,initial_eval,22,1,False,False,0.0912626,0.08563,0.0056326,0.118783,0.124587,0.00866862,0.00855876,0.0856356,0.0912679,True,0.22886499999999999,0.0912626,0.08563,0.0056326,True,0.173148,0.240816,0.156831,0.344665,0.337397,0.337313,1.13993,1.13993,,,,,,,,,
23,initial_eval,23,1,False,False,0.0876551,0.082635,0.00502011,0.115696,0.120869,0.00863616,0.00856614,0.0826407,0.0876606,True,0.23050825000000003,0.0876551,0.082635,0.00502011,True,0.264519,0.145354,0.235699,0.276461,0.33741,0.337354,1.13983,1.13982,,,,,,,,,
24,initial_eval,24,1,False,False,0.148231,0.153065,-0.00483477,0.18822,0.183245,0.00322532,0.00339833,0.153068,0.148234,False,0.37532475000000004,0.148231,0.153065,-0.00483477,False,0.101968,0.636781,0.649199,0.113351,0.335966,0.335952,1.13898,1.13908,,,,,,,,,
25,initial_eval,25,1,False,False,0.111953,0.108944,0.00300899,0.142801,0.145899,0.00384078,0.00392061,0.108948,0.111957,True,0.22686699999999999,0.111953,0.108944,0.00300899,True,0.100075,0.331969,0.395424,0.08,0.335986,0.336,1.13993,1.13993,,,,,,,,,
26,initial_eval,26,1,False,False,0.133697,0.133735,-3.87617e-05,0.168327,0.168286,0.00288595,0.00291624,0.133739,0.1337,False,0.31912324999999997,0.133697,0.133735,-3.87617e-05,False,0.08,0.524397,0.534777,0.137319,0.335931,0.335912,1.13945,1.13948,,,,,,,,,
27,initial_eval,27,1,False,False,0.104886,0.0984373,0.00644854,0.131977,0.138619,0.0074674,0.00730727,0.0984422,0.10489,True,0.1551275,0.104886,0.0984373,0.00644854,True,0.201368,0.08,0.08,0.259142,0.337462,0.337388,1.13993,1.13993,,,,,,,,,
28,initial_eval,28,1,False,False,0.103758,0.0981018,0.00565618,0.131635,0.137461,0.0053677,0.00524348,0.0981071,0.103763,True,0.2961595,0.103758,0.0981018,0.00565618,True,0.154622,0.361194,0.214988,0.453834,0.336335,0.336291,1.13977,1.13976,,,,,,,,,
29,initial_eval,29,1,False,False,0.1402,0.14204,-0.00183965,0.176874,0.17498,0.00348905,0.00356907,0.142043,0.140204,False,0.3406239999999999,0.1402,0.14204,-0.00183965,False,0.101853,0.563537,0.583379,0.113727,0.335947,0.335928,1.13925,1.13933,,,,,,,,,
30,initial_eval,30,1,False,False,0.095031,0.0886131,0.00641791,0.121853,0.128466,0.00995168,0.00988547,0.0886184,0.095036,True,0.16665275000000002,0.095031,0.0886131,0.00641791,True,0.08,0.214809,0.209604,0.162198,0.338311,0.338255,1.13993,1.13993,,,,,,,,,
31,initial_eval,31,1,False,False,0.117575,0.113528,0.004047,0.147523,0.15169,0.00470232,0.00475393,0.113532,0.117579,True,0.29591825,0.117575,0.113528,0.004047,True,0.106901,0.507163,0.389555,0.180054,0.336138,0.336145,1.1395,1.13951,,,,,,,,,
32,train,0,0,True,True,0.130203,0.132765,-0.00256144,0.164691,0.167328,0.000231347,0.00016666,0.130208,0.132769,False,0.5246405,0.130203,0.132765,-0.00256144,False,0.531747,0.513496,0.535893,0.517426,0.335591,0.335562,0.564714,1.19999,0.0288829,0.0985989,0.0994616,-0.00256138,6.02509e-08,5.4077e-07,6.54157e-07,6.54157e-07,1.34023e-06
33,train,16,1,True,True,0.112757,0.110781,0.00197601,0.144694,0.146728,0.00428621,0.00427687,0.110786,0.112761,True,0.2865836,0.112757,0.110781,0.00197601,True,0.0999604,0.412792,0.449507,0.184075,0.336095,0.336071,1.2,0.244152,0.0264501,0.0772454,0.0781226,0.00197586,-1.53397e-07,5.40766e-07,6.54152e-07,6.54152e-07,1.34022e-06
34,train,1,0,True,True,0.135129,0.141393,-0.00626367,0.169762,0.176209,0.000227998,6.62022e-05,0.135133,0.141396,False,0.5838829999999999,0.135129,0.141393,-0.00626367,False,0.699918,0.417568,0.496653,0.721393,0.335623,0.335586,0.471191,1.2,0.0259329,0.106981,0.107842,-0.00626378,-1.08442e-07,5.40762e-07,6.54147e-07,6.54147e-07,1.34022e-06
35,train,17,1,True,True,0.142124,0.152966,-0.0108411,0.188118,0.176961,0.00252195,0.00280139,0.152968,0.142128,False,0.42697925000000003,0.142124,0.152966,-0.0108411,False,0.091242,0.667252,0.734517,0.214906,0.336069,0.336061,1.2,0.421186,0.0258201,0.118209,0.119092,-0.0108419,-7.40461e-07,5.40757e-07,6.54142e-07,6.54142e-07,1.34021e-06
36,train,2,0,True,True,0.151508,0.146003,0.0055048,0.18665,0.180966,-7.41941e-05,5.24684e-06,0.151513,0.146007,True,0.6401345,0.151508,0.146003,0.0055048,True,0.421678,0.770074,0.770073,0.598713,0.335649,0.335621,1.19999,0.557579,1.04498,0.11143,0.112322,0.0673312,0.0618264,0.118032,0.00240628,0.118032,1.34021e-06
37,train,18,1,True,True,0.0905447,0.130554,-0.0400088,0.165051,0.123847,0.00266261,0.00583633,0.130557,0.0905502,False,0.30445275,0.0905447,0.130554,-0.0400088,False,0.08,0.474305,0.468278,0.195228,0.335762,0.336784,0.000164672,1.2,1.04498,0.0964427,0.0973142,-0.026441,0.0135678,0.0825425,0.00176788,0.0825425,1.3402e-06
38,train,3,0,True,True,0.141273,0.0844033,0.0568694,0.176084,0.117516,-2.56768e-05,0.00390221,0.141276,0.0844093,True,0.7129907499999999,0.141273,0.0844033,0.0568694,True,0.692519,0.690144,0.72244,0.74686,0.335468,0.336328,-3.31023e-06,1.2,0.0189419,0.0516661,0.0525355,0.0568727,3.33552e-06,9.5776e-07,6.51457e-07,9.5776e-07,1.3402e-06
39,train,19,1,True,True,0.0820388,0.0821673,-0.000128517,0.115214,0.115079,0.00981615,0.0103348,0.0821731,0.0820444,False,0.21676325,0.0820388,0.0821673,-0.000128517,False,0.175672,0.226021,0.238658,0.226702,0.337712,0.338178,3.1153e-07,1.2,1.04498,0.0495254,0.0503667,0.000297361,0.000425879,0.00810203,0.00053842,0.00810203,1.34019e-06
40,train,4,0,True,True,0.12785,0.0857358,0.0421144,0.162266,0.118888,0.000273738,0.00396725,0.127854,0.0857416,True,0.674488,0.12785,0.0857358,0.0421144,True,0.516261,0.744647,0.770074,0.66697,0.335452,0.336296,-1.93131e-05,1.2,0.018388,0.0529886,0.0538276,0.0421169,2.50522e-06,8.81761e-07,6.47369e-07,8.81761e-07,1.34019e-06
41,train,20,1,True,True,0.0862828,0.0942303,-0.00794749,0.127646,0.119455,0.00712749,0.00843918,0.0942357,0.0862884,False,0.26045225,0.0862828,0.0942303,-0.00794749,False,0.299048,0.163159,0.184964,0.394638,0.336624,0.337264,-4.0126e-05,1.2,1.04498,0.0612243,0.0620665,-0.00544815,0.00249934,0.0185615,0.000684501,0.0185615,1.34018e-06
42,train,5,0,True,True,0.109094,0.0910742,0.0180198,0.142957,0.124394,0.001353,0.00418156,0.109099,0.0910799,True,0.438589,0.109094,0.0910742,0.0180198,True,0.350727,0.486348,0.453581,0.4637,0.335458,0.33614,0.000272715,1.2,0.0183347,0.0581585,0.0590054,0.0180211,1.3448e-06,7.01379e-07,6.41564e-07,7.01379e-07,1.34018e-06
43,train,21,1,True,True,0.103722,0.121343,-0.0176208,0.15557,0.137422,0.00372282,0.00632103,0.121347,0.103727,False,0.31174452500000005,0.103722,0.121343,-0.0176208,False,0.0914141,0.50706,0.535796,0.112708,0.335763,0.336515,0.127979,1.2,1.04498,0.0875268,0.088373,0.019173,0.0367938,0.0594235,0.00137631,0.0594235,1.34017e-06
44,train,6,0,True,True,0.103426,0.0941314,0.00929474,0.13712,0.127543,0.00301767,0.00394745,0.103431,0.0941369,True,0.5992369999999999,0.103426,0.0941314,0.00929474,True,0.674624,0.525695,0.662635,0.533994,0.335948,0.336027,0.016199,1.2,0.018107,0.0611142,0.0619706,0.00929587,1.12541e-06,6.99252e-07,6.44191e-07,6.99252e-07,1.34017e-06
45,train,22,1,True,True,0.0893439,0.0842362,0.00510769,0.117347,0.122609,0.00947796,0.0096686,0.0842419,0.0893493,True,0.22886499999999999,0.0893439,0.0842362,0.00510769,True,0.173148,0.240816,0.156831,0.344665,0.337469,0.337417,1.2,-4.36777e-06,0.0132123,0.0515246,0.0523731,0.00510769,-7.78186e-11,6.99247e-07,6.44186e-07,6.99247e-07,1.34016e-06
46,train,7,0,True,True,0.0896811,0.0961138,-0.00643263,0.122959,0.129586,0.00404651,0.00428711,0.0896869,0.0961191,False,0.43275399999999997,0.0896811,0.0961138,-0.00643263,False,0.341263,0.434023,0.518626,0.437104,0.336035,0.335985,1.2,8.67984e-05,1.04432,0.0630524,0.0638935,0.00393708,0.0103697,0.0207313,0.000984291,0.0207313,1.34016e-06
47,train,23,1,True,True,0.0846462,0.0858022,-0.00115595,0.118961,0.117768,0.00904689,0.010212,0.0858078,0.0846518,False,0.23050825000000003,0.0846462,0.0858022,-0.00115595,False,0.264519,0.145354,0.235699,0.276461,0.337176,0.33771,1.2,-3.17813e-05,0.0183454,0.0530483,0.0538918,-0.00115696,-1.01359e-06,8.89392e-07,6.36594e-07,8.89392e-07,1.34015e-06
48,train,8,0,True,True,0.101075,0.0799528,0.0211223,0.134698,0.112929,0.00315489,0.00642581,0.10108,0.0799587,True,0.58055175,0.101075,0.0799528,0.0211223,True,0.532435,0.498079,0.65046,0.641233,0.335876,0.336783,3.02612e-07,1.2,0.0131862,0.047377,0.0482193,0.0211256,3.29122e-06,8.89385e-07,6.36589e-07,8.89385e-07,1.34014e-06
49,train,24,1,True,True,0.10336,0.0854757,0.0178847,0.118619,0.137049,0.00877077,0.00842126,0.0854812,0.103365,True,0.37532475000000004,0.10336,0.0854757,0.0178847,True,0.101968,0.636781,0.649199,0.113351,0.337217,0.336958,1.2,-1.8925e-05,0.0125228,0.0527371,0.0535751,0.017887,2.29482e-06,8.89378e-07,6.36584e-07,8.89378e-07,1.34014e-06
50,train,9,0,True,True,0.0967589,0.0802138,0.0165451,0.130249,0.113197,0.00327528,0.00639468,0.0967643,0.0802197,True,0.632647,0.0967589,0.0802138,0.0165451,True,0.483452,0.711219,0.770073,0.565844,0.335911,0.336792,3.0262e-07,1.2,0.0126836,0.0476303,0.0484723,0.0165476,2.45936e-06,8.89371e-07,6.36578e-07,8.89371e-07,1.34013e-06
51,train,25,1,True,True,0.107096,0.0968378,0.0102585,0.130331,0.140897,0.00667535,0.00730042,0.096843,0.107101,True,0.22686699999999999,0.107096,0.0968378,0.0102585,True,0.100075,0.331969,0.395424,0.08,0.336617,0.336781,1.2,0.0468742,0.0161898,0.0637576,0.0645957,0.0102591,5.77607e-07,8.89364e-07,6.36573e-07,8.89364e-07,1.34013e-06
52,train,10,0,True,True,0.0997251,0.0820854,0.0176397,0.133307,0.115129,0.00323267,0.0065497,0.0997305,0.0820913,True,0.43758925,0.0997251,0.0820854,0.0176397,True,0.4312,0.376196,0.445481,0.49748,0.335778,0.336693,3.09877e-07,1.2,0.0115927,0.0494369,0.0502874,0.017642,2.25625e-06,8.89356e-07,6.36568e-07,8.89356e-07,1.34012e-06
53,train,26,1,True,True,0.104042,0.0871836,0.0168587,0.120381,0.137751,0.00773841,0.00750532,0.0871891,0.104047,True,0.31912324999999997,0.104042,0.0871836,0.0168587,True,0.08,0.524397,0.534777,0.137319,0.337061,0.336842,1.2,-4.2885e-05,0.0126788,0.054392,0.0552315,0.0168604,1.66383e-06,8.89349e-07,6.36563e-07,8.89349e-07,1.34012e-06
54,train,11,0,True,True,0.106672,0.0785256,0.0281464,0.140463,0.111456,0.00305424,0.00650498,0.106677,0.0785315,True,0.5810897500000001,0.106672,0.0785256,0.0281464,True,0.668544,0.46683,0.481908,0.707077,0.335867,0.336815,3.02603e-07,1.2,0.0126916,0.045992,0.0468353,0.0281506,4.1722e-06,8.89342e-07,6.36558e-07,8.89342e-07,1.34011e-06
55,train,27,1,True,True,0.0984287,0.0985195,-9.07647e-05,0.132063,0.131968,0.00772139,0.0084248,0.0985245,0.0984336,False,0.1551275,0.0984287,0.0985195,-9.07647e-05,False,0.201368,0.08,0.08,0.259142,0.337219,0.337702,0.108145,1.2,1.04498,0.06539,0.0662269,0.0016574,0.00174817,0.0233607,0.00102177,0.0233607,1.34011e-06
56,train,12,0,True,True,0.0916983,0.0771372,0.014561,0.125034,0.110019,0.00399082,0.00665946,0.0917038,0.077143,True,0.71808275,0.0916983,0.0771372,0.014561,True,0.720509,0.728816,0.652934,0.770072,0.336134,0.336913,3.02631e-07,1.2,0.0180575,0.0446384,0.0454888,0.0145653,4.28651e-06,6.65059e-07,6.35596e-07,6.65059e-07,1.3401e-06
