cycle,phase,pattern,label,reset_gradient,applied_update,target_out,other_out,margin,score0,score1,score0_cmp,score1_cmp,out0_cmp,out1_cmp,correct,mean_hidden_act,act0,act1,act2,act3,act4,act5,act6,act7,lose0,lose1,lead01,lead10,max_abs_hidden_delta_signal,max_abs_hidden_grad_signal,max_hidden_grad_node,max_abs_hidden_apply_gate_signal,max_hidden_apply_gate_node,post_update_margin,d_margin_after_update,max_abs_readout_weight_signed_delta,max_abs_output_bias_signed_delta,max_abs_readout_signed_delta,max_abs_hidden_signed_delta
0,initial_eval,0,0,False,False,0.127543,0.134611,-0.007068,0.143397,0.152076,0.00788511,0.00770796,0.127536,0.134603,False,0.0905694125,0.0587728,0.194423,0.049346,0.099239,0.0478419,0.0691867,0.111589,0.0941569,0.339399,0.339278,1.15882,1.15874,,,,,,,,,,,
1,initial_eval,1,1,False,False,0.135686,0.128408,0.007278,0.150274,0.159827,0.0284345,0.0282743,0.128401,0.135679,True,0.07119829999999999,0.0629245,0.129433,-3.32832e-26,0.1868,0.0107474,0.0814974,0.0435799,0.0546042,0.339602,0.339371,1.14879,1.14865,,,,,,,,,,,
2,initial_eval,2,1,False,False,0.137389,0.130804,0.00658479,0.142621,0.150384,0.0118544,0.0117627,0.130797,0.137381,True,0.096778775,0.101403,0.0690149,0.150536,0.0421659,0.084206,0.0846074,0.121207,0.12109,0.341442,0.341417,1.13967,1.13966,,,,,,,,,,,
3,initial_eval,3,0,False,False,0.131511,0.138217,-0.00670617,0.145734,0.153742,0.00818712,0.00803675,0.131504,0.13821,False,0.09145944999999998,0.177598,0.0626052,0.0967103,0.0976938,0.0551306,0.112826,0.07512,0.0539917,0.339947,0.339874,1.13968,1.13966,,,,,,,,,,,
4,train,0,0,True,True,0.128787,0.135701,-0.00691319,0.143396,0.152076,0.00788503,0.00770788,0.12878,0.135693,False,0.0905683,0.0587714,0.194422,0.0493446,0.099237,0.0478408,0.0691852,0.11159,0.0941554,0.339441,0.339319,0.878485,0.927908,7.35709e-09,8.04985e-09,0.168085,1.09469,1.14091,-0.00635852,0.000554673,0.165343,3.63609e-06,0.165343,0.0390977
5,train,1,1,True,True,0.135859,0.128658,0.00720051,0.152589,0.161491,0.00687368,0.00663695,0.128651,0.135851,True,0.067853785,0.0517342,0.124362,-1.45484e-26,0.191393,0.00414928,0.0625563,0.0663121,0.0423234,0.338002,0.337937,0.87774,0.929024,7.77148e-09,9.74938e-09,0.164115,0.928271,1.19861,0.00808415,0.000883645,0.142443,3.42498e-06,0.142443,0.0460777
6,train,2,1,True,True,0.142363,0.13548,0.0068826,0.15867,0.166316,0.00919276,0.00906035,0.135473,0.142355,True,0.08310637499999998,0.0825153,0.0710838,0.126076,0.0228705,0.0711103,0.0703141,0.117257,0.103624,0.340158,0.34016,0.882513,0.922492,7.66274e-09,9.38651e-09,0.0789739,1.03372,1.19861,0.00690864,2.60383e-05,2.72215e-07,3.44066e-06,3.44066e-06,0.0484043
7,train,3,0,True,True,0.130468,0.137105,-0.00663685,0.150127,0.157731,0.00802096,0.00790047,0.130461,0.137097,False,0.0756246125,0.193082,0.0323981,0.0759465,0.0861699,0.0239978,0.110326,0.0715104,0.0115662,0.338526,0.338468,0.880217,0.925469,1.76424e-08,2.12335e-08,0.16633,1.10616,1.19861,-0.00638232,0.000254528,0.155343,3.62915e-06,0.155343,0.0330386
8,final_eval,0,0,False,False,0.120509,0.126605,-0.00609611,0.1395,0.144252,0.0109251,0.0107363,0.120502,0.126598,False,0.0709995725,0.00715418,0.194924,0.027668,0.0338783,0.038958,0.0141918,0.223289,0.0279333,0.337184,0.337248,1.14841,1.1484,,,,,,,,,,,
9,final_eval,1,1,False,False,0.137372,0.129697,0.00767553,0.151932,0.162923,0.0127028,0.0123534,0.12969,0.137365,True,0.0556242875,0.0137194,0.113203,-1.80293e-26,0.178688,-2.58495e-26,0.0157369,0.123647,-1.82101e-26,0.338507,0.338289,1.13961,1.13958,,,,,,,,,,,
10,final_eval,2,1,False,False,0.150523,0.14341,0.00711299,0.176608,0.184031,0.00356972,0.00332951,0.143402,0.150515,True,0.059130712499999995,0.0572678,0.0435241,0.134836,-1.48969e-25,0.039408,0.0547182,0.0833693,0.0599223,0.337308,0.337324,1.13953,1.13952,,,,,,,,,,,
11,final_eval,3,0,False,False,0.130275,0.136624,-0.00634975,0.149717,0.15586,0.00836125,0.0083733,0.130267,0.136617,False,0.07035102125,0.185915,0.0213666,0.0546679,0.0908792,0.00877727,0.141621,0.0595812,-4.10911e-26,0.338322,0.338396,1.13981,1.1398,,,,,,,,,,,
