cycle,phase,pattern,label,reset_gradient,applied_update,target_out,other_out,margin,correct,mean_hidden_act,act0,act1,act2,act3,act4,act5,act6,act7,max_abs_hidden_delta_signal,post_update_margin,d_margin_after_update,max_abs_readout_weight_signed_delta,max_abs_output_bias_signed_delta,max_abs_readout_signed_delta,max_abs_hidden_signed_delta
0,initial_eval,0,0,False,False,0.127309,0.134425,-0.00711635,False,0.0905693875,0.0587727,0.194423,0.049346,0.099239,0.0478419,0.0691867,0.111589,0.0941568,,,,,,,
1,initial_eval,1,1,False,False,0.136439,0.129225,0.00721374,True,0.0711982875,0.0629244,0.129433,-3.32793e-26,0.1868,0.0107476,0.0814973,0.0435799,0.0546041,,,,,,,
2,initial_eval,2,1,False,False,0.137404,0.130859,0.00654515,True,0.09677878749999999,0.101403,0.0690149,0.150536,0.042166,0.084206,0.0846074,0.121207,0.12109,,,,,,,
3,initial_eval,3,0,False,False,0.132192,0.138888,-0.00669651,False,0.091459375,0.177598,0.0626051,0.0967102,0.0976937,0.0551305,0.112826,0.0751199,0.0539916,,,,,,,
4,train,0,0,True,True,0.12874,0.135621,-0.00688053,False,0.0905683,0.0587714,0.194422,0.0493447,0.099237,0.0478408,0.0691851,0.11159,0.0941554,4.84417e-173,-0.00711606,-0.000235522,1.11738e-07,1.35199e-07,1.35199e-07,5.53197e-07
5,train,1,1,True,True,0.13639,0.129272,0.00711756,True,0.07119706249999999,0.062923,0.129432,-3.35918e-26,0.186798,0.0107465,0.0814953,0.0435792,0.0546025,2.2718e-114,0.00736262,0.000245061,1.11738e-07,1.35198e-07,1.35198e-07,5.53195e-07
6,train,2,1,True,True,0.13749,0.130835,0.00665508,True,0.0967776125,0.101402,0.0690132,0.150535,0.0421644,0.084205,0.0846063,0.121206,0.121089,1.99642e-114,0.00665498,-1.08378e-07,1.11738e-07,1.35198e-07,1.35198e-07,5.53195e-07
7,train,3,0,True,True,0.132154,0.138746,-0.00659149,False,0.09145845,0.177599,0.0626033,0.0967091,0.0976923,0.0551296,0.112825,0.0751191,0.0539902,8.9359e-144,-0.00675942,-0.000167933,1.11738e-07,1.35198e-07,1.35198e-07,5.53194e-07
8,train,0,0,True,True,0.12874,0.13562,-0.00687972,False,0.09056705,0.05877,0.194421,0.0493433,0.0992349,0.0478397,0.0691836,0.11159,0.0941539,3.99967e-173,-0.00711602,-0.000236299,1.11737e-07,1.35198e-07,1.35198e-07,5.53193e-07
9,train,1,1,True,True,0.136388,0.129271,0.00711754,True,0.0711958125,0.0629215,0.12943,-3.35907e-26,0.186797,0.0107455,0.0814932,0.0435784,0.0546009,1.79023e-202,0.0073626,0.00024506,1.11737e-07,1.35197e-07,1.35197e-07,5.53192e-07
10,train,2,1,True,True,0.137489,0.130834,0.00665505,True,0.09677635,0.101401,0.0690115,0.150533,0.0421629,0.0842041,0.0846053,0.121205,0.121088,1.70464e-114,0.00656659,-8.84635e-05,1.11737e-07,1.35197e-07,1.35197e-07,5.53191e-07
11,train,3,0,True,True,0.132153,0.138744,-0.00659144,False,0.09145733749999999,0.177599,0.0626015,0.096708,0.0976909,0.0551286,0.112824,0.0751181,0.0539886,7.62988e-144,-0.00675937,-0.000167931,1.11737e-07,1.35197e-07,1.35197e-07,5.5319e-07
12,train,0,0,True,True,0.128739,0.135618,-0.00687969,False,0.09056595,0.0587686,0.19442,0.049342,0.0992329,0.0478387,0.069182,0.111591,0.0941524,3.4151e-173,-0.00711599,-0.0002363,1.11736e-07,1.35197e-07,1.35197e-07,5.5319e-07
13,train,1,1,True,True,0.136387,0.12927,0.00711751,True,0.07119464999999998,0.06292,0.129429,-3.35899e-26,0.186796,0.0107444,0.081491,0.0435776,0.0545992,2.89323e-114,0.00736257,0.000245059,1.11736e-07,1.35197e-07,1.35197e-07,5.53188e-07
14,train,2,1,True,True,0.137487,0.130832,0.00665502,True,0.09677521249999999,0.1014,0.0690099,0.150532,0.0421614,0.0842031,0.0846043,0.121204,0.121087,3.12957e-114,0.00656655,-8.84666e-05,1.11736e-07,1.35196e-07,1.35196e-07,5.53187e-07
15,train,3,0,True,True,0.132151,0.138743,-0.00659139,False,0.09145634999999999,0.1776,0.0625997,0.0967068,0.0976894,0.0551276,0.112823,0.0751172,0.0539871,1.40078e-143,-0.00675932,-0.000167929,1.11736e-07,1.35196e-07,1.35196e-07,5.53186e-07
16,train,0,0,True,True,0.128737,0.135617,-0.00687965,False,0.09056470000000001,0.0587672,0.194419,0.0493407,0.0992308,0.0478376,0.0691804,0.111591,0.0941509,6.26981e-173,-0.00711595,-0.000236301,1.11736e-07,1.35196e-07,1.35196e-07,5.53186e-07
17,train,1,1,True,True,0.136386,0.129268,0.00711748,True,0.07119351249999999,0.0629185,0.129428,-3.35888e-26,0.186795,0.0107434,0.0814889,0.0435768,0.0545975,2.80634e-202,0.00736254,0.000245059,1.11736e-07,1.35196e-07,1.35196e-07,5.53185e-07
18,train,2,1,True,True,0.137486,0.130831,0.00665497,True,0.09677408750000002,0.101399,0.0690083,0.150531,0.0421599,0.0842022,0.0846033,0.121203,0.121086,4.32649e-114,0.00656652,-8.84506e-05,1.11736e-07,1.35195e-07,1.35195e-07,5.53184e-07
19,train,3,0,True,True,0.13215,0.138741,-0.00659135,False,0.0914552125,0.1776,0.0625978,0.0967056,0.0976879,0.0551266,0.112822,0.0751162,0.0539856,1.93652e-143,-0.00675927,-0.000167927,1.11735e-07,1.35195e-07,1.35195e-07,5.53183e-07
20,train,0,0,True,True,0.128736,0.135616,-0.00687961,False,0.09056358750000001,0.0587658,0.194418,0.0493394,0.0992288,0.0478365,0.0691788,0.111592,0.0941494,8.66775e-173,-0.00711592,-0.000236302,1.11735e-07,1.35195e-07,1.35195e-07,5.53183e-07
21,train,1,1,True,True,0.136385,0.129267,0.00711746,True,0.07119225,0.062917,0.129426,-3.35879e-26,0.186794,0.0107424,0.0814867,0.043576,0.0545959,2.14318e-114,0.00736251,0.000245058,1.11735e-07,1.35195e-07,1.35195e-07,5.53181e-07
22,train,2,1,True,True,0.137485,0.13083,0.00665495,True,0.0967728125,0.101398,0.0690066,0.150529,0.0421584,0.0842013,0.0846022,0.121202,0.121085,2.96631e-114,0.00656648,-8.84728e-05,1.11735e-07,1.35195e-07,1.35195e-07,5.5318e-07
23,train,3,0,True,True,0.132148,0.13874,-0.0065913,False,0.09145425,0.177601,0.062596,0.0967045,0.0976865,0.0551256,0.112821,0.0751153,0.0539841,1.32771e-143,-0.00675922,-0.000167925,1.11735e-07,1.35194e-07,1.35194e-07,5.53179e-07
24,final_eval,0,0,False,False,0.128735,0.135614,-0.00687958,False,0.090562225,0.0587645,0.194416,0.049338,0.0992267,0.0478354,0.0691773,0.111592,0.0941479,,,,,,,
25,final_eval,1,1,False,False,0.136432,0.129218,0.00721358,True,0.07119098750000001,0.0629155,0.129425,-3.32734e-26,0.186792,0.0107416,0.0814845,0.0435752,0.0545941,,,,,,,
26,final_eval,2,1,False,False,0.137396,0.130851,0.00654495,True,0.0967717375,0.101397,0.0690051,0.150528,0.042157,0.0842005,0.0846013,0.121201,0.121084,,,,,,,
27,final_eval,3,0,False,False,0.132183,0.13888,-0.00669629,False,0.0914530875,0.177601,0.0625942,0.0967032,0.097685,0.0551245,0.11282,0.0751143,0.0539825,,,,,,,
