cycle,phase,pattern,label,reset_gradient,applied_update,target_out,other_out,margin,score0,score1,score0_cmp,score1_cmp,out0_cmp,out1_cmp,correct,mean_hidden_act,act0,act1,act2,act3,act4,act5,act6,act7,lose0,lose1,lead01,lead10,max_abs_hidden_delta_signal,max_abs_hidden_grad_signal,max_hidden_grad_node,post_update_margin,d_margin_after_update,max_abs_readout_weight_signed_delta,max_abs_output_bias_signed_delta,max_abs_readout_signed_delta,max_abs_hidden_signed_delta
0,initial_eval,0,0,False,False,0.13091,0.137478,-0.00656763,0.12549,0.133759,0.0141951,0.0140901,0.130903,0.13747,False,0.111727725,0.160017,0.098667,0.119667,0.115452,0.0692549,0.0968149,0.101436,0.132513,0.343408,0.343203,1.21429,1.21421,,,,,,,,,
1,initial_eval,1,0,False,False,0.143107,0.150291,-0.00718349,0.174769,0.18257,0.0071471,0.00695829,0.1431,0.150283,False,0.0629662,0.126539,0.0524874,0.0329494,0.100647,0.0224351,0.075213,0.0452517,0.048207,0.338077,0.338066,1.20366,1.20352,,,,,,,,,
2,initial_eval,2,0,False,False,0.147249,0.154376,-0.00712632,0.18003,0.187526,0.0020666,0.00185068,0.147241,0.154367,False,0.0643493625,0.0739293,0.0416316,0.103905,0.0341516,0.0514119,0.0564989,0.0828962,0.0703704,0.337324,0.337334,1.19312,1.19293,,,,,,,,,
3,initial_eval,3,0,False,False,0.155886,0.163146,-0.00725945,0.190786,0.19828,0.000511686,0.000268755,0.155878,0.163138,False,0.048477025,0.0412271,0.0753363,0.0363457,0.0705286,0.0147869,0.0608222,0.0402417,0.0485277,0.336053,0.336047,1.18257,1.18233,,,,,,,,,
4,initial_eval,4,1,False,False,0.119989,0.11481,0.00517821,0.0911827,0.0936535,0.0455809,0.0453452,0.114804,0.119982,True,0.22176975,0.238238,0.219287,0.202987,0.246578,0.202827,0.200844,0.228697,0.2347,0.220704,0.224099,1.17245,1.17217,,,,,,,,,
5,initial_eval,5,1,False,False,0.115999,0.110991,0.00500787,0.097395,0.0997476,0.00617131,0.00609662,0.110985,0.115993,True,0.25523212500000003,0.26696,0.26236,0.216674,0.287754,0.241835,0.236954,0.26696,0.26236,0.337469,0.337439,1.16259,1.16227,,,,,,,,,
6,initial_eval,6,1,False,False,0.117358,0.112346,0.00501137,0.0973949,0.0997474,0.00617134,0.00609665,0.11234,0.117351,True,0.25523175000000003,0.266959,0.26236,0.216674,0.287753,0.241835,0.236954,0.266959,0.26236,0.337469,0.337439,1.15265,1.1523,,,,,,,,,
7,initial_eval,7,1,False,False,0.125844,0.119679,0.00616547,0.112357,0.11952,0.0117578,0.0115999,0.119672,0.125837,True,0.1310348625,0.110397,0.158195,0.0788692,0.258363,0.108572,0.0805127,0.151577,0.101793,0.340887,0.340677,1.14272,1.14232,,,,,,,,,
8,train,0,0,True,True,0.130935,0.137519,-0.00658358,0.125489,0.133758,0.0141949,0.0140899,0.130928,0.137511,False,0.1117255,0.160015,0.0986649,0.119665,0.115449,0.0692528,0.0968133,0.101433,0.132511,0.343449,0.343244,0.880622,0.92491,0.0,0.0,0.0,-0.00622956,0.000354022,0.0104145,0.000680352,0.0104145,2.68079e-07
9,train,4,1,True,True,0.114944,0.109735,0.00520841,0.0911478,0.0934843,0.0455966,0.0453606,0.109729,0.114937,True,0.22176800000000002,0.238237,0.219285,0.202986,0.246576,0.202825,0.200842,0.228695,0.234698,0.220497,0.22391,0.856652,0.970519,0.0,0.0,0.0,0.0052333,2.48802e-05,0.0223887,0.000143386,0.0223887,2.68079e-07
10,train,1,0,True,True,0.142623,0.149476,-0.00685253,0.174281,0.181788,0.0071478,0.0069992,0.142615,0.149467,False,0.06296476250000001,0.126537,0.052486,0.032948,0.100646,0.0224336,0.0752116,0.0452502,0.0482057,0.338116,0.3381,0.885762,0.918536,0.0,0.0,0.0,-0.00635538,0.000497146,0.000377671,0.000856812,0.000856812,2.68079e-07
11,train,5,1,True,True,0.109014,0.104338,0.00467641,0.0968762,0.0999352,0.0062506,0.00607225,0.104332,0.109008,True,0.25523025,0.266958,0.262358,0.216673,0.287752,0.241833,0.236952,0.266958,0.262358,0.337543,0.337448,0.826486,1.2,0.0,0.0,0.0,0.00449724,-0.000179174,0.0177891,0.000145194,0.0177891,2.68078e-07
12,train,2,0,True,True,0.146304,0.152585,-0.00628085,0.179076,0.185756,0.00207648,0.00191439,0.146296,0.152577,False,0.064347975,0.0739287,0.0416295,0.103903,0.0341501,0.0514105,0.0564978,0.082895,0.0703692,0.337364,0.337366,0.888127,0.915799,0.0,0.0,0.0,-0.00570798,0.000572862,0.000354142,0.000933672,0.000933672,2.68078e-07
13,train,6,1,True,True,0.114118,0.110046,0.00407207,0.096431,0.100201,0.0063235,0.00604522,0.11004,0.114112,True,0.25523025,0.266958,0.262358,0.216673,0.287752,0.241833,0.236952,0.266958,0.262358,0.337574,0.337417,0.864043,0.952665,0.0,0.0,0.0,0.00416834,9.62713e-05,0.0227043,0.000150372,0.0227043,2.68078e-07
14,train,3,0,True,True,0.154603,0.160435,-0.00583182,0.189461,0.195496,0.00056829,0.000464483,0.154596,0.160428,False,0.0484758,0.0412263,0.0753352,0.0363448,0.0705266,0.0147859,0.0608203,0.0402409,0.0485264,0.336091,0.336086,0.891153,0.912547,0.0,0.0,0.0,-0.00519439,0.000637433,0.00032757,0.00105396,0.00105396,2.68078e-07
15,train,7,1,True,True,0.1236,0.119038,0.00456198,0.110713,0.118693,0.0118589,0.0115859,0.119031,0.123593,True,0.13103315000000001,0.110395,0.158194,0.0788674,0.258362,0.10857,0.0805108,0.151575,0.101791,0.341066,0.340578,0.877131,0.929401,0.0,0.0,0.0,0.00495437,0.000392385,0.0315754,0.00028861,0.0315754,2.68078e-07
16,train,0,0,True,True,0.130075,0.134878,-0.00480284,0.123318,0.130972,0.0142145,0.0141385,0.130068,0.134871,False,0.11172373749999999,0.160014,0.0986627,0.119663,0.115447,0.0692506,0.0968116,0.101431,0.13251,0.343541,0.343116,0.884662,0.919522,0.0,0.0,0.0,-0.00449848,0.000304352,0.0106212,0.000571049,0.0106212,2.68077e-07
17,train,4,1,True,True,0.111647,0.107801,0.00384623,0.0897304,0.094118,0.0457095,0.045724,0.107795,0.111641,True,0.221766,0.238235,0.219282,0.202985,0.246574,0.202823,0.20084,0.228693,0.234696,0.218947,0.218343,0.857953,0.966767,0.0,0.0,0.0,0.00367875,-0.000167486,0.0205921,0.00012221,0.0205921,2.68077e-07
18,train,1,0,True,True,0.140857,0.145962,-0.0051052,0.172368,0.178327,0.00714006,0.00719407,0.140849,0.145954,False,0.062963425,0.126535,0.0524847,0.0329468,0.100645,0.0224322,0.0752104,0.0452489,0.0482044,0.33811,0.33807,0.888638,0.915076,0.0,0.0,0.0,-0.00463828,0.000466923,0.000403133,0.000792439,0.000792439,2.68077e-07
19,train,5,1,True,True,0.106108,0.102746,0.00336211,0.0948516,0.101158,0.0065902,0.00596004,0.10274,0.106102,True,0.25522849999999997,0.266956,0.262356,0.216672,0.28775,0.241832,0.23695,0.266956,0.262356,0.337692,0.33732,0.807203,1.2,0.0,0.0,0.0,0.00321549,-0.000146616,0.016469,0.000157749,0.016469,2.68077e-07
20,train,2,0,True,True,0.144539,0.149002,-0.00446238,0.177185,0.182114,0.00209416,0.00204909,0.144531,0.148993,False,0.06434694999999999,0.0739281,0.0416279,0.103902,0.0341489,0.0514095,0.0564969,0.082894,0.0703683,0.33736,0.33735,0.891147,0.912349,0.0,0.0,0.0,-0.00392039,0.000541988,0.000284197,0.000882195,0.000882195,2.68077e-07
21,train,6,1,True,True,0.112426,0.109667,0.00275885,0.0942735,0.101545,0.00669672,0.0059263,0.109661,0.11242,True,0.255228375,0.266956,0.262356,0.216671,0.28775,0.241832,0.23695,0.266956,0.262356,0.337742,0.337283,0.871797,0.937191,0.0,0.0,0.0,0.0028925,0.00013365,0.0223074,0.000150042,0.0223074,2.68076e-07
22,train,3,0,True,True,0.152874,0.156889,-0.00401506,0.187675,0.191855,0.000642022,0.000753386,0.152866,0.156882,False,0.0484749375,0.0412257,0.0753344,0.0363442,0.0705252,0.0147851,0.060819,0.0402404,0.0485255,0.336086,0.33608,0.893896,0.909601,0.0,0.0,0.0,-0.00342289,0.000592163,0.000258095,0.000984264,0.000984264,2.68076e-07
23,train,7,1,True,True,0.120862,0.117514,0.00334763,0.108267,0.119003,0.0120873,0.011535,0.117508,0.120855,True,0.13103142499999998,0.110393,0.158192,0.0788655,0.258361,0.108568,0.0805089,0.151574,0.101789,0.341377,0.340339,0.880507,0.924371,0.0,0.0,0.0,0.0037921,0.000444464,0.0299039,0.00026877,0.0299039,2.68076e-07
24,train,0,0,True,True,0.128736,0.131874,-0.00313783,0.121217,0.128734,0.0142272,0.0141882,0.128729,0.131866,False,0.11172185,0.160013,0.0986605,0.119662,0.115444,0.0692484,0.0968099,0.101429,0.132508,0.343653,0.342922,0.88914,0.914131,0.0,0.0,0.0,-0.00288484,0.000252992,0.0104811,0.000509572,0.0104811,2.68076e-07
25,train,4,1,True,True,0.108561,0.105954,0.00260738,0.0879043,0.0952526,0.0458327,0.0461815,0.105948,0.108555,True,0.221763625,0.238233,0.21928,0.202984,0.246571,0.20282,0.200837,0.22869,0.234694,0.217305,0.21116,0.859395,0.962738,0.0,0.0,0.0,0.00224033,-0.00036705,0.0189487,0.000113522,0.0189487,2.68075e-07
26,train,1,0,True,True,0.139139,0.142681,-0.00354276,0.1705,0.175182,0.00709349,0.00742279,0.139131,0.142674,False,0.06296225,0.126534,0.0524835,0.0329456,0.100644,0.0224309,0.0752092,0.0452476,0.0482032,0.338103,0.338027,0.891742,0.91158,0.0,0.0,0.0,-0.00310399,0.000438763,0.000461097,0.000734919,0.000734919,2.68075e-07
27,train,5,1,True,True,0.10356,0.101515,0.00204522,0.0920243,0.10303,0.00713786,0.00581173,0.101509,0.103554,True,0.255227,0.266955,0.262355,0.21667,0.287748,0.24183,0.236949,0.266955,0.262354,0.337957,0.337159,1.2,-0.00724021,0.0,0.0,0.0,0.00204516,-5.63509e-08,0.0154625,0.000165734,0.0154625,2.68075e-07
28,train,2,0,True,True,0.142815,0.145596,-0.00278124,0.175335,0.17868,0.00210024,0.00219258,0.142807,0.145588,False,0.0643459375,0.0739276,0.0416263,0.103901,0.0341477,0.0514084,0.056496,0.0828931,0.0703674,0.337357,0.337325,0.894533,0.908761,0.0,0.0,0.0,-0.00227111,0.000510129,0.000217457,0.000830032,0.000830032,2.68075e-07
29,train,6,1,True,True,0.108952,0.10738,0.00157159,0.0911776,0.103607,0.00731737,0.00576741,0.107374,0.108946,True,0.2552265,0.266954,0.262354,0.21667,0.287748,0.24183,0.236948,0.266954,0.262354,0.338051,0.337113,0.876355,0.929374,0.0,0.0,0.0,0.00173708,0.000165483,0.0202228,0.000123895,0.0202228,2.68075e-07
