cycle,phase,pattern,label,reset_gradient,applied_update,target_out,other_out,margin,score0,score1,score0_cmp,score1_cmp,out0_cmp,out1_cmp,correct,mean_hidden_act,act0,act1,act2,act3,act4,act5,act6,act7,lose0,lose1,lead01,lead10,max_abs_hidden_delta_signal,max_abs_hidden_grad_signal,post_update_margin,d_margin_after_update,max_abs_readout_weight_signed_delta,max_abs_output_bias_signed_delta,max_abs_readout_signed_delta,max_abs_hidden_signed_delta
0,initial_eval,0,0,False,False,0.127543,0.134611,-0.007068,0.143397,0.152076,0.00788514,0.00770799,0.127536,0.134604,False,0.0905694125,0.0587728,0.194423,0.049346,0.099239,0.0478419,0.0691867,0.111589,0.0941569,0.339399,0.339278,1.21433,1.21424,,,,,,,,
1,initial_eval,1,1,False,False,0.135688,0.12841,0.00727768,0.150274,0.159827,0.0284345,0.0282743,0.128403,0.13568,True,0.07119832499999999,0.0629245,0.129433,-3.3507e-26,0.1868,0.0107474,0.0814975,0.04358,0.0546042,0.339602,0.339371,1.20386,1.20372,,,,,,,,
2,initial_eval,2,1,False,False,0.137389,0.130804,0.00658479,0.142621,0.150384,0.0118544,0.0117627,0.130797,0.137381,True,0.096778775,0.101403,0.0690149,0.150536,0.0421659,0.084206,0.0846074,0.121207,0.12109,0.341442,0.341417,1.19345,1.19326,,,,,,,,
3,initial_eval,3,0,False,False,0.131512,0.138218,-0.00670622,0.145734,0.153742,0.00818718,0.00803682,0.131505,0.13821,False,0.09145946249999999,0.177598,0.0626052,0.0967103,0.0976938,0.0551307,0.112826,0.07512,0.0539917,0.339947,0.339874,1.18312,1.18288,,,,,,,,
4,train,0,0,True,True,0.128787,0.135701,-0.00691319,0.143396,0.152076,0.00788507,0.00770791,0.12878,0.135693,False,0.09056831250000001,0.0587714,0.194422,0.0493447,0.099237,0.0478408,0.0691852,0.11159,0.0941554,0.339441,0.339319,0.878485,0.927907,5.91773e-09,5.48502e-09,-0.00653551,0.000377681,0.165337,3.63609e-06,0.165337,5.53204e-07
5,train,1,1,True,True,0.136056,0.128978,0.00707808,0.150866,0.159824,0.0285599,0.0281923,0.12897,0.136048,True,0.071197075,0.062923,0.129432,-2.07586e-26,0.186798,0.0107464,0.0814954,0.0435792,0.0546026,0.339538,0.339442,0.878238,0.92829,8.66258e-09,5.51375e-09,0.00783171,0.000753632,0.111415,3.42798e-06,0.111415,5.53195e-07
6,train,2,1,True,True,0.137041,0.130375,0.006666,0.142665,0.150383,0.0118651,0.0117617,0.130368,0.137033,True,0.09677764999999999,0.101402,0.0690132,0.150535,0.0421645,0.0842051,0.0846064,0.121206,0.121089,0.341473,0.341459,0.880091,0.925644,7.82358e-09,3.62686e-33,0.00668604,2.00329e-05,2.37255e-07,3.43271e-06,3.43271e-06,5.53202e-07
7,train,3,0,True,True,0.131795,0.138528,-0.0067331,0.145757,0.153938,0.00817887,0.00803351,0.131788,0.13852,False,0.091458475,0.177599,0.0626033,0.0967092,0.0976924,0.0551296,0.112825,0.0751191,0.0539902,0.339984,0.339884,0.880805,0.924695,7.42925e-10,6.94104e-10,-0.00660746,0.000125645,0.0604766,3.62605e-06,0.0604766,5.53201e-07
8,final_eval,0,0,False,False,0.128912,0.135371,-0.00645953,0.145289,0.152268,0.00777938,0.00778104,0.128904,0.135364,False,0.09056709999999998,0.05877,0.194421,0.0493434,0.099235,0.0478397,0.0691837,0.11159,0.094154,0.339273,0.33931,1.14821,1.1482,,,,,,,,
9,final_eval,1,1,False,False,0.136272,0.128511,0.00776106,0.150873,0.161586,0.0283346,0.0283182,0.128504,0.136265,True,0.07119579999999999,0.0629215,0.12943,-3.32769e-26,0.186797,0.0107454,0.0814932,0.0435784,0.0546009,0.339586,0.339233,1.1397,1.13967,,,,,,,,
10,final_eval,2,1,False,False,0.137278,0.130754,0.00652456,0.142758,0.150381,0.0118644,0.0117562,0.130746,0.137271,True,0.09677655,0.101401,0.0690117,0.150534,0.042163,0.0842042,0.0846055,0.121205,0.121088,0.341413,0.341417,1.13966,1.13966,,,,,,,,
11,final_eval,3,0,False,False,0.131621,0.138229,-0.00660753,0.14638,0.153935,0.00814888,0.0080515,0.131614,0.138221,False,0.0914573625,0.177599,0.0626015,0.096708,0.0976909,0.0551286,0.112824,0.0751182,0.0539887,0.339895,0.339859,1.13968,1.13966,,,,,,,,
