cycle,phase,pattern,label,reset_gradient,applied_update,target_out,other_out,margin,score0,score1,score0_cmp,score1_cmp,out0_cmp,out1_cmp,correct,mean_hidden_act,target_out_2550ps,other_out_2550ps,margin_2550ps,correct_2550ps,target_out_2750ps,other_out_2750ps,margin_2750ps,correct_2750ps,target_out_2950ps,other_out_2950ps,margin_2950ps,correct_2950ps,target_out_3150ps,other_out_3150ps,margin_3150ps,correct_3150ps,target_out_3350ps,other_out_3350ps,margin_3350ps,correct_3350ps,act0,act1,act2,act3,act4,act5,act6,act7,lose0,lose1,lead01,lead10,bwd_signal,dp0,dn0,output_delta_net_0,dp1,dn1,output_delta_net_1,max_abs_output_delta_signal,max_output_delta_node
0,initial_eval,0,0,False,False,0.139069,0.145787,-0.00671809,0.173918,0.180844,0.000524278,0.000435243,0.139176,0.145899,False,0.447860125,0.139069,0.145787,-0.00671809,False,0.139125,0.145845,-0.00672053,False,0.13917,0.145893,-0.00672252,False,0.13918,0.145903,-0.0067229,False,0.139179,0.145901,-0.00672284,False,0.741245,0.57729,0.633202,0.770113,0.107267,0.142146,0.109099,0.502519,0.335965,0.335959,1.21886,1.21878,,,,,,,,,
1,initial_eval,1,0,False,False,0.118938,0.122372,-0.00343393,0.1532,0.156736,4.79332e-05,-1.63883e-05,0.119047,0.122481,False,0.383877,0.118938,0.122372,-0.00343393,False,0.118994,0.122428,-0.00343397,False,0.119041,0.122474,-0.00343399,False,0.119051,0.122484,-0.00343389,False,0.119049,0.122483,-0.00343386,False,0.632611,0.475342,0.540965,0.624457,0.124163,0.08,0.282379,0.311099,0.335918,0.335916,1.20849,1.20838,,,,,,,,,
2,initial_eval,2,0,False,False,0.0981727,0.101092,-0.00291963,0.131814,0.134821,0.00224665,0.00227903,0.0982818,0.101201,False,0.29886775000000004,0.0981727,0.101092,-0.00291963,False,0.0982286,0.101148,-0.00291966,False,0.0982744,0.101194,-0.00291967,False,0.0982843,0.101204,-0.00291956,False,0.0982834,0.101203,-0.00291953,False,0.460496,0.315118,0.428067,0.491527,0.139719,0.324761,0.106536,0.124718,0.336138,0.336147,1.19833,1.19821,,,,,,,,,
3,initial_eval,3,0,False,False,0.0922449,0.0940874,-0.00184252,0.125707,0.127605,0.000585755,0.000584307,0.0923539,0.0941963,False,0.34778837500000004,0.0922449,0.0940874,-0.00184252,False,0.0923006,0.0941431,-0.0018425,False,0.0923463,0.0941887,-0.00184249,False,0.0923564,0.0941987,-0.00184238,False,0.0923554,0.0941978,-0.00184236,False,0.465983,0.392788,0.363332,0.423047,0.177356,0.430341,0.224457,0.305003,0.335934,0.335937,1.18832,1.1882,,,,,,,,,
4,initial_eval,4,0,False,False,0.10958,0.114062,-0.00448196,0.143564,0.148179,0.00111988,0.0010441,0.109689,0.114171,False,0.383445,0.10958,0.114062,-0.00448196,False,0.109636,0.114118,-0.00448201,False,0.109682,0.114164,-0.00448205,False,0.109692,0.114174,-0.00448194,False,0.109691,0.114173,-0.00448189,False,0.584164,0.47028,0.462056,0.628547,0.255224,0.176976,0.145681,0.344632,0.336055,0.336046,1.17815,1.17798,,,,,,,,,
5,initial_eval,5,0,False,False,0.106986,0.108577,-0.00159177,0.140892,0.142531,0.000891613,0.000905992,0.107095,0.108687,False,0.37133174999999996,0.106986,0.108577,-0.00159177,False,0.107042,0.108633,-0.00159176,False,0.107088,0.108679,-0.00159175,False,0.107098,0.108689,-0.00159166,False,0.107097,0.108688,-0.00159165,False,0.543454,0.493438,0.523504,0.44525,0.181826,0.385814,0.148522,0.248846,0.336,0.336005,1.16815,1.16798,,,,,,,,,
6,initial_eval,6,0,False,False,0.140321,0.141361,-0.0010401,0.175228,0.176278,-0.00116802,-0.00114156,0.140437,0.141469,False,0.54363925,0.140321,0.141361,-0.0010401,False,0.140381,0.141417,-0.00103606,False,0.14043,0.141463,-0.00103276,False,0.140441,0.141472,-0.00103193,False,0.140439,0.141471,-0.00103192,False,0.676339,0.66374,0.770109,0.650108,0.375466,0.351668,0.149631,0.712053,0.335777,0.335785,1.15784,1.15766,,,,,,,,,
7,initial_eval,7,0,False,False,0.113265,0.118627,-0.00536231,0.147359,0.152881,-0.00139301,-0.00146524,0.113375,0.118737,False,0.42723375,0.113265,0.118627,-0.00536231,False,0.113321,0.118684,-0.00536251,False,0.113368,0.11873,-0.00536267,False,0.113378,0.11874,-0.00536255,False,0.113377,0.118739,-0.0053625,False,0.580763,0.423695,0.455836,0.753179,0.370996,0.391278,0.100993,0.34113,0.335657,0.335653,1.14796,1.14778,,,,,,,,,
8,initial_eval,8,0,False,False,0.111152,0.113463,-0.00231036,0.145183,0.147562,-0.000883162,-0.000928379,0.111262,0.113572,False,0.41991187500000005,0.111152,0.113463,-0.00231036,False,0.111209,0.113519,-0.00231038,False,0.111255,0.113565,-0.00231039,False,0.111265,0.113575,-0.00231028,False,0.111264,0.113574,-0.00231026,False,0.464831,0.474401,0.515151,0.632988,0.357854,0.426654,0.152887,0.334529,0.335724,0.33572,1.14022,1.14024,,,,,,,,,
9,initial_eval,9,0,False,False,0.133768,0.142066,-0.00829801,0.168465,0.177024,-0.00124336,-0.00133605,0.133876,0.142182,False,0.512537975,0.133768,0.142066,-0.00829801,False,0.133824,0.142126,-0.00830182,False,0.13387,0.142175,-0.00830493,False,0.13388,0.142185,-0.00830557,False,0.133878,0.142184,-0.00830549,False,0.715184,0.569406,0.590993,0.77011,0.328889,0.269307,0.0863048,0.77011,0.335808,0.335802,1.13994,1.13986,,,,,,,,,
