cycle,phase,pattern,label,reset_gradient,applied_update,target_out,other_out,margin,correct,mean_hidden_act,act0,act1,act2,act3,act4,act5,act6,act7,max_abs_hidden_delta_signal,post_update_margin,d_margin_after_update,max_abs_readout_weight_signed_delta,max_abs_output_bias_signed_delta,max_abs_readout_signed_delta,max_abs_hidden_signed_delta
0,initial_eval,0,0,False,False,0.127308,0.134425,-0.00711638,False,0.0905693875,0.0587727,0.194423,0.049346,0.099239,0.0478419,0.0691867,0.111589,0.0941568,,,,,,,
1,initial_eval,1,1,False,False,0.136439,0.129225,0.0072137,True,0.0711982875,0.0629244,0.129433,-3.32791e-26,0.1868,0.0107476,0.0814973,0.0435799,0.0546041,,,,,,,
2,initial_eval,2,1,False,False,0.137404,0.130859,0.00654515,True,0.09677878749999999,0.101403,0.0690149,0.150536,0.042166,0.084206,0.0846074,0.121207,0.12109,,,,,,,
3,initial_eval,3,0,False,False,0.132192,0.138888,-0.00669653,False,0.091459375,0.177598,0.0626051,0.0967102,0.0976937,0.0551305,0.112826,0.0751199,0.0539916,,,,,,,
4,train,0,0,True,True,0.12874,0.13562,-0.00688029,False,0.090568275,0.0587713,0.194422,0.0493446,0.099237,0.0478408,0.0691851,0.11159,0.0941554,2.44873e-07,-0.00469153,0.00218876,0.00833233,0.00398985,0.00833233,5.53196e-07
5,train,1,1,True,True,0.134486,0.129765,0.0047209,True,0.07119706249999999,0.062923,0.129432,-2.06096e-26,0.186798,0.0107465,0.0814953,0.0435792,0.0546025,2.44601e-07,0.00734384,0.00262294,0.00562283,0.00392693,0.00562283,5.53196e-07
6,train,2,1,True,True,0.136074,0.129445,0.0066285,True,0.0967776,0.101402,0.0690131,0.150535,0.0421644,0.084205,0.0846063,0.121206,0.121089,3.01e-07,0.00901343,0.00238492,1.18072e-07,0.00391418,0.00391418,5.53194e-07
7,train,3,0,True,True,0.128914,0.137982,-0.00906836,False,0.09145837500000001,0.177599,0.0626031,0.096709,0.0976923,0.0551295,0.112825,0.075119,0.0539901,3.00162e-08,-0.00663881,0.00242955,0.00305686,0.00397756,0.00397756,5.53194e-07
8,train,0,0,True,True,0.126065,0.132984,-0.00691901,False,0.09056701249999999,0.0587699,0.194421,0.0493433,0.0992349,0.0478397,0.0691835,0.11159,0.0941538,2.16536e-07,-0.00441005,0.00250896,0.00833051,0.00396517,0.00833051,5.53193e-07
9,train,1,1,True,True,0.131689,0.12702,0.00466836,True,0.0711958125,0.0629215,0.12943,-2.06286e-26,0.186797,0.0107455,0.0814932,0.0435784,0.0546009,2.63697e-07,0.00728514,0.00261678,0.00562167,0.00390132,0.00562167,5.53193e-07
10,train,2,1,True,True,0.133257,0.126683,0.00657461,True,0.096776325,0.101401,0.0690113,0.150533,0.0421629,0.0842041,0.0846053,0.121205,0.121088,3.00997e-07,0.00883451,0.0022599,1.24404e-07,0.00388841,0.00388841,5.53191e-07
11,train,3,0,True,True,0.126167,0.13517,-0.00900347,False,0.09145725000000002,0.177599,0.0626012,0.0967079,0.0976908,0.0551285,0.112824,0.075118,0.0539886,4.03742e-08,-0.00658292,0.00242055,0.00305676,0.00395269,0.00395269,5.5319e-07
12,train,0,0,True,True,0.123392,0.130101,-0.00670901,False,0.09056595,0.0587686,0.19442,0.049342,0.0992329,0.0478387,0.069182,0.111591,0.0941524,1.88204e-07,-0.00452981,0.0021792,0.00832854,0.00394012,0.00832854,5.53189e-07
13,train,1,1,True,True,0.128914,0.124297,0.00461686,True,0.07119464999999998,0.06292,0.129429,-2.05363e-26,0.186796,0.0107444,0.081491,0.0435776,0.0545992,2.82789e-07,0.00722342,0.00260656,0.00562048,0.00387538,0.00562048,5.53189e-07
14,train,2,1,True,True,0.130463,0.123941,0.00652229,True,0.0967751875,0.1014,0.0690096,0.150532,0.0421614,0.0842032,0.0846043,0.121204,0.121087,3.00995e-07,0.0087661,0.00224381,1.30735e-07,0.0038623,0.0038623,5.53187e-07
15,train,3,0,True,True,0.12344,0.13238,-0.00893997,False,0.09145623750000001,0.1776,0.0625993,0.0967067,0.0976893,0.0551275,0.112823,0.0751171,0.053987,5.07319e-08,-0.00652738,0.00241259,0.00305666,0.00392746,0.00392746,5.53186e-07
16,train,0,0,True,True,0.120645,0.127414,-0.00676893,False,0.09056465,0.0587672,0.194419,0.0493406,0.0992308,0.0478375,0.0691803,0.111591,0.0941508,1.59878e-07,-0.00425327,0.00251566,0.0083266,0.00391471,0.0083266,5.53186e-07
17,train,1,1,True,True,0.126169,0.121605,0.00456391,True,0.0711933875,0.0629185,0.129427,-2.05618e-26,0.186795,0.0107434,0.0814889,0.0435768,0.0545975,3.01876e-07,0.00716064,0.00259673,0.0056193,0.00384911,0.0056193,5.53185e-07
18,train,2,1,True,True,0.127691,0.12122,0.00647071,True,0.09677403750000002,0.101399,0.0690079,0.150531,0.0421599,0.0842022,0.0846033,0.121203,0.121086,3.00993e-07,0.00869519,0.00222448,1.37065e-07,0.00383587,0.00383587,5.53184e-07
19,train,3,0,True,True,0.120735,0.12961,-0.00887454,False,0.09145510000000001,0.1776,0.0625973,0.0967055,0.0976879,0.0551265,0.112822,0.0751161,0.0539855,6.10892e-08,-0.0064705,0.00240404,0.00305655,0.00390187,0.00390187,5.53183e-07
20,train,0,0,True,True,0.117968,0.12466,-0.00669164,False,0.090563675,0.0587658,0.194419,0.0493393,0.0992287,0.0478365,0.0691788,0.111592,0.0941493,1.31557e-07,-0.00417332,0.00251832,0.00832464,0.00388895,0.00832464,5.53182e-07
21,train,1,1,True,True,0.123453,0.118946,0.00450679,True,0.07119225,0.062917,0.129426,-2.05175e-26,0.186794,0.0107424,0.0814867,0.043576,0.0545959,3.2096e-07,0.00709698,0.00259018,0.00561814,0.00382252,0.00561814,5.53182e-07
22,train,2,1,True,True,0.12494,0.118522,0.0064177,True,0.09677274999999999,0.101398,0.0690061,0.150529,0.0421584,0.0842013,0.0846022,0.121202,0.121085,3.00991e-07,0.00862165,0.00220396,1.43394e-07,0.00380912,0.00380912,5.5318e-07
23,train,3,0,True,True,0.118053,0.12686,-0.00880722,False,0.09145411249999999,0.177601,0.0625954,0.0967044,0.0976864,0.0551255,0.112821,0.0751152,0.053984,7.14463e-08,-0.00641224,0.00239497,0.00305645,0.00387594,0.00387594,5.53179e-07
24,train,0,0,True,True,0.115315,0.121928,-0.00661274,False,0.0905624375,0.0587644,0.194418,0.049338,0.0992267,0.0478354,0.0691772,0.111592,0.0941478,1.03241e-07,-0.0040977,0.00251504,0.00832266,0.00386285,0.00832266,5.53178e-07
25,train,1,1,True,True,0.120759,0.116311,0.00444766,True,0.07119098750000001,0.0629155,0.129425,-2.04864e-26,0.186792,0.0107414,0.0814846,0.0435752,0.0545942,3.40038e-07,0.0070323,0.00258465,0.00561695,0.00379562,0.00561695,5.53178e-07
26,train,2,1,True,True,0.122209,0.115846,0.00636315,True,0.09677161249999999,0.101397,0.0690044,0.150528,0.0421569,0.0842004,0.0846012,0.121201,0.121084,3.00989e-07,0.00854535,0.0021822,1.49721e-07,0.00378207,0.00378207,5.53176e-07
27,train,3,0,True,True,0.115393,0.124131,-0.00873809,False,0.0914529625,0.177601,0.0625935,0.0967032,0.0976849,0.0551244,0.11282,0.0751143,0.0539824,8.1803e-08,-0.00619411,0.00254397,0.00305635,0.00384967,0.00384967,5.53176e-07
28,train,0,0,True,True,0.11301,0.119358,-0.00634751,False,0.09056137500000001,0.0587631,0.194417,0.0493367,0.0992247,0.0478344,0.0691757,0.111593,0.0941464,7.49309e-08,-0.00422293,0.00212458,0.00832065,0.00383642,0.00832065,5.53175e-07
29,train,1,1,True,True,0.118095,0.113708,0.00438693,True,0.0711897375,0.062914,0.129423,-2.04099e-26,0.186791,0.0107404,0.0814825,0.0435745,0.0545925,3.59113e-07,0.00696655,0.00257962,0.00561577,0.00376844,0.00561577,5.53175e-07
30,train,2,1,True,True,0.119501,0.113194,0.00630703,True,0.0967703375,0.101396,0.0690026,0.150526,0.0421554,0.0841995,0.0846002,0.1212,0.121083,3.00986e-07,0.00846613,0.0021591,1.56046e-07,0.00375474,0.00375474,5.53173e-07
31,train,3,0,True,True,0.112757,0.121425,-0.00866712,False,0.09145195,0.177602,0.0625915,0.096702,0.0976835,0.0551234,0.112819,0.0751133,0.0539809,9.21594e-08,-0.00613425,0.00253286,0.00305624,0.00382309,0.00382309,5.53172e-07
32,train,0,0,True,True,0.11008,0.11653,-0.00644996,False,0.09056008750000001,0.0587617,0.194416,0.0493353,0.0992225,0.0478332,0.0691741,0.111593,0.0941449,4.66269e-08,-0.00395343,0.00249653,0.00831864,0.00380968,0.00831864,5.53171e-07
33,train,1,1,True,True,0.115461,0.111135,0.0043264,True,0.0711886,0.0629125,0.129422,-2.0423e-26,0.18679,0.0107394,0.0814803,0.0435737,0.0545909,3.78182e-07,0.00689819,0.00257179,0.00561459,0.00374095,0.00561459,5.53171e-07
34,train,2,1,True,True,0.116814,0.110565,0.00624928,True,0.0967691875,0.101395,0.0690009,0.150525,0.0421539,0.0841985,0.0845992,0.121199,0.121082,3.00984e-07,0.00838446,0.00213519,1.62371e-07,0.00372712,0.00372712,5.53169e-07
35,train,3,0,True,True,0.110146,0.11874,-0.00859425,False,0.0914508375,0.177602,0.0625896,0.0967009,0.097682,0.0551224,0.112818,0.0751124,0.0539794,1.02516e-07,-0.00607311,0.00252114,0.00305614,0.0037962,0.0037962,5.53169e-07
36,train,0,0,True,True,0.107995,0.114148,-0.00615315,False,0.0905590375,0.0587604,0.194415,0.0493341,0.0992206,0.0478322,0.0691726,0.111594,0.0941434,1.83291e-08,-0.00406426,0.00208888,0.0083166,0.00378264,0.0083166,5.53168e-07
37,train,1,1,True,True,0.112858,0.108591,0.00426658,True,0.07118735,0.0629111,0.12942,-2.03413e-26,0.186789,0.0107384,0.0814782,0.0435729,0.0545892,3.97248e-07,0.00682572,0.00255915,0.00561342,0.0037132,0.00561342,5.53167e-07
38,train,2,1,True,True,0.114151,0.107961,0.00618985,True,0.09676792499999999,0.101394,0.0689992,0.150523,0.0421524,0.0841976,0.0845982,0.121198,0.121081,3.00982e-07,0.00830449,0.00211464,1.68694e-07,0.00369925,0.00369925,5.53166e-07
39,train,3,0,True,True,0.107559,0.116079,-0.00851947,False,0.0914498125,0.177603,0.0625877,0.0966997,0.0976805,0.0551214,0.112817,0.0751114,0.0539778,1.12871e-07,-0.00616483,0.00235464,0.00305603,0.00376901,0.00376901,5.53165e-07
40,train,0,0,True,True,0.105529,0.111587,-0.00605873,False,0.090557775,0.058759,0.194414,0.0493327,0.0992185,0.0478311,0.069171,0.111594,0.0941419,9.96241e-09,-0.00398274,0.002076,0.00831456,0.00375531,0.00831456,5.53164e-07
41,train,1,1,True,True,0.110286,0.106074,0.00421233,True,0.07118621250000001,0.0629096,0.129419,-2.03068e-26,0.186788,0.0107374,0.0814761,0.0435721,0.0545875,4.16562e-07,0.00675111,0.00253878,0.00561224,0.0036852,0.00561224,5.53164e-07
42,train,2,1,True,True,0.111512,0.105383,0.0061287,True,0.09676676249999999,0.101393,0.0689974,0.150522,0.0421509,0.0841967,0.0845971,0.121197,0.12108,3.0098e-07,0.00822731,0.00209861,1.75015e-07,0.00367112,0.00367112,5.53162e-07
43,train,3,0,True,True,0.104998,0.113441,-0.00844274,False,0.0914488,0.177604,0.0625857,0.0966985,0.097679,0.0551204,0.112816,0.0751105,0.0539763,1.23227e-07,-0.00609924,0.0023435,0.00305593,0.00374154,0.00374154,5.53161e-07
44,final_eval,0,0,False,False,0.103086,0.109058,-0.00597249,False,0.09055679999999999,0.0587576,0.194414,0.0493314,0.0992165,0.04783,0.0691694,0.111595,0.0941405,,,,,,,
45,final_eval,1,1,False,False,0.109036,0.102398,0.00663801,True,0.0711848125,0.062908,0.129417,-3.32687e-26,0.186786,0.0107366,0.0814738,0.0435713,0.0545858,,,,,,,
46,final_eval,2,1,False,False,0.110685,0.104775,0.00590943,True,0.09676554999999999,0.101392,0.0689959,0.15052,0.0421495,0.0841958,0.0845962,0.121196,0.121079,,,,,,,
47,final_eval,3,0,False,False,0.105513,0.111613,-0.00609961,False,0.09144769999999999,0.177604,0.0625839,0.0966974,0.0976776,0.0551194,0.112815,0.0751095,0.0539748,,,,,,,
