channels,lr_spice,equivalent_lr_torch_mse_tanh,update_noise_std,epoch,test_accuracy,test_correct,trial_wall_time_s
8,0.3,1.5,0.0001,41,0.909,909,0.22033033300000016
8,0.3,1.5,0.0001,42,0.906,906,0.22522591699999994
8,0.3,1.5,0.0001,43,0.903,903,0.23010966700000024
8,0.3,1.5,0.0001,44,0.907,907,0.23523541700000017
8,0.3,1.5,0.0001,45,0.91,910,0.24114558300000022
8,0.3,1.5,0.0001,46,0.907,907,0.24620137500000006
8,0.3,1.5,0.0001,47,0.917,917,0.25169175
8,0.3,1.5,0.0001,48,0.909,909,0.25682574999999996
8,0.3,1.5,0.0001,49,0.911,911,0.261824458
8,0.3,1.5,0.0001,50,0.912,912,0.2668105829999998
8,0.3,1.5,0.0001,51,0.913,913,0.2719305420000002
8,0.3,1.5,0.0001,52,0.909,909,0.27693145799999996
8,0.3,1.5,0.0001,53,0.914,914,0.28215087500000013
8,0.3,1.5,0.0001,54,0.908,908,0.2872902920000002
8,0.3,1.5,0.0001,55,0.914,914,0.2925358330000001
8,0.3,1.5,0.0001,56,0.912,912,0.2983015
8,0.3,1.5,0.0001,57,0.912,912,0.3038058330000002
8,0.3,1.5,0.0001,58,0.915,915,0.3091035
8,0.3,1.5,0.0001,59,0.918,918,0.31520179199999987
8,0.3,1.5,0.0001,60,0.917,917,0.319954042
8,0.3,1.5,0.0003,1,0.317,317,0.00570279100000004
8,0.3,1.5,0.0003,2,0.455,455,0.01159091599999984
8,0.3,1.5,0.0003,3,0.58,580,0.01710833299999992
8,0.3,1.5,0.0003,4,0.69,690,0.022610915999999648
8,0.3,1.5,0.0003,5,0.724,724,0.028140624999999808
8,0.3,1.5,0.0003,6,0.789,789,0.033685874999999754
8,0.3,1.5,0.0003,7,0.809,809,0.039291707999999925
8,0.3,1.5,0.0003,8,0.814,814,0.04483912499999976
8,0.3,1.5,0.0003,9,0.817,817,0.05052616600000004
8,0.3,1.5,0.0003,10,0.838,838,0.05602970799999962
8,0.3,1.5,0.0003,11,0.857,857,0.06179858299999985
8,0.3,1.5,0.0003,12,0.856,856,0.06685516599999985
8,0.3,1.5,0.0003,13,0.867,867,0.07242454099999973
8,0.3,1.5,0.0003,14,0.875,875,0.07811341599999988
8,0.3,1.5,0.0003,15,0.864,864,0.08307620800000004
8,0.3,1.5,0.0003,16,0.88,880,0.08913195799999984
8,0.3,1.5,0.0003,17,0.885,885,0.09597704099999982
8,0.3,1.5,0.0003,18,0.879,879,0.10225145800000002
8,0.3,1.5,0.0003,19,0.879,879,0.10765220799999975
8,0.3,1.5,0.0003,20,0.885,885,0.11252333299999995
8,0.3,1.5,0.0003,21,0.883,883,0.11760320799999979
8,0.3,1.5,0.0003,22,0.887,887,0.12345383299999968
8,0.3,1.5,0.0003,23,0.883,883,0.12860583299999995
8,0.3,1.5,0.0003,24,0.887,887,0.1334507079999998
8,0.3,1.5,0.0003,25,0.89,890,0.13911420799999963
8,0.3,1.5,0.0003,26,0.887,887,0.14397458299999988
8,0.3,1.5,0.0003,27,0.891,891,0.149544208
8,0.3,1.5,0.0003,28,0.901,901,0.1551986249999997
8,0.3,1.5,0.0003,29,0.896,896,0.1601259159999997
8,0.3,1.5,0.0003,30,0.904,904,0.16554933299999997
8,0.3,1.5,0.0003,31,0.9,900,0.1704870409999999
8,0.3,1.5,0.0003,32,0.902,902,0.1754143749999999
8,0.3,1.5,0.0003,33,0.905,905,0.18099583299999988
8,0.3,1.5,0.0003,34,0.904,904,0.18601816599999976
8,0.3,1.5,0.0003,35,0.908,908,0.19154770799999987
8,0.3,1.5,0.0003,36,0.905,905,0.19634454099999976
8,0.3,1.5,0.0003,37,0.906,906,0.20126899999999992
8,0.3,1.5,0.0003,38,0.909,909,0.20704091599999996
8,0.3,1.5,0.0003,39,0.908,908,0.21180341599999997
8,0.3,1.5,0.0003,40,0.909,909,0.2166107079999997
8,0.3,1.5,0.0003,41,0.908,908,0.22133124999999998
8,0.3,1.5,0.0003,42,0.913,913,0.22641749999999972
8,0.3,1.5,0.0003,43,0.906,906,0.23126937499999967
8,0.3,1.5,0.0003,44,0.91,910,0.23626391599999996
8,0.3,1.5,0.0003,45,0.907,907,0.2414660409999998
8,0.3,1.5,0.0003,46,0.912,912,0.24652333299999984
8,0.3,1.5,0.0003,47,0.905,905,0.2516949999999998
8,0.3,1.5,0.0003,48,0.906,906,0.2568479159999999
8,0.3,1.5,0.0003,49,0.909,909,0.26220316599999993
8,0.3,1.5,0.0003,50,0.909,909,0.2673258329999997
8,0.3,1.5,0.0003,51,0.911,911,0.27254829099999967
8,0.3,1.5,0.0003,52,0.907,907,0.27776612499999986
8,0.3,1.5,0.0003,53,0.914,914,0.2836815829999999
8,0.3,1.5,0.0003,54,0.908,908,0.28858745799999985
8,0.3,1.5,0.0003,55,0.91,910,0.2935814999999997
8,0.3,1.5,0.0003,56,0.911,911,0.29869612499999976
8,0.3,1.5,0.0003,57,0.91,910,0.3036976659999997
8,0.3,1.5,0.0003,58,0.912,912,0.30854437499999987
8,0.3,1.5,0.0003,59,0.912,912,0.3136840409999997
8,0.3,1.5,0.0003,60,0.91,910,0.318706916
8,0.3,1.5,0.001,1,0.436,436,0.0059220409999998225
8,0.3,1.5,0.001,2,0.505,505,0.011304374999999922
8,0.3,1.5,0.001,3,0.578,578,0.01664366599999978
8,0.3,1.5,0.001,4,0.679,679,0.02213104099999974
8,0.3,1.5,0.001,5,0.759,759,0.027463290999999668
8,0.3,1.5,0.001,6,0.781,781,0.03279883299999975
8,0.3,1.5,0.001,7,0.804,804,0.03806808299999975
8,0.3,1.5,0.001,8,0.821,821,0.04346474999999961
8,0.3,1.5,0.001,9,0.84,840,0.048935457999999876
8,0.3,1.5,0.001,10,0.845,845,0.054134291
8,0.3,1.5,0.001,11,0.854,854,0.05944916599999983
8,0.3,1.5,0.001,12,0.867,867,0.06490670799999965
8,0.3,1.5,0.001,13,0.867,867,0.06988629099999999
8,0.3,1.5,0.001,14,0.867,867,0.07462895799999991
8,0.3,1.5,0.001,15,0.873,873,0.07982274999999994
8,0.3,1.5,0.001,16,0.877,877,0.08487258299999967
8,0.3,1.5,0.001,17,0.877,877,0.08975779099999981
8,0.3,1.5,0.001,18,0.884,884,0.09535662499999997
8,0.3,1.5,0.001,19,0.888,888,0.10076312499999984
8,0.3,1.5,0.001,20,0.881,881,0.10573466599999959
8,0.3,1.5,0.001,21,0.889,889,0.11118695799999978
8,0.3,1.5,0.001,22,0.888,888,0.11610608299999958
8,0.3,1.5,0.001,23,0.883,883,0.1211389159999996
8,0.3,1.5,0.001,24,0.886,886,0.12601045799999966
8,0.3,1.5,0.001,25,0.888,888,0.13089916599999984
8,0.3,1.5,0.001,26,0.895,895,0.1362642079999996
8,0.3,1.5,0.001,27,0.898,898,0.14188958299999976
8,0.3,1.5,0.001,28,0.901,901,0.14730070799999995
8,0.3,1.5,0.001,29,0.897,897,0.1520613329999998
8,0.3,1.5,0.001,30,0.901,901,0.15681591599999978
8,0.3,1.5,0.001,31,0.9,900,0.1616875409999996
8,0.3,1.5,0.001,32,0.897,897,0.16657787499999976
8,0.3,1.5,0.001,33,0.906,906,0.17186729099999987
8,0.3,1.5,0.001,34,0.906,906,0.17656824999999987
8,0.3,1.5,0.001,35,0.894,894,0.18133041599999977
8,0.3,1.5,0.001,36,0.902,902,0.1861150829999998
8,0.3,1.5,0.001,37,0.902,902,0.190736083
8,0.3,1.5,0.001,38,0.906,906,0.19558945799999972
8,0.3,1.5,0.001,39,0.906,906,0.20021137499999986
8,0.3,1.5,0.001,40,0.911,911,0.20562866599999996
8,0.3,1.5,0.001,41,0.902,902,0.21043316599999962
8,0.3,1.5,0.001,42,0.91,910,0.21540216599999962
8,0.3,1.5,0.001,43,0.911,911,0.22009804099999997
8,0.3,1.5,0.001,44,0.913,913,0.2252133749999996
8,0.3,1.5,0.001,45,0.907,907,0.2300396659999997
8,0.3,1.5,0.001,46,0.908,908,0.23489412499999984
8,0.3,1.5,0.001,47,0.906,906,0.23966749999999992
8,0.3,1.5,0.001,48,0.911,911,0.24466212499999962
8,0.3,1.5,0.001,49,0.914,914,0.25015224999999974
8,0.3,1.5,0.001,50,0.911,911,0.25535662499999967
8,0.3,1.5,0.001,51,0.911,911,0.2601838329999997
8,0.3,1.5,0.001,52,0.911,911,0.2651311249999999
8,0.3,1.5,0.001,53,0.915,915,0.27074183299999977
8,0.3,1.5,0.001,54,0.915,915,0.27578854099999983
8,0.3,1.5,0.001,55,0.912,912,0.28065795799999993
8,0.3,1.5,0.001,56,0.913,913,0.28566479099999986
8,0.3,1.5,0.001,57,0.917,917,0.29153670799999976
8,0.3,1.5,0.001,58,0.916,916,0.29654037499999975
8,0.3,1.5,0.001,59,0.919,919,0.3020149999999999
8,0.3,1.5,0.001,60,0.916,916,0.30682416599999973
8,0.3,1.5,0.003,1,0.376,376,0.005439083000000178
8,0.3,1.5,0.003,2,0.422,422,0.010606166000000083
8,0.3,1.5,0.003,3,0.599,599,0.016027500000000305
8,0.3,1.5,0.003,4,0.709,709,0.021465791000000234
8,0.3,1.5,0.003,5,0.765,765,0.027052333000000317
8,0.3,1.5,0.003,6,0.783,783,0.03248716600000012
8,0.3,1.5,0.003,7,0.782,782,0.03752945800000029
8,0.3,1.5,0.003,8,0.821,821,0.04303775000000032
8,0.3,1.5,0.003,9,0.831,831,0.04860387500000041
8,0.3,1.5,0.003,10,0.852,852,0.05426550000000008
8,0.3,1.5,0.003,11,0.842,842,0.059227750000000245
8,0.3,1.5,0.003,12,0.865,865,0.06482745800000034
8,0.3,1.5,0.003,13,0.866,866,0.07033766600000035
8,0.3,1.5,0.003,14,0.865,865,0.07528891600000032
8,0.3,1.5,0.003,15,0.869,869,0.08081129100000028
8,0.3,1.5,0.003,16,0.868,868,0.08576945800000013
8,0.3,1.5,0.003,17,0.872,872,0.09133762500000042
8,0.3,1.5,0.003,18,0.877,877,0.09680704100000037
8,0.3,1.5,0.003,19,0.877,877,0.10170841600000013
8,0.3,1.5,0.003,20,0.885,885,0.10719116600000023
8,0.3,1.5,0.003,21,0.881,881,0.11216716600000032
8,0.3,1.5,0.003,22,0.885,885,0.11703162500000008
8,0.3,1.5,0.003,23,0.894,894,0.12260220800000043
8,0.3,1.5,0.003,24,0.887,887,0.1275533750000002
8,0.3,1.5,0.003,25,0.888,888,0.1324883330000004
8,0.3,1.5,0.003,26,0.894,894,0.1378904160000003
8,0.3,1.5,0.003,27,0.896,896,0.14330250000000033
8,0.3,1.5,0.003,28,0.897,897,0.14875779100000042
8,0.3,1.5,0.003,29,0.896,896,0.15358779100000008
8,0.3,1.5,0.003,30,0.902,902,0.15888866600000018
8,0.3,1.5,0.003,31,0.894,894,0.163638583
8,0.3,1.5,0.003,32,0.894,894,0.16846920800000031
8,0.3,1.5,0.003,33,0.899,899,0.173462416
8,0.3,1.5,0.003,34,0.898,898,0.17836633300000004
8,0.3,1.5,0.003,35,0.899,899,0.18319937500000005
8,0.3,1.5,0.003,36,0.904,904,0.1889780830000003
8,0.3,1.5,0.003,37,0.902,902,0.19369012500000027
8,0.3,1.5,0.003,38,0.903,903,0.19853520800000002
8,0.3,1.5,0.003,39,0.901,901,0.203395333
8,0.3,1.5,0.003,40,0.903,903,0.2082018330000004
8,0.3,1.5,0.003,41,0.906,906,0.21370833300000003
8,0.3,1.5,0.003,42,0.912,912,0.21923679100000015
8,0.3,1.5,0.003,43,0.912,912,0.22406845800000008
8,0.3,1.5,0.003,44,0.907,907,0.22914129100000036
8,0.3,1.5,0.003,45,0.908,908,0.23415920800000034
8,0.3,1.5,0.003,46,0.913,913,0.23958012500000025
8,0.3,1.5,0.003,47,0.911,911,0.244374541
8,0.3,1.5,0.003,48,0.913,913,0.24931266600000024
8,0.3,1.5,0.003,49,0.912,912,0.2544933330000001
8,0.3,1.5,0.003,50,0.92,920,0.25992020800000004
8,0.3,1.5,0.003,51,0.922,922,0.26536975000000007
8,0.3,1.5,0.003,52,0.919,919,0.2702688750000002
8,0.3,1.5,0.003,53,0.914,914,0.2750433750000001
8,0.3,1.5,0.003,54,0.916,916,0.279773708
8,0.3,1.5,0.003,55,0.915,915,0.2847705410000003
8,0.3,1.5,0.003,56,0.918,918,0.2897397500000003
8,0.3,1.5,0.003,57,0.918,918,0.294723791
8,0.3,1.5,0.003,58,0.916,916,0.29979429100000043
8,0.3,1.5,0.003,59,0.91,910,0.3046965410000002
8,0.3,1.5,0.003,60,0.918,918,0.3095516250000001
8,0.8,4.0,0.0,1,0.559,559,0.005506458000000158
8,0.8,4.0,0.0,2,0.749,749,0.010355458000000262
8,0.8,4.0,0.0,3,0.77,770,0.015299500000000243
8,0.8,4.0,0.0,4,0.848,848,0.02007783300000021
8,0.8,4.0,0.0,5,0.857,857,0.024850707999999777
8,0.8,4.0,0.0,6,0.869,869,0.029691542000000126
8,0.8,4.0,0.0,7,0.881,881,0.0345934579999998
8,0.8,4.0,0.0,8,0.876,876,0.038958250000000305
8,0.8,4.0,0.0,9,0.876,876,0.04327783300000032
8,0.8,4.0,0.0,10,0.891,891,0.047985500000000236
8,0.8,4.0,0.0,11,0.893,893,0.05278870799999957
8,0.8,4.0,0.0,12,0.896,896,0.05755054199999954
8,0.8,4.0,0.0,13,0.889,889,0.06183687500000001
8,0.8,4.0,0.0,14,0.902,902,0.06674033300000026
8,0.8,4.0,0.0,15,0.907,907,0.07161270799999997
8,0.8,4.0,0.0,16,0.906,906,0.07584024999999972
8,0.8,4.0,0.0,17,0.904,904,0.08015158300000014
8,0.8,4.0,0.0,18,0.92,920,0.08479824999999952
8,0.8,4.0,0.0,19,0.906,906,0.08896075000000003
8,0.8,4.0,0.0,20,0.904,904,0.09331574999999948
8,0.8,4.0,0.0,21,0.912,912,0.09767579199999954
8,0.8,4.0,0.0,22,0.918,918,0.102316042
8,0.8,4.0,0.0,23,0.907,907,0.10699529199999969
8,0.8,4.0,0.0,24,0.917,917,0.11165120799999961
8,0.8,4.0,0.0,25,0.912,912,0.116391417
8,0.8,4.0,0.0,26,0.912,912,0.12039504200000017
8,0.8,4.0,0.0,27,0.917,917,0.12429691699999967
8,0.8,4.0,0.0,28,0.921,921,0.12956266700000008
8,0.8,4.0,0.0,29,0.918,918,0.13365762499999967
8,0.8,4.0,0.0,30,0.912,912,0.13804004200000008
8,0.8,4.0,0.0,31,0.911,911,0.1421576670000002
8,0.8,4.0,0.0,32,0.915,915,0.14662720799999995
8,0.8,4.0,0.0,33,0.904,904,0.15077108299999953
8,0.8,4.0,0.0,34,0.916,916,0.15517483300000023
8,0.8,4.0,0.0,35,0.914,914,0.15951074999999992
8,0.8,4.0,0.0,36,0.916,916,0.16385237500000027
8,0.8,4.0,0.0,37,0.917,917,0.1680505830000003
8,0.8,4.0,0.0,38,0.912,912,0.17230100000000004
8,0.8,4.0,0.0,39,0.922,922,0.17989762499999973
8,0.8,4.0,0.0,40,0.911,911,0.18416108300000023
8,0.8,4.0,0.0,41,0.925,925,0.18979058299999974
8,0.8,4.0,0.0,42,0.918,918,0.1941194580000003
8,0.8,4.0,0.0,43,0.915,915,0.1982890829999997
8,0.8,4.0,0.0,44,0.914,914,0.20248874999999966
8,0.8,4.0,0.0,45,0.916,916,0.2067636669999997
8,0.8,4.0,0.0,46,0.92,920,0.2109167919999999
8,0.8,4.0,0.0,47,0.912,912,0.21545512500000008
8,0.8,4.0,0.0,48,0.924,924,0.21951704199999966
8,0.8,4.0,0.0,49,0.922,922,0.22363770800000005
8,0.8,4.0,0.0,50,0.919,919,0.22798737499999966
8,0.8,4.0,0.0,51,0.919,919,0.2322496669999996
8,0.8,4.0,0.0,52,0.917,917,0.23663300000000032
8,0.8,4.0,0.0,53,0.918,918,0.2409540830000001
8,0.8,4.0,0.0,54,0.914,914,0.24517324999999968
8,0.8,4.0,0.0,55,0.925,925,0.2495188749999997
8,0.8,4.0,0.0,56,0.926,926,0.2543967499999997
8,0.8,4.0,0.0,57,0.929,929,0.25930687500000005
8,0.8,4.0,0.0,58,0.924,924,0.26356941700000025
8,0.8,4.0,0.0,59,0.921,921,0.2677451670000002
8,0.8,4.0,0.0,60,0.918,918,0.272017333
8,0.8,4.0,0.0001,1,0.461,461,0.005679708000000616
8,0.8,4.0,0.0001,2,0.723,723,0.01140679200000072
8,0.8,4.0,0.0001,3,0.772,772,0.01680079200000062
8,0.8,4.0,0.0001,4,0.79,790,0.022222292000000365
8,0.8,4.0,0.0001,5,0.817,817,0.0275070830000006
8,0.8,4.0,0.0001,6,0.864,864,0.032838667000000044
8,0.8,4.0,0.0001,7,0.87,870,0.03831508300000053
8,0.8,4.0,0.0001,8,0.855,855,0.04325487500000058
8,0.8,4.0,0.0001,9,0.883,883,0.05423820800000012
8,0.8,4.0,0.0001,10,0.87,870,0.05928987500000016
8,0.8,4.0,0.0001,11,0.876,876,0.06421683300000058
8,0.8,4.0,0.0001,12,0.899,899,0.07013866700000015
8,0.8,4.0,0.0001,13,0.896,896,0.07513758300000006
8,0.8,4.0,0.0001,14,0.899,899,0.07990787499999996
8,0.8,4.0,0.0001,15,0.898,898,0.08493287500000068
8,0.8,4.0,0.0001,16,0.914,914,0.09073650000000022
8,0.8,4.0,0.0001,17,0.909,909,0.09592908300000058
8,0.8,4.0,0.0001,18,0.901,901,0.10093929200000051
8,0.8,4.0,0.0001,19,0.911,911,0.10614112500000061
8,0.8,4.0,0.0001,20,0.916,916,0.11176712500000008
8,0.8,4.0,0.0001,21,0.91,910,0.11660350000000008
8,0.8,4.0,0.0001,22,0.915,915,0.12150912500000022
8,0.8,4.0,0.0001,23,0.909,909,0.12670083300000012
8,0.8,4.0,0.0001,24,0.92,920,0.13226912500000054
8,0.8,4.0,0.0001,25,0.915,915,0.13713725000000032
8,0.8,4.0,0.0001,26,0.919,919,0.14208745800000067
8,0.8,4.0,0.0001,27,0.909,909,0.14686025000000047
8,0.8,4.0,0.0001,28,0.922,922,0.1524070420000001
8,0.8,4.0,0.0001,29,0.911,911,0.15736883300000049
8,0.8,4.0,0.0001,30,0.916,916,0.16228016700000047
8,0.8,4.0,0.0001,31,0.915,915,0.1674173750000003
8,0.8,4.0,0.0001,32,0.911,911,0.17258191700000047
8,0.8,4.0,0.0001,33,0.921,921,0.17767729200000026
8,0.8,4.0,0.0001,34,0.918,918,0.1830498330000001
8,0.8,4.0,0.0001,35,0.922,922,0.18821433300000034
8,0.8,4.0,0.0001,36,0.915,915,0.19313266700000042
8,0.8,4.0,0.0001,37,0.918,918,0.1985409580000006
8,0.8,4.0,0.0001,38,0.915,915,0.2036139170000002
8,0.8,4.0,0.0001,39,0.913,913,0.20880729200000037
8,0.8,4.0,0.0001,40,0.923,923,0.21457183299999993
8,0.8,4.0,0.0001,41,0.92,920,0.21966020800000052
8,0.8,4.0,0.0001,42,0.925,925,0.22506424999999997
8,0.8,4.0,0.0001,43,0.922,922,0.23003070800000014
8,0.8,4.0,0.0001,44,0.928,928,0.23547820799999997
8,0.8,4.0,0.0001,45,0.922,922,0.24050908300000007
8,0.8,4.0,0.0001,46,0.931,931,0.2459078330000004
8,0.8,4.0,0.0001,47,0.918,918,0.25091241700000033
8,0.8,4.0,0.0001,48,0.926,926,0.2558011250000005
8,0.8,4.0,0.0001,49,0.924,924,0.2607361250000002
8,0.8,4.0,0.0001,50,0.92,920,0.2657981250000008
8,0.8,4.0,0.0001,51,0.921,921,0.2708866670000001
8,0.8,4.0,0.0001,52,0.927,927,0.2759780420000002
8,0.8,4.0,0.0001,53,0.919,919,0.2810773330000007
8,0.8,4.0,0.0001,54,0.927,927,0.2862559579999999
8,0.8,4.0,0.0001,55,0.925,925,0.29108258300000056
8,0.8,4.0,0.0001,56,0.921,921,0.29627133299999997
8,0.8,4.0,0.0001,57,0.925,925,0.30126350000000013
8,0.8,4.0,0.0001,58,0.922,922,0.30589716700000036
8,0.8,4.0,0.0001,59,0.932,932,0.31175716700000056
8,0.8,4.0,0.0001,60,0.923,923,0.31640787500000034
8,0.8,4.0,0.0003,1,0.538,538,0.005326750000000047
8,0.8,4.0,0.0003,2,0.735,735,0.010609375000000476
8,0.8,4.0,0.0003,3,0.789,789,0.016000292000000194
8,0.8,4.0,0.0003,4,0.85,850,0.021334125000000093
8,0.8,4.0,0.0003,5,0.838,838,0.026232166999999862
8,0.8,4.0,0.0003,6,0.854,854,0.03181820799999979
8,0.8,4.0,0.0003,7,0.87,870,0.03733312499999997
8,0.8,4.0,0.0003,8,0.874,874,0.04287033299999976
8,0.8,4.0,0.0003,9,0.889,889,0.04816550000000053
8,0.8,4.0,0.0003,10,0.89,890,0.05375383300000003
8,0.8,4.0,0.0003,11,0.896,896,0.059213957999999955
8,0.8,4.0,0.0003,12,0.89,890,0.06685066699999975
8,0.8,4.0,0.0003,13,0.896,896,0.07167441700000055
8,0.8,4.0,0.0003,14,0.897,897,0.07706008300000011
8,0.8,4.0,0.0003,15,0.898,898,0.08283799999999975
8,0.8,4.0,0.0003,16,0.903,903,0.08864866700000018
8,0.8,4.0,0.0003,17,0.907,907,0.09408504200000056
8,0.8,4.0,0.0003,18,0.904,904,0.09901479200000018
8,0.8,4.0,0.0003,19,0.906,906,0.10402741700000018
8,0.8,4.0,0.0003,20,0.913,913,0.10940245799999992
8,0.8,4.0,0.0003,21,0.913,913,0.11419187500000039
