time_s,time_after_load_ns,accuracy,correct,total
2e-10,0.0,0.27,27,100
2.4875e-10,0.04874999999999999,0.6,60,100
2.975e-10,0.0975,0.73,73,100
3.4625e-10,0.14625000000000002,0.79,79,100
3.95e-10,0.19499999999999998,0.85,85,100
4.4375000000000004e-10,0.24375000000000002,0.86,86,100
4.925e-10,0.2925,0.86,86,100
5.4125e-10,0.34124999999999994,0.86,86,100
5.9e-10,0.39,0.86,86,100
6.3875e-10,0.43875,0.87,87,100
6.875000000000001e-10,0.48750000000000004,0.86,86,100
7.3625e-10,0.53625,0.86,86,100
7.85e-10,0.585,0.86,86,100
8.3375e-10,0.63375,0.86,86,100
8.825e-10,0.6825,0.86,86,100
9.312500000000001e-10,0.7312500000000001,0.85,85,100
9.8e-10,0.7799999999999999,0.85,85,100
1.02875e-09,0.82875,0.85,85,100
1.0775e-09,0.8775000000000001,0.85,85,100
1.12625e-09,0.9262499999999999,0.85,85,100
1.175e-09,0.9750000000000001,0.85,85,100
1.2237499999999998e-09,1.02375,0.85,85,100
1.2725e-09,1.0725,0.85,85,100
1.32125e-09,1.12125,0.85,85,100
1.3699999999999998e-09,1.17,0.85,85,100
1.4187499999999999e-09,1.21875,0.85,85,100
1.4675e-09,1.2675,0.85,85,100
1.51625e-09,1.3162500000000001,0.85,85,100
1.5649999999999999e-09,1.365,0.85,85,100
1.61375e-09,1.41375,0.85,85,100
1.6625e-09,1.4625000000000001,0.85,85,100
1.7112499999999999e-09,1.51125,0.85,85,100
1.76e-09,1.56,0.85,85,100
1.80875e-09,1.6087500000000001,0.85,85,100
1.8574999999999998e-09,1.6575,0.85,85,100
1.90625e-09,1.7062500000000003,0.85,85,100
1.955e-09,1.7550000000000001,0.85,85,100
2.00375e-09,1.80375,0.85,85,100
2.0525e-09,1.8525000000000003,0.85,85,100
2.10125e-09,1.9012499999999999,0.85,85,100
2.1500000000000002e-09,1.9500000000000002,0.85,85,100
2.19875e-09,1.99875,0.85,85,100
2.2475e-09,2.0475,0.85,85,100
2.2962500000000002e-09,2.09625,0.85,85,100
2.345e-09,2.145,0.85,85,100
2.39375e-09,2.1937499999999996,0.85,85,100
2.4425e-09,2.2425,0.85,85,100
2.49125e-09,2.29125,0.85,85,100
2.54e-09,2.34,0.85,85,100
2.58875e-09,2.38875,0.85,85,100
2.6375e-09,2.4375,0.85,85,100
2.6862500000000003e-09,2.48625,0.85,85,100
2.735e-09,2.535,0.85,85,100
2.78375e-09,2.5837499999999998,0.85,85,100
2.8325000000000003e-09,2.6325000000000003,0.85,85,100
2.88125e-09,2.68125,0.85,85,100
2.93e-09,2.73,0.85,85,100
2.9787500000000003e-09,2.77875,0.85,85,100
3.0275e-09,2.8275,0.85,85,100
3.07625e-09,2.8762499999999998,0.85,85,100
3.1250000000000003e-09,2.9250000000000003,0.85,85,100
3.17375e-09,2.97375,0.85,85,100
3.2225e-09,3.0225,0.85,85,100
3.2712500000000003e-09,3.07125,0.85,85,100
3.32e-09,3.12,0.85,85,100
3.36875e-09,3.1687499999999997,0.85,85,100
3.4175000000000002e-09,3.2175000000000002,0.85,85,100
3.46625e-09,3.26625,0.85,85,100
3.515e-09,3.315,0.85,85,100
3.5637500000000002e-09,3.36375,0.85,85,100
3.6125e-09,3.4125,0.85,85,100
3.66125e-09,3.4612499999999997,0.85,85,100
3.7100000000000002e-09,3.5100000000000002,0.85,85,100
3.75875e-09,3.5587499999999994,0.85,85,100
3.8074999999999995e-09,3.6074999999999995,0.85,85,100
3.85625e-09,3.65625,0.85,85,100
3.905e-09,3.705,0.85,85,100
3.95375e-09,3.7537499999999997,0.85,85,100
4.0025e-09,3.8024999999999998,0.85,85,100
4.0512500000000005e-09,3.8512500000000003,0.85,85,100
4.1e-09,3.9000000000000004,0.85,85,100
4.14875e-09,3.94875,0.85,85,100
4.1975e-09,3.9975,0.85,85,100
4.24625e-09,4.04625,0.85,85,100
4.295e-09,4.095,0.85,85,100
4.3437500000000004e-09,4.143750000000001,0.85,85,100
4.3925e-09,4.1925,0.85,85,100
4.44125e-09,4.24125,0.85,85,100
4.49e-09,4.29,0.85,85,100
4.53875e-09,4.33875,0.85,85,100
4.5875e-09,4.387499999999999,0.85,85,100
4.63625e-09,4.43625,0.85,85,100
4.685e-09,4.485,0.85,85,100
4.73375e-09,4.53375,0.85,85,100
4.7825e-09,4.5825,0.85,85,100
4.83125e-09,4.63125,0.85,85,100
4.88e-09,4.68,0.85,85,100
4.92875e-09,4.728750000000001,0.85,85,100
4.9775e-09,4.7775,0.85,85,100
5.02625e-09,4.82625,0.85,85,100
5.075e-09,4.875,0.85,85,100
5.12375e-09,4.92375,0.85,85,100
