readout_time_ns,tau_act_ns,tau_score_ns,accuracy,correct,total,time_over_tau_act,time_over_tau_score
0.0,0.25,0.25,0.1,100,1000,0.0,0.0
0.025,0.25,0.25,0.603,603,1000,0.1,0.1
0.05,0.25,0.25,0.725,725,1000,0.2,0.2
0.07500000000000001,0.25,0.25,0.806,806,1000,0.30000000000000004,0.30000000000000004
0.1,0.25,0.25,0.841,841,1000,0.4,0.4
0.125,0.25,0.25,0.853,853,1000,0.5,0.5
0.15000000000000002,0.25,0.25,0.863,863,1000,0.6000000000000001,0.6000000000000001
0.17500000000000002,0.25,0.25,0.869,869,1000,0.7000000000000001,0.7000000000000001
0.2,0.25,0.25,0.874,874,1000,0.8,0.8
0.225,0.25,0.25,0.874,874,1000,0.9,0.9
0.25,0.25,0.25,0.876,876,1000,1.0,1.0
0.275,0.25,0.25,0.877,877,1000,1.1,1.1
0.30000000000000004,0.25,0.25,0.876,876,1000,1.2000000000000002,1.2000000000000002
0.325,0.25,0.25,0.876,876,1000,1.3,1.3
0.35000000000000003,0.25,0.25,0.879,879,1000,1.4000000000000001,1.4000000000000001
0.375,0.25,0.25,0.88,880,1000,1.5,1.5
0.4,0.25,0.25,0.881,881,1000,1.6,1.6
0.42500000000000004,0.25,0.25,0.88,880,1000,1.7000000000000002,1.7000000000000002
0.45,0.25,0.25,0.88,880,1000,1.8,1.8
0.47500000000000003,0.25,0.25,0.881,881,1000,1.9000000000000001,1.9000000000000001
0.5,0.25,0.25,0.881,881,1000,2.0,2.0
0.525,0.25,0.25,0.882,882,1000,2.1,2.1
0.55,0.25,0.25,0.88,880,1000,2.2,2.2
0.5750000000000001,0.25,0.25,0.88,880,1000,2.3000000000000003,2.3000000000000003
0.6000000000000001,0.25,0.25,0.88,880,1000,2.4000000000000004,2.4000000000000004
0.625,0.25,0.25,0.88,880,1000,2.5,2.5
0.65,0.25,0.25,0.88,880,1000,2.6,2.6
0.675,0.25,0.25,0.878,878,1000,2.7,2.7
0.7000000000000001,0.25,0.25,0.878,878,1000,2.8000000000000003,2.8000000000000003
0.7250000000000001,0.25,0.25,0.878,878,1000,2.9000000000000004,2.9000000000000004
0.75,0.25,0.25,0.878,878,1000,3.0,3.0
0.775,0.25,0.25,0.878,878,1000,3.1,3.1
0.8,0.25,0.25,0.878,878,1000,3.2,3.2
0.8250000000000001,0.25,0.25,0.878,878,1000,3.3000000000000003,3.3000000000000003
0.8500000000000001,0.25,0.25,0.878,878,1000,3.4000000000000004,3.4000000000000004
0.875,0.25,0.25,0.878,878,1000,3.5,3.5
0.9,0.25,0.25,0.878,878,1000,3.6,3.6
0.925,0.25,0.25,0.878,878,1000,3.7,3.7
0.9500000000000001,0.25,0.25,0.879,879,1000,3.8000000000000003,3.8000000000000003
0.9750000000000001,0.25,0.25,0.88,880,1000,3.9000000000000004,3.9000000000000004
1.0,0.25,0.25,0.88,880,1000,4.0,4.0
