time_s,time_after_load_ns,accuracy,correct,total
2e-10,0.0,0.2,2,10
3.95e-10,0.19499999999999998,0.7,7,10
5.9e-10,0.39,0.7,7,10
7.85e-10,0.585,0.8,8,10
9.8e-10,0.7799999999999999,0.8,8,10
1.175e-09,0.9750000000000001,0.8,8,10
1.3699999999999998e-09,1.17,0.8,8,10
1.5649999999999999e-09,1.365,0.8,8,10
1.76e-09,1.56,0.8,8,10
1.955e-09,1.7550000000000001,0.8,8,10
2.1500000000000002e-09,1.9500000000000002,0.8,8,10
2.345e-09,2.145,0.8,8,10
2.54e-09,2.34,0.8,8,10
2.735e-09,2.535,0.8,8,10
2.93e-09,2.73,0.8,8,10
3.1250000000000003e-09,2.9250000000000003,0.8,8,10
3.32e-09,3.12,0.8,8,10
3.515e-09,3.315,0.8,8,10
3.7100000000000002e-09,3.5100000000000002,0.8,8,10
3.905e-09,3.705,0.8,8,10
4.1e-09,3.9000000000000004,0.8,8,10
4.295e-09,4.095,0.8,8,10
4.49e-09,4.29,0.8,8,10
4.685e-09,4.485,0.8,8,10
4.88e-09,4.68,0.8,8,10
5.075e-09,4.875,0.8,8,10
5.27e-09,5.07,0.8,8,10
5.4650000000000005e-09,5.265000000000001,0.8,8,10
5.66e-09,5.46,0.8,8,10
5.855e-09,5.655,0.8,8,10
6.05e-09,5.8500000000000005,0.8,8,10
6.245e-09,6.045,0.8,8,10
6.44e-09,6.24,0.8,8,10
6.635e-09,6.4350000000000005,0.8,8,10
6.83e-09,6.63,0.8,8,10
7.025e-09,6.825,0.8,8,10
7.22e-09,7.0200000000000005,0.8,8,10
7.415e-09,7.215,0.8,8,10
7.61e-09,7.41,0.8,8,10
7.805e-09,7.6049999999999995,0.8,8,10
8e-09,7.800000000000001,0.8,8,10
