cycle,phase,pattern,label,reset_gradient,applied_update,target_out,other_out,margin,score0,score1,score0_cmp,score1_cmp,out0_cmp,out1_cmp,correct,mean_hidden_act,act0,act1,act2,act3,act4,act5,act6,act7,lose0,lose1,lead01,lead10
0,initial_eval,0,0,False,False,0.127542,0.13461,-0.00706795,0.143397,0.152076,0.00788511,0.00770796,0.127535,0.134603,False,0.0905694,0.0587727,0.194423,0.049346,0.099239,0.0478419,0.0691867,0.111589,0.0941569,0.339399,0.339278,1.21433,1.21424
1,initial_eval,1,1,False,False,0.135687,0.12841,0.00727718,0.150274,0.159827,0.0284343,0.0282741,0.128403,0.135679,True,0.07119829999999999,0.0629245,0.129433,-3.3511e-26,0.1868,0.0107474,0.0814974,0.0435799,0.0546042,0.339602,0.339371,1.20386,1.20372
2,initial_eval,2,1,False,False,0.137388,0.130804,0.00658474,0.142621,0.150384,0.0118544,0.0117627,0.130796,0.137381,True,0.096778775,0.101403,0.0690149,0.150536,0.0421659,0.084206,0.0846074,0.121207,0.12109,0.341442,0.341417,1.19345,1.19326
3,initial_eval,3,0,False,False,0.131511,0.138217,-0.00670617,0.145734,0.153742,0.00818711,0.00803675,0.131504,0.13821,False,0.09145943749999999,0.177598,0.0626051,0.0967103,0.0976938,0.0551306,0.112826,0.07512,0.0539917,0.339947,0.339874,1.18312,1.18288
4,train,0,0,True,True,0.128787,0.1357,-0.00691317,0.143396,0.152076,0.00788503,0.00770788,0.12878,0.135693,False,0.0905683,0.0587714,0.194422,0.0493446,0.099237,0.0478408,0.0691852,0.11159,0.0941554,0.339441,0.339319,0.878485,0.927908
5,train,1,1,True,True,0.135306,0.128806,0.00650002,0.150225,0.158981,0.0284795,0.0283018,0.128799,0.135299,True,0.0711805125,0.0629014,0.129415,-3.3574e-26,0.186793,0.0107322,0.0814575,0.0435721,0.0545729,0.339622,0.339421,0.879469,0.926471
6,train,2,1,True,True,0.136258,0.129806,0.00645245,0.14168,0.149302,0.0118697,0.0117783,0.129798,0.136251,True,0.09674819999999999,0.101386,0.0689633,0.150499,0.042116,0.0841833,0.084579,0.121188,0.121071,0.341494,0.341473,0.880232,0.925421
7,train,3,0,True,True,0.130403,0.137657,-0.0072539,0.143996,0.152666,0.00820364,0.00804264,0.130396,0.137649,False,0.09142648750000001,0.177707,0.062514,0.0966625,0.0976363,0.0550861,0.112801,0.0750849,0.0539201,0.339998,0.339905,0.878786,0.927529
8,train,0,0,True,True,0.126977,0.13373,-0.00675291,0.142032,0.150264,0.00789177,0.00774814,0.12697,0.133723,False,0.0905144375,0.0586866,0.194412,0.0492639,0.0991117,0.047787,0.0690798,0.111711,0.0940635,0.339422,0.339327,0.877573,0.929197
9,train,1,1,True,True,0.133768,0.127419,0.00634841,0.148694,0.157482,0.02857,0.0284337,0.127412,0.13376,True,0.0711170875,0.0628193,0.129349,-3.35162e-26,0.186769,0.0106776,0.0813163,0.0435437,0.0544618,0.339628,0.339386,0.878885,0.927252
