cycle,phase,pattern,label,reset_gradient,applied_update,target_out,other_out,margin,correct,mean_hidden_act,act0,act1,act2,act3,act4,act5,act6,act7,lose0,lose1,max_abs_hidden_delta_signal,post_update_margin,d_margin_after_update,max_abs_readout_weight_signed_delta,max_abs_output_bias_signed_delta,max_abs_readout_signed_delta,max_abs_hidden_signed_delta
0,initial_eval,0,0,False,False,0.127543,0.134611,-0.007068,False,0.0905694125,0.0587728,0.194423,0.049346,0.099239,0.0478419,0.0691867,0.111589,0.0941569,0.339399,0.339278,,,,,,,
1,initial_eval,1,1,False,False,0.135688,0.12841,0.00727768,True,0.07119832499999999,0.0629245,0.129433,-3.32793e-26,0.1868,0.0107474,0.0814975,0.04358,0.0546042,0.339602,0.339371,,,,,,,
2,initial_eval,2,1,False,False,0.137389,0.130804,0.00658479,True,0.09677878749999999,0.101403,0.0690149,0.150536,0.0421659,0.084206,0.0846075,0.121207,0.12109,0.341442,0.341417,,,,,,,
3,initial_eval,3,0,False,False,0.131511,0.138217,-0.00670613,False,0.09145944999999998,0.177598,0.0626052,0.0967103,0.0976938,0.0551306,0.112826,0.07512,0.0539917,0.339947,0.339874,,,,,,,
4,train,0,0,True,False,0.128787,0.135701,-0.00691319,False,0.09056831250000001,0.0587714,0.194422,0.0493447,0.099237,0.0478408,0.0691852,0.11159,0.0941554,0.339441,0.339319,2.44873e-07,,,,,,
5,train,1,1,False,False,0.135687,0.128409,0.00727766,True,0.071197075,0.062923,0.129432,-2.02115e-26,0.186798,0.0107464,0.0814954,0.0435792,0.0546026,0.339644,0.339413,2.44601e-07,,,,,,
6,train,2,1,False,False,0.137388,0.130803,0.00658475,True,0.09677767500000001,0.101402,0.0690133,0.150535,0.0421645,0.0842051,0.0846065,0.121206,0.121089,0.341484,0.341459,3.01001e-07,,,,,,
7,train,3,0,False,True,0.13151,0.138216,-0.00670612,False,0.0914585,0.177599,0.0626034,0.0967092,0.0976924,0.0551297,0.112825,0.0751191,0.0539902,0.339989,0.339916,3.00162e-08,-0.00667084,3.528e-05,0.00319721,0.000438396,0.00319721,5.53194e-07
8,train,0,0,True,False,0.127128,0.134008,-0.00687975,False,0.09056708749999999,0.05877,0.194421,0.0493434,0.099235,0.0478398,0.0691836,0.11159,0.0941539,0.339451,0.33933,2.33999e-07,,,,,,
9,train,1,1,False,False,0.134241,0.126998,0.00724272,True,0.0711958375,0.0629216,0.12943,-2.02109e-26,0.186797,0.0107454,0.0814933,0.0435784,0.054601,0.339658,0.339415,2.52009e-07,,,,,,
10,train,2,1,False,False,0.135985,0.129438,0.00654661,True,0.096776525,0.101401,0.0690116,0.150534,0.042163,0.0842042,0.0846054,0.121205,0.121088,0.341514,0.341488,3.00998e-07,,,,,,
11,train,3,0,False,True,0.130111,0.136782,-0.00667089,False,0.09145737500000001,0.177599,0.0626015,0.096708,0.0976909,0.0551287,0.112824,0.0751182,0.0539887,0.340004,0.33993,3.41594e-08,-0.00653605,0.000134838,0.00319683,0.000440522,0.00319683,5.53191e-07
12,train,0,0,True,False,0.125823,0.132653,-0.00683027,False,0.0905660125,0.0587687,0.19442,0.0493421,0.099233,0.0478387,0.0691821,0.111591,0.0941525,0.339462,0.339342,2.23126e-07,,,,,,
13,train,1,1,False,False,0.132803,0.125595,0.00720761,True,0.0711947,0.0629201,0.129429,-2.02103e-26,0.186796,0.0107444,0.0814912,0.0435776,0.0545993,0.339673,0.339418,2.59417e-07,,,,,,
14,train,2,1,False,False,0.134591,0.128083,0.00650794,True,0.09677526249999999,0.1014,0.0690099,0.150532,0.0421615,0.0842033,0.0846044,0.121204,0.121087,0.341546,0.341517,3.00996e-07,,,,,,
15,train,3,0,False,True,0.128718,0.135354,-0.00663561,False,0.0914563875,0.1776,0.0625996,0.0967069,0.0976895,0.0551277,0.112823,0.0751172,0.0539872,0.340019,0.339944,3.83027e-08,-0.0064979,0.000137713,0.00319647,0.0004426,0.00319647,5.53187e-07
16,final_eval,0,0,False,False,0.124751,0.131527,-0.00677613,False,0.090564775,0.0587673,0.194419,0.0493407,0.099231,0.0478376,0.0691806,0.111591,0.094151,0.33943,0.339311,,,,,,,
17,final_eval,1,1,False,False,0.131371,0.124199,0.00717221,True,0.07119358749999999,0.0629186,0.129428,-3.32755e-26,0.186795,0.0107434,0.0814891,0.0435769,0.0545977,0.339647,0.339381,,,,,,,
18,final_eval,2,1,False,False,0.133206,0.126737,0.0064687,True,0.09677412500000002,0.101399,0.0690082,0.150531,0.04216,0.0842024,0.0846034,0.121203,0.121086,0.341536,0.341505,,,,,,,
19,final_eval,3,0,False,False,0.126871,0.133493,-0.0066223,False,0.09145532499999999,0.1776,0.0625978,0.0967058,0.0976881,0.0551267,0.112822,0.0751164,0.0539858,0.339993,0.339917,,,,,,,
